date,reportlink,city,state,country,shape,duration,description,post_date,images
7/28/23 21:40,https://nuforc.org/webreports/reports/177/S177094.html,Northvale,NJ,USA,Changing,20 minutes or more,Observed light moving in manner not consistent with aircraft,7/29/23,
7/27/23 09:45,https://nuforc.org/webreports/reports/177/S177072.html,Carlsborg,WA,USA,Changing,3 minutes,Flickering adjoining orbs that eventually faded out.,7/29/23,
7/26/23 23:42,https://nuforc.org/webreports/reports/177/S177050.html,CLEARWATER,FL,USA,Changing,10-15 secs,We stepped outside for a balloon release and we looked up and saw two objects that I've never seen before,7/29/23,Yes
7/26/23 02:15,https://nuforc.org/webreports/reports/177/S177091.html,"New Sharon, Iowa",IA,USA,Changing,about 15-20 minutes,"Only saw the cloud and the fact no wind to move it and orange glow inside the cloud formation, Don't know what it was.",7/29/23,
7/25/23 23:15,https://nuforc.org/webreports/reports/176/S176968.html,Speedwell,TN,USA,Changing,30 minutes to hour,"Saw blinking/solid light high altitude seemingly above seen aircraft, moved erratic all directions, moving South 911, DHS notified",7/29/23,
7/24/23 22:30,https://nuforc.org/webreports/reports/176/S176981.html,Staten Island,NY,USA,Changing,15/20 seconds,As my wife and i we're walking our dog i saw a bright light and saw lights if planes were not similar,7/29/23,
7/23/23 21:26,https://nuforc.org/webreports/reports/176/S176905.html,South Padre Island,TX,USA,Changing,5 minutes,"Star turning into disk, expanding a large field around it then turning into 2 moving dots",7/29/23,Yes
7/23/23 21:25,https://nuforc.org/webreports/reports/176/S176907.html,Frisco,TX,USA,Changing,2 minutes,After exiting Flix Brewhouse in Frisco the ufo was immediately noticed looking south.,7/29/23,
7/23/23 21:25,https://nuforc.org/webreports/reports/176/S176914.html,Odessa,TX,USA,Changing,3 minutes,I observed a blurry orb of light approaching from the north western horizon at sunset.,7/29/23,
7/23/23 21:24,https://nuforc.org/webreports/reports/176/S176903.html,Austin,TX,USA,Changing,2 minutes,A glowing light that got bigger and smaller and emitted a puff,7/29/23,
7/23/23 21:23,https://nuforc.org/webreports/reports/176/S176909.html,Leander,TX,USA,Changing,3 minutes,Noticed a white ball move up from above trees then across the sky. No sound. Seemed to create a smoke ring. Only a white light.,7/29/23,
7/23/23 20:54,https://nuforc.org/webreports/reports/176/S176974.html,Auburndale,FL,USA,Changing,Around 3 minutes,I pulled over the truck to record,7/29/23,
7/22/23 11:30,https://nuforc.org/webreports/reports/176/S176979.html,Springfield,IN,USA,Changing,20 seconds,There was a northbound helicopter being followed and circled by this smaller craft.,7/29/23,
7/13/23 23:00,https://nuforc.org/webreports/reports/176/S176845.html,Island Park Reservoir,NV,0,Changing,15 minutes,Cluster of lights varying in speed and moving erratically.,7/29/23,
7/13/23 20:00,https://nuforc.org/webreports/reports/177/S177049.html,Wells,NV,USA,Changing,~10 seconds,"Sparkle in sky at sunset, circular then crescent in shape with more than one layer? Assumed to be rotating",7/29/23,Yes
7/12/23 21:13,https://nuforc.org/webreports/reports/176/S176865.html,Virginia Beach,VA,USA,Changing,25 minutes,Large pulsing circle of energy framed by black square. Mistaken for planet until it changed shape and flashed. 3 smaller black crafts.,7/29/23,Yes
7/11/23 21:45,https://nuforc.org/webreports/reports/176/S176737.html,McMinnville,OR,USA,Changing,5 minutes,Strange craft in sky that didn't match up with anything on my Sky Tonight app looking West.,7/29/23,Yes
7/5/23 10:45,https://nuforc.org/webreports/reports/176/S176799.html,Canal Winchester,OH,USA,Changing,15 minutes,Saw what appeared to be a large round ball in the sky that became elongated,7/29/23,Yes
7/4/23 22:33,https://nuforc.org/webreports/reports/176/S176604.html,Westland,MI,USA,Changing,15 - 20 minutes,UFO over Wayne Michigan,7/10/23,
7/4/23 21:21,https://nuforc.org/webreports/reports/176/S176589.html,El Paso,TX,USA,Changing,45 mins,Video of it speeding up and changing shapes,7/10/23,Yes
7/4/23 20:50,https://nuforc.org/webreports/reports/176/S176602.html,Waynesville,MO,USA,Changing,3 minutes,I was driving eastward on Old Route 66 and I saw a orange/golden color in my left peripheral. Thats when I looked and took photos,7/10/23,Yes
7/3/23 21:48,https://nuforc.org/webreports/reports/176/S176582.html,Bellevue,WA,USA,Changing,30 seconds,Object(s) in the Sky,7/10/23,Yes
6/29/23 20:17,https://nuforc.org/webreports/reports/176/S176664.html,Spokane,WA,USA,Changing,12 Minutes,Object seen moving west to east with no sound and appeared to be rotatoing with blue pulsing light.,7/10/23,Yes
6/29/23 20:13,https://nuforc.org/webreports/reports/176/S176511.html,Marka,,Jordan,Changing,20 minutes,"Black shape floating in sky, changing length and direction - Black Flame",7/10/23,
6/28/23 01:30,https://nuforc.org/webreports/reports/176/S176551.html,Gulfport,FL,USA,Changing,5 minutes,"One side was abeba like, while the other side was a smooth curve that would get a bit bumpy. It was glowing and pulsated a bit.",7/10/23,
6/25/23 22:40,https://nuforc.org/webreports/reports/176/S176492.html,Keizer,OR,USA,Changing,30 seconds max,"Went from triangle shaped to spherical, with different colored lights flashing",7/10/23,
6/25/23 22:40,https://nuforc.org/webreports/reports/176/S176689.html,Keizer,OR,USA,Changing,Less than 30 seconds,"Driving in my car, spotted a ufo that changed shape and had flashing colored lights on it",7/29/23,
6/25/23 21:15,https://nuforc.org/webreports/reports/176/S176476.html,Norwalk,CT,USA,Changing,Was a bright white light,Was a bright white light then it disappeared then it was an aircraft of some sort. Naked eye didnt look like what my pic looks like.,7/10/23,Yes
6/25/23 20:20,https://nuforc.org/webreports/reports/176/S176456.html,Bellevue,WA,USA,Changing,1 minute,Small craft,7/10/23,Yes
6/25/23 18:01,https://nuforc.org/webreports/reports/176/S176487.html,Issaquah,WA,USA,Changing,Less than a minute,A shape and color changing controlled craft,7/10/23,
6/25/23 00:00,https://nuforc.org/webreports/reports/176/S176449.html,Austin,TX,USA,Changing,15 seconds,Bright orb with a beam of light shooting straight up out of it,7/10/23,
6/24/23 22:22,https://nuforc.org/webreports/reports/176/S176445.html,Morrison,TN,USA,Changing,3 minutes,Orange and white light pulsating and moving left to right for about 3 to 5 seconds.,7/10/23,
6/23/23 21:48,https://nuforc.org/webreports/reports/176/S176417.html,Plymouth,MA,USA,Changing,8 sec,We were swimming in our pool and we looked up and saw a array of lights for about 8 seconds and they were 4 of they and were changing,7/10/23,
6/20/23 19:35,https://nuforc.org/webreports/reports/176/S176372.html,Los Angeles,CA,USA,Changing,30 minutes or more,"Two vets, a pilot saw a sphere, change to cigar, get big and small, not plane, not space station, moving slow at 60k+'",7/10/23,Yes
6/20/23 01:20,https://nuforc.org/webreports/reports/176/S176428.html,Avon,MN,USA,Changing,1 to 2 min,We saw what appeared to be a rectangular light flashing off and on several times at different rates and then just disappear,7/10/23,
6/19/23 22:20,https://nuforc.org/webreports/reports/176/S176377.html,,ID,USA,Changing,about 45 seconds,Entered our vision from right to left-North to South. Perhaps 1000 ' altitude above ground 1/4 mile to West of our house. bright orange,7/10/23,
6/18/23 08:33,https://nuforc.org/webreports/reports/176/S176347.html,Oahu,HI,USA,Changing,4-6 minutes,"Two very bright lights. Circled shape at first, but changed. Extremely fast, as if their chasing one another. Disappears into mid air.",7/10/23,Yes
6/16/23 00:30,https://nuforc.org/webreports/reports/176/S176328.html,Albuquerque,NM,USA,Changing,5 minutes,Planet seen dropping from sky completely vertical changing colors.,7/10/23,
6/11/23 09:15,https://nuforc.org/webreports/reports/176/S176226.html,Orange Park,FL,USA,Changing,30 Minutes,"Object that from distance looked like clouds rising, meeting in air, ascending, descending traveling is straight lines",7/10/23,Yes
6/10/23 18:30,https://nuforc.org/webreports/reports/176/S176208.html,Yosemite National Park,CA,USA,Changing,5 hours,We were followed by this craft until we went to it and made contact,7/10/23,
6/7/23 22:15,https://nuforc.org/webreports/reports/176/S176132.html,Williamson,NY,USA,Changing,30-40 minutes,"Observed multiple, at least a dozen, dim crafts in the sky. They were chasing each other and firing at each other.",7/10/23,
6/7/23 12:06,https://nuforc.org/webreports/reports/176/S176120.html,Peoria,AZ,USA,Changing,9 minutes,"I thought it was a floating plastic bag. But it was heading south west then it changed shape split into two and started heading nw
Sig",7/10/23,Yes
6/6/23 22:30,https://nuforc.org/webreports/reports/176/S176110.html,Williamson,NY,USA,Changing,At least 30 minutes,"Changing shape, moved like a jellyfish. Obvious red hue lit up clouds around it. Moved very quickly, changing direction often.",7/10/23,Yes
6/5/23 13:48,https://nuforc.org/webreports/reports/176/S176101.html,Fairbanks,AK,USA,Changing,1 Minute,Unknown Space Craft from High in the Sky,7/10/23,Yes
6/4/23 20:45,https://nuforc.org/webreports/reports/176/S176503.html,Houston,TX,USA,Changing,About 2 hours,I noticed a Large White light not moving in the sky so I decided to take a picture and zoom in to see what it was,7/10/23,Yes
6/4/23 20:45,https://nuforc.org/webreports/reports/176/S176513.html,Houston,TX,USA,Changing,,I noticed a Large White light not moving in the sky so I decided to take a picture and zoom in to see what it was.,7/10/23,Yes
6/1/23 22:30,https://nuforc.org/webreports/reports/176/S176074.html,Mount Vernon,WA,USA,Changing,30 minutes,Object was morphing and pulsating.,7/10/23,Yes
6/1/23 13:55,https://nuforc.org/webreports/reports/176/S176058.html,Sylvania,OH,USA,Changing,About 5 min,"Two crafts without noise, floating but would change shape and move so fast and reappear. Looked like the lights was a reflection",7/10/23,
6/1/23 04:00,https://nuforc.org/webreports/reports/176/S176378.html,mansfield/miffland,OH,USA,Changing,about 30 seconds,I was at work on on a trash truck when a tall figure peeked at me. We never broke eye contact and it hunched over and ran to the woods.,7/10/23,Yes
5/31/23 21:46,https://nuforc.org/webreports/reports/176/S176013.html,LIBERTY TOWNSHIP,OH,USA,Changing,3 hours for days,"Looks like a space craft, second picture when it moved and can see an angelic figure",7/10/23,Yes
5/30/23 21:42,https://nuforc.org/webreports/reports/175/S175994.html,St. James/Rolla,MO,USA,Changing,2 mins,Orange craft flying across sky with very faint trail.,7/10/23,
5/29/23 16:20,https://nuforc.org/webreports/reports/175/S175969.html,Wilmington,NC,USA,Changing,Appx 7 minutes,Floating like object; changing shapes but seemed to revert to the same shapes.,7/10/23,Yes
5/28/23 21:52,https://nuforc.org/webreports/reports/176/S176051.html,Negril,,Jamaica,Changing,10 minutes,"We were on the beach when we noticed a large orb behind the clouds moving around rapidly and with crazy, erratic maneuvers",7/10/23,
5/28/23 21:30,https://nuforc.org/webreports/reports/176/S176063.html,Sullivan,ME,USA,Changing,Several minutes,We saw some very strange activity over three day period,7/10/23,
5/28/23 21:00,https://nuforc.org/webreports/reports/175/S175920.html,Wilton,CT,USA,Changing,an hour and 45 min,Very bright light with a strong glow around it,7/10/23,Yes
5/23/23 21:15,https://nuforc.org/webreports/reports/175/S175930.html,Florence,SC,USA,Changing,3 minutes 25 seconds,Videoed a bright object changing colors and shapes and moving faster than man has accomplished,7/10/23,
5/20/23 16:30,https://nuforc.org/webreports/reports/175/S175866.html,Orange,CA,USA,Changing,1 spot 10min n sky 25min,"A white stationary for 10mins, shape-changing-object. Possible balloon. Between fast moving clouds. Flew North slower the clouds 12mins",7/10/23,
5/17/23 19:45,https://nuforc.org/webreports/reports/176/S176190.html,Prescott,AZ,USA,Changing,At least 5 minutes,Originally could see 6 to 8 lights in a circle pattern in the sky.,7/10/23,
