date,reportlink,city,state,country,shape,duration,description,post_date,images
7/18/23 03:15,https://nuforc.org/webreports/reports/176/S176823.html,Fredericksburg,VA,International Waters,Chevron,45 seconds,Was watching ISS live stream and these lights drew my attention,7/29/23,Yes
7/10/23 22:00,https://nuforc.org/webreports/reports/176/S176725.html,,ON,Canada,Chevron,3 hours,"I saw a triangular or chevron cheaper object, while walking in a low lit area.It moved in all directions quickly.",7/29/23,
7/3/23 23:00,https://nuforc.org/webreports/reports/176/S176578.html,Lincoln,NE,USA,Chevron,30sec,Was the coolest technology Ive ever seen it was translucent & reflected the smoke above it from fireworks on the bttm and the stars,7/10/23,
6/30/23 14:00,https://nuforc.org/webreports/reports/176/S176555.html,Winnemucca,NV,USA,Chevron,About 5 to 10 minutes,"It started out on the West side if Winnemucca Mountain , and ended at East Winnemucca Blvd  They were doing maneuvers, and vanished.",7/10/23,
6/28/23 00:47,https://nuforc.org/webreports/reports/176/S176500.html,Lamont,CA,USA,Chevron,30 seconds,Craft was flying around 200 ft off ground on the north side of highway 5,7/10/23,
6/22/23 13:45,https://nuforc.org/webreports/reports/176/S176402.html,Cleveland,OH,USA,Chevron,1 minute,"Blended in with clouds, thought it was a bird, but it reflected light and it was maneuvering quickly, not like a plane.",7/10/23,
6/17/23 22:40,https://nuforc.org/webreports/reports/176/S176745.html,DuBois,PA,USA,Chevron,1-2 Seconds,"A translucent or black ""boomerang"" or ""flying v"" shaped craft moved rapidly away from a fireworks display.",7/29/23,Yes
6/15/23 14:00,https://nuforc.org/webreports/reports/176/S176499.html,Fultondale,AL,USA,Chevron,2min,Chevron surrounded by a clear bubble around it with a mist swirling and trailing a short distance behind it st,7/10/23,
6/10/23 23:30,https://nuforc.org/webreports/reports/176/S176236.html,Kuna,ID,USA,Chevron,5-10 seconds,"V shaped craft with 5-7 diffused lights. Directly overhead, flying low, traveling from west to east. Silent and fast",7/10/23,
6/3/23 23:30,https://nuforc.org/webreports/reports/176/S176048.html,Dresher,PA,USA,Chevron,2-3 minutes,Object was hovering high then sped off at a very high speed.,7/10/23,
6/2/23 22:15,https://nuforc.org/webreports/reports/176/S176067.html,Santa clara,CA,USA,Chevron,5-10 seconds,Huge chevron of lights,7/10/23,
5/2/23 01:59,https://nuforc.org/webreports/reports/175/S175601.html,Grand Island,NE,USA,Chevron,15 - 30 seconds,"Seemed to be cloaked-no lights, no sound, simply movement in sky, it glided by heading SE.",5/19/23,
4/21/23 00:24,https://nuforc.org/webreports/reports/175/S175434.html,Largo,FL,USA,Chevron,5-10 seconds,South to North completely silent 4-5 white round lights.,5/19/23,
