date,reportlink,city,state,country,shape,duration,description,post_date,images
7/24/23 21:53,https://nuforc.org/webreports/reports/176/S176983.html,Stone harbor,NJ,USA,Cigar,10 seconds,4 cigar shaped lights moving across the sky viewed through a telescope moving to fast for a comet but to slow for a satellite or meteor,7/29/23,Yes
7/20/23 22:24,https://nuforc.org/webreports/reports/176/S176852.html,Bellevue,WA,USA,Cigar,5+ minutes,Hovering Craft Above Downtown Bellevue,7/29/23,Yes
7/19/23 07:27,https://nuforc.org/webreports/reports/176/S176844.html,Lemon Grove,CA,USA,Cigar,2 minutes?,object had 'fins' so not an airplane,7/29/23,Yes
7/17/23 10:27,https://nuforc.org/webreports/reports/176/S176877.html,Sullivan,MO,USA,Cigar,30 seconds to a minute,We saw a long white tic tax type cylinder with rounded edges hovering above the tree line.,7/29/23,
7/16/23 08:40,https://nuforc.org/webreports/reports/176/S176805.html,Winnemucca,NV,USA,Cigar,8 minutes,Large cigar shaped object floating left to right across the sky at high altitude,7/29/23,Yes
7/13/23 20:21,https://nuforc.org/webreports/reports/176/S176751.html,North haven,CT,USA,Cigar,30 seconds,The craft was white almost like a tic tac that moved slow and steady went behind a cloud and disappeared.,7/29/23,
7/12/23 12:08,https://nuforc.org/webreports/reports/176/S176776.html,London,London Borough of Croydon,United Kingdom,Cigar,(Observed for) 13 minutes,Cigar or disk hiding in clouds,7/29/23,Yes
7/11/23 21:50,https://nuforc.org/webreports/reports/176/S176710.html,St Catharines,ON,Canada,Cigar,5-10 Minutes,Black sick looking object in the sky right now!,7/29/23,
7/11/23 04:44,https://nuforc.org/webreports/reports/176/S176790.html,MALAGA,Málaga Province,Spain,Cigar,,"I was taking a photo of the moon, saw the ufo decided to keep moon shot in the centre, to help prospective, this is facing south",7/29/23,Yes
7/10/23 20:29,https://nuforc.org/webreports/reports/176/S176695.html,Defiance,MO,USA,Cigar,2-3 mins,Witnessed a tic-tac/cigar shaped object while taking my dog out,7/29/23,Yes
7/1/23 21:57,https://nuforc.org/webreports/reports/176/S176597.html,Eden Prairie,MN,USA,Cigar,15 seconds,Craft moved at high speed traveling south directly at my House and camera them made an abrupt turn to the west.,7/10/23,
7/1/23 21:33,https://nuforc.org/webreports/reports/176/S176562.html,Shenandoah,VA,USA,Cigar,Less than 1 second,"Recording neighbors fireworks and a green light cut across the sky, saw it with my naked eye too just wasnt sure what it was right away",7/10/23,Yes
6/30/23 01:26,https://nuforc.org/webreports/reports/176/S176526.html,Keizer,OR,USA,Cigar,A few seconds,"An object gliding fast in the sky, no lights greyish brown color. Looked as if there was some texture to it , I saw it disappear.",7/10/23,
6/25/23 23:15,https://nuforc.org/webreports/reports/176/S176461.html,Bellevue,WA,USA,Cigar,30 seconds,Bellevue UFO,7/10/23,Yes
6/25/23 18:41,https://nuforc.org/webreports/reports/176/S176494.html,Riverside,RI,USA,Cigar,2 minutes,Noticed a stationary object above the tree line,7/10/23,Yes
6/24/23 18:45,https://nuforc.org/webreports/reports/176/S176452.html,Coupeville,WA,USA,Cigar,5 seconds,"I saw what I thought was a plane flying in the distance, I watched it for about 4 seconds when it abruptly disappeared.",7/10/23,
6/22/23 23:22,https://nuforc.org/webreports/reports/176/S176413.html,Grand Rapids,MI,USA,Cigar,30 seconds,I saw a very large cigar shaped craft passing overhead.,7/10/23,
6/22/23 22:18,https://nuforc.org/webreports/reports/176/S176414.html,New Castle,CO,USA,Cigar,30 seconds,"Ocean freighter size craft floated by, good video of blinking lights",7/10/23,
6/18/23 23:50,https://nuforc.org/webreports/reports/176/S176350.html,Leipzig,Saxony,Germany,Cigar,10 min,Still green streaks,7/10/23,Yes
6/14/23 22:41,https://nuforc.org/webreports/reports/176/S176286.html,Longview,WA,USA,Cigar,One minute,"Massive and loud aircraft sped unusually close to residential neighborhood, spotlight searching from the fore.",7/10/23,
6/12/23 22:45,https://nuforc.org/webreports/reports/176/S176233.html,Oakton,VA,USA,Cigar,4 minutes,"String of object(s) was 15 miles out and 2 miles up, moving west to east then headed north where only the tail end showed.",7/10/23,
6/12/23 22:20,https://nuforc.org/webreports/reports/176/S176261.html,Joshua Tree,CA,USA,Cigar,10 minutes or less,UAP seen less the 100ft off ground shaped like a cigar shaped harmonica,7/10/23,
6/10/23 21:55,https://nuforc.org/webreports/reports/176/S176160.html,Zebbug,Zebbug Malta,Malta,Cigar,45 seconds,I was having fun with my friends in zebbug for to explore fireworks I noticed there is shinning cigar type object flying near fireworks,7/10/23,Yes
6/9/23 18:43,https://nuforc.org/webreports/reports/176/S176421.html,Wasilla,AK,USA,Cigar,45 seconds,Very Bright large cigar shaped object appeared in NW airspace hovered about 45 seconds then disappeared.,7/10/23,
6/5/23 09:28,https://nuforc.org/webreports/reports/176/S176026.html,Rio Rancho,NM,USA,Cigar,seconds,Chromish object from south to southwest,7/10/23,
6/1/23 04:30,https://nuforc.org/webreports/reports/176/S176010.html,Rome,GA,USA,Cigar,Approximately 5 minutes,Oblong craft shining green laser,7/10/23,
5/31/23 18:00,https://nuforc.org/webreports/reports/176/S176850.html,"Oakenshaw, Low Moor, Wibsey",Bradford,United Kingdom,Cigar,Approx 2 minutes,At approx 1800hrs this evening myself and my partner witnessed a UFO going across the sky high above Oaken,7/29/23,
5/30/23 21:57,https://nuforc.org/webreports/reports/175/S175987.html,Herington,KS,USA,Cigar,15 seconds,Appears to be controlled flight with non wavering light emitted. Missile possible but big full body,7/10/23,
5/25/23 19:56,https://nuforc.org/webreports/reports/175/S175958.html,Hope,ID,USA,Cigar,10 seconds,"A cigar shaped very illuminated yellow white and iridescent light ship traveling rapidly to the south west, coming out of the north.",7/10/23,Yes
5/25/23 19:26,https://nuforc.org/webreports/reports/175/S175956.html,Liberty,UT,USA,Cigar,1 second,I was recording lightning and played it back and saw something fly through the lightning as it flashed,7/10/23,Yes
5/24/23 09:06,https://nuforc.org/webreports/reports/175/S175905.html,Portland,OR,USA,Cigar,30 seconds,"Walking dog, looked up and saw object drifting, then noticed secondary object drifting in opposing direction.",7/10/23,Yes
5/22/23 19:40,https://nuforc.org/webreports/reports/175/S175881.html,Kelseyville,CA,USA,Cigar,15 Seconds,Cigar shaped craft in the southern sky,7/10/23,Yes
5/20/23 22:08,https://nuforc.org/webreports/reports/175/S175914.html,Round Mountain,CA,USA,Cigar,About 1 to 2 minutes,Bright and dimmer lights moving in sequence then disappeared and after they were gone random blinking lights in various parts of sky,7/10/23,
5/18/23 13:27,https://nuforc.org/webreports/reports/175/S175836.html,Hurricane,UT,USA,Cigar,10 minutes,Saw what looked like a long cigar shaped object and another tiny flashing light zipping around it.,5/19/23,
5/15/23 18:10,https://nuforc.org/webreports/reports/175/S175807.html,Athabasca,AB,Canada,Cigar,,Sitting outside saw something in the sky not a airplane took a video,5/19/23,
5/14/23 22:00,https://nuforc.org/webreports/reports/175/S175796.html,"Brodheadsville, PA",PA,USA,Cigar,2 minutes,"150ft+ maybe bigger Transparent single ufo with lights disappears above heads, below and behind plane",5/19/23,
5/6/23 08:46,https://nuforc.org/webreports/reports/175/S175679.html,Fairfax,VA,USA,Cigar,4 seconds,"Object initially appeared dark and spherical, but quickly turned, revealing that it was dull gray and cigar-like",5/19/23,
