date,reportlink,city,state,country,shape,duration,description,post_date,images
7/26/23 20:00,https://nuforc.org/webreports/reports/177/S177096.html,Hot Springs National Park,AR,USA,Circle,8 minutes,2 separate plastic bag looking objects floating then changing directions,7/29/23,
7/24/23 20:54,https://nuforc.org/webreports/reports/177/S177007.html,St Neots,Cambridgeshire,United Kingdom,Circle,,A bizarre flying shape,7/29/23,
7/23/23 21:24,https://nuforc.org/webreports/reports/176/S176910.html,Fredericksburg,TX,USA,Circle,1-2 minutes,Circle light unlike anything Ive seem before. Traveling way up high extremely fast.,7/29/23,Yes
7/23/23 20:53,https://nuforc.org/webreports/reports/176/S176918.html,Winter Garden,FL,USA,Circle,More than a minute,White circular light with billowing tail,7/29/23,
7/23/23 19:00,https://nuforc.org/webreports/reports/176/S176959.html,Lubbock,TX,USA,Circle,5 min,Bright white orb,7/29/23,
7/22/23 21:30,https://nuforc.org/webreports/reports/176/S176935.html,Miami Beach,FL,USA,Circle,10 seconds,One green light in the sky. Stood still. Then moved north at an incredible speed. Steady light. No plane. No satellite.,7/29/23,
7/22/23 02:23,https://nuforc.org/webreports/reports/176/S176944.html,Huntington,NY,USA,Circle,30 minutes,"It was a beautiful round, stationary, and silent object with hundreds of bright lights.",7/29/23,Yes
7/22/23 00:00,https://nuforc.org/webreports/reports/176/S176932.html,Louningberg,VT,USA,Circle,From 12 am two 2 am,Between 12am and 2 am there were white small circles hovering in sky,7/29/23,
7/21/23 21:40,https://nuforc.org/webreports/reports/176/S176947.html,Tiburon,CA,USA,Circle,5 minutes,"On July 21st, observed a very large orange object over SF. Was in same place for 4 mins, and then flew off very fast.",7/29/23,
7/20/23 21:45,https://nuforc.org/webreports/reports/177/S177027.html,Reno,NV,USA,Circle,4 seconds,"slight crescent moon low on horizon ,..cloudless skyno windbright round silent slow flying level flight path",7/29/23,
7/20/23 20:32,https://nuforc.org/webreports/reports/176/S176859.html,Anniston,AL,USA,Circle,About 5 minutes,It looked like a fire in the sky at first.,7/29/23,
7/20/23 19:35,https://nuforc.org/webreports/reports/176/S176860.html,Dover,NH,USA,Circle,5 seconds,I witnessed a bright white light for 3-4 seconds that suddenly disappeared.,7/29/23,
7/20/23 02:20,https://nuforc.org/webreports/reports/176/S176881.html,Lock Haven,PA,USA,Circle,10 minutes,Color lights in sky,7/29/23,
7/16/23 19:38,https://nuforc.org/webreports/reports/176/S176808.html,HAMBURG,NY,USA,Circle,MORE THAN ONE HOUR,I saw a bright orange light in a circle shape. It changed in color to a bright red. I tried to capture image on my cell but it did not.,7/29/23,Yes
7/15/23 21:47,https://nuforc.org/webreports/reports/176/S176798.html,Eugene,OR,USA,Circle,50 seconds,Looked like ISS maybe mag.0 from the star Arcturus passing Vega disappearing into the eastern horizon.,7/29/23,
7/15/23 12:06,https://nuforc.org/webreports/reports/176/S176783.html,Bentonville,AR,USA,Circle,9 minutes,"Noticed a circular object in the day time sky, non aircraft.",7/29/23,
7/14/23 20:41,https://nuforc.org/webreports/reports/176/S176772.html,Goodyear,AZ,USA,Circle,2 min,they were moving in a straight line,7/29/23,
7/14/23 20:16,https://nuforc.org/webreports/reports/176/S176891.html,Malmo,Skåne County,Sweden,Circle,less than 2 min,In the sky there is a circle with around of 7 lights in it,7/29/23,Yes
7/14/23 05:10,https://nuforc.org/webreports/reports/176/S176767.html,Bear,DE,USA,Circle,2 minutes,Blinking circle that changed colors from red to faded white,7/29/23,Yes
7/13/23 21:40,https://nuforc.org/webreports/reports/176/S176757.html,Upland,CA,USA,Circle,3-4 minutes,"A bright circular shape, brighter than a star was moving across the sky in an eastern direction. The object slowly dimmed within a min",7/29/23,
7/12/23 07:51,https://nuforc.org/webreports/reports/176/S176742.html,Irvine,CA,USA,Circle,,Circular object with an a long thing in the middle,7/29/23,Yes
7/12/23 05:05,https://nuforc.org/webreports/reports/176/S176721.html,Mesquite,NM,USA,Circle,60-90 seconds,Saw a bright round moon looking light with several smaller round lights inside,7/29/23,
7/11/23 22:30,https://nuforc.org/webreports/reports/176/S176794.html,Lancaster CA,CA,USA,Circle,3-4 seconds.,"Was flying extremely slow, once I lost sight for a few minutes something flew across the sky at blitzing speed with no trail behind.",7/29/23,
7/11/23 21:00,https://nuforc.org/webreports/reports/176/S176718.html,Rockville,MD,USA,Circle,10 minutes,"Large size object in sky, bright orb",7/29/23,Yes
7/11/23 03:38,https://nuforc.org/webreports/reports/176/S176747.html,Lawrenceville,NJ,USA,Circle,1-2 minutes maybe,Circular craft with green and red lights,7/29/23,
7/11/23 01:30,https://nuforc.org/webreports/reports/176/S176719.html,winsford cheshire uk,United Kingdom,United Kingdom,Circle,between 1 and 2 am,bright circle orb light light high in the sky moving slowly i took photos,7/29/23,Yes
7/9/23 23:54,https://nuforc.org/webreports/reports/176/S176668.html,Melbourne,FL,USA,Circle,15 seconds,I open back door and saw a light in sky hovering far a away slowly it was sat night at 11:54 pm it was dark it was a red light solid,7/10/23,Yes
7/9/23 21:00,https://nuforc.org/webreports/reports/176/S176694.html,Saint Clairsville,OH,USA,Circle,7 minutes,Witnessed and videoed floating orb in the sky.,7/29/23,Yes
7/7/23 12:19,https://nuforc.org/webreports/reports/176/S176627.html,Bamber Bridge,Lancashire,United Kingdom,Circle,30 seconds,"Looked like a aeroplane, but extreme bright with no other lights only white",7/10/23,
7/6/23 22:00,https://nuforc.org/webreports/reports/176/S176656.html,Blaine,MN,USA,Circle,2 min,Moving ball of light.,7/10/23,
7/6/23 07:50,https://nuforc.org/webreports/reports/176/S176620.html,Pottstown,PA,USA,Circle,1-2 minutes,JBU555 pilots reported fast flying object 4-5 thousand feet above,7/10/23,
7/5/23 20:25,https://nuforc.org/webreports/reports/176/S176632.html,Boston,MA,USA,Circle,10 minutes 34 seconds,Flying low there's two spheres one on top of the other. They go sideways and upwards towards the sky. In the end they take off quickly,7/10/23,Yes
7/4/23 23:30,https://nuforc.org/webreports/reports/176/S176599.html,Tacoma,WA,USA,Circle,About 5 min,Flashing light that turned red with a green blinking light then would turn blue and moved fast and would disappear and reappear.,7/10/23,
7/4/23 21:14,https://nuforc.org/webreports/reports/176/S176594.html,Pirtsmouth,VA,USA,Circle,10 minutes,I saw a cataract like anomaly in the sky. It was still for a while and then slowly dropped from the sky.,7/10/23,Yes
7/4/23 08:55,https://nuforc.org/webreports/reports/176/S176593.html,sarasota,FL,USA,Circle,7 min,This object was in front of the clouds ands burning bright yellow /orange with a standing aurora around it,7/10/23,Yes
7/2/23 13:34,https://nuforc.org/webreports/reports/176/S176559.html,Abo ruins near Belen,NM,USA,Circle,2 sec,At ruins. It was silent. no emissions . Disappeared,7/10/23,Yes
7/1/23 22:42,https://nuforc.org/webreports/reports/177/S177097.html,Quincy,IL,USA,Circle,5 seconds,It flew so low in made a hum that made my eyes hurt it shot past so low to the point the trees blew from the wind I saw one big light,7/29/23,
7/1/23 20:57,https://nuforc.org/webreports/reports/176/S176540.html,Milford,IA,USA,Circle,At least 10 mins,"Not moving, from what we can tell - or perhaps very slowly - silver or white, reflecting light",7/10/23,Yes
6/30/23 19:25,https://nuforc.org/webreports/reports/176/S176724.html,Highmore,SD,USA,Circle,3 hours,Bright white disk,7/29/23,Yes
6/28/23 03:48,https://nuforc.org/webreports/reports/176/S176495.html,"Fort Clark Springs, Brackettville",TX,USA,Circle,Sighting about 30 seconds,"It was round disc shape and had lights that flashed simultaneously around the edge of the craft in red, yellow, and white.",7/10/23,Yes
6/25/23 20:00,https://nuforc.org/webreports/reports/176/S176450.html,Bowling Green,KY,USA,Circle,30 seconds,Silver sphere with sun reflecting off of it. Moved slightly left then stayed still then faded from view entirely.,7/10/23,
6/25/23 19:57,https://nuforc.org/webreports/reports/176/S176469.html,Hoover,AL,USA,Circle,4 seconds,Really weird,7/10/23,Yes
6/25/23 16:36,https://nuforc.org/webreports/reports/176/S176448.html,Corvallis,OR,USA,Circle,15 seconds,"Giant White Object floating, became visible for 15 seconds and then vanished.",7/10/23,
6/25/23 16:28,https://nuforc.org/webreports/reports/176/S176458.html,Portland,OR,USA,Circle,Flew over our house,My husband and I were outside in our backyard and my husband pointed it out flying overhead. First saw it near the moon.,7/10/23,Yes
6/24/23 22:35,https://nuforc.org/webreports/reports/176/S176435.html,Dennison,OH,USA,Circle,10 minutes,3 small white orbs moving quickly and changing around formation in ways not aerodynamically possible for human planes. No blinking,7/10/23,
6/24/23 21:20,https://nuforc.org/webreports/reports/176/S176427.html,Margate,England,United Kingdom,Circle,1 mi ute,"Heard noise, looked to see craft flying overhead. Then came back towards me. dropped in height, looked at me it seemed and left",7/10/23,
6/23/23 18:30,https://nuforc.org/webreports/reports/176/S176431.html,San diego,CA,USA,Circle,For a few seconds,It has crevices in it. We snapped a pic,7/10/23,Yes
6/22/23 05:25,https://nuforc.org/webreports/reports/176/S176411.html,orlando,FL,USA,Circle,5 minutes,"Just above treeline, orange glowing globe. Above lake underhill & dean road",7/10/23,
6/21/23 23:15,https://nuforc.org/webreports/reports/176/S176564.html,Texas Creek/Cotopaxi,CO,USA,Circle,5 minutes,I observed a huge area of red flood-like lighting and a red circular object emerge from it.,7/10/23,
6/20/23 23:08,https://nuforc.org/webreports/reports/176/S176373.html,Gustine,CA,USA,Circle,About 3 seconds,"It was night time when I noticed a beam in the sky that then turned into two. These lights moved fast, whirlyand odd, like interacting.",7/10/23,
