date,reportlink,city,state,country,shape,duration,description,post_date,images
7/23/23 20:58,https://nuforc.org/webreports/reports/176/S176915.html,,,Turks And Caicos Islands,Cone,1-3 minutes,Thought to be aircraft pushing through fog but emerged and did not have flashing lights associated with airplane.,7/29/23,Yes
7/19/23 21:14,https://nuforc.org/webreports/reports/176/S176872.html,Malibu,CA,USA,Cone,maybe 1 minute,A moving orb omitting an aura or haze that stretched across the sky,7/29/23,
6/14/23 06:32,https://nuforc.org/webreports/reports/176/S176263.html,Brockton right above RT 24,MA,USA,Cone,1 min I was driving by,Driving to work and a small silver object hovering above the highway and I was able to get a picture,7/10/23,Yes
5/27/23 21:20,https://nuforc.org/webreports/reports/175/S175937.html,Washingtonville,NY,USA,Cone,10 seconds,"Very fast constant speed traveling from S to N with continuous illumination, no flashing. Not a meteorite.",7/10/23,
5/15/23 21:45,https://nuforc.org/webreports/reports/175/S175793.html,IVER HEATH,Buckinghamshire,United Kingdom,Cone,1 Minute,"The craft with 2 white bright lights one red flashing light over head looking towards me, after 30 seconds it flew off towards Northolt",5/19/23,
4/5/23 20:57,https://nuforc.org/webreports/reports/175/S175506.html,accra,Greater Accra Region,Ghana,Cone,1 hour every 4 hours,i met these extra terrestrial beings in my ownhome . they cme in through the door,5/19/23,
3/17/23 21:55,https://nuforc.org/webreports/reports/175/S175041.html,Roseville,CA,USA,Cone,15 seconds,"Six red fire balls I looked up and they were in the middle of the sky in 15 seconds or gone parallel, flying to the earthwith tails",4/9/23,
2/10/23 10:12,https://nuforc.org/webreports/reports/174/S174658.html,taueanga,Bay of Plenty Region,New Zealand,Cone,3 minutes,Saw it hover at my house for 3 minutes and it didn't seem to do anything,3/6/23,
2/9/23 19:16,https://nuforc.org/webreports/reports/174/S174412.html,Newark,OH,USA,Cone,10 to 12 minutes,Many flashing lights following a bigger object,3/6/23,
2/2/23 16:00,https://nuforc.org/webreports/reports/174/S174257.html,Foxboro,MA,USA,Cone,10 seconds,Narrow Cone-Shaped Craft Hovered then Disappeared from the Clear Blue Sky,3/6/23,
1/15/23 18:00,https://nuforc.org/webreports/reports/173/S173945.html,Boynton Beach,FL,USA,Cone,Eastbound about 3 minutes,Cone shaped object with cloud like contrail that did not dissipate rapidly in sky,3/6/23,Yes
1/9/23 23:50,https://nuforc.org/webreports/reports/173/S173831.html,Carrollwood,FL,USA,Cone,Revised 8 mins on and off,3 craft seen with Orange glow seen twice from larger of craft in an area not known for sightings.,3/6/23,
12/16/22 17:53,https://nuforc.org/webreports/reports/173/S173435.html,Belhaven,NC,USA,Cone,,Lighting in sky with orb of light around it and then disappeared after ~3-4 minutes (SpaceX),12/22/22,Yes
12/12/22 22:00,https://nuforc.org/webreports/reports/173/S173512.html,Lower Hutt,Wellington Region,New Zealand,Cone,15 Min,Witnessed a strange white light flying over Lower Hutt. Possible Chinese Rocket.,12/22/22,Yes
11/26/22 14:17,https://nuforc.org/webreports/reports/173/S173193.html,Mount Holly,NJ,USA,Cone,3 seconds,"Driving up the bypass I witnessed a metallic almost glassy cone shaped object. It was upright and vertical, and was rotating.",12/22/22,Yes
11/11/22 23:20,https://nuforc.org/webreports/reports/172/S172979.html,Adelaide. South Australia.,South Australia,Australia,Cone,6 SECONDS,Unknown object sighted near jet aircraft.,12/22/22,Yes
