date,reportlink,city,state,country,shape,duration,description,post_date,images
7/23/23 21:00,https://nuforc.org/webreports/reports/176/S176904.html,Northfield,NH,USA,Cross,5-10 minutes,a T shaped cluster of blue/white lights hovering over I93,7/29/23,
7/13/23 21:10,https://nuforc.org/webreports/reports/176/S176756.html,Oceanside,CA,USA,Cross,30 seconds,Silent flying object moving slow then disappeared,7/29/23,
6/10/23 03:12,https://nuforc.org/webreports/reports/176/S176182.html,Phoenix,AZ,USA,Cross,3 hours,"About five dim new lights in the sky appeared to shimmer and come into focus, the a very bright, blue butterfly shaped light grew out.",7/10/23,
5/17/23 01:30,https://nuforc.org/webreports/reports/175/S175916.html,Pahrump,NV,USA,Cross,One minute,"Bright Red and Blue flashing lights following the highway, approaching us in opposite direction observed before disappearing.",7/10/23,
5/16/23 23:59,https://nuforc.org/webreports/reports/175/S175819.html,Castle Rock,WA,USA,Cross,Maybe 5 seconds,"Cross-shaped, white object with blurry or foggy appearance (possibly pulsating) moving at low altitude but high rate of speed",5/19/23,
4/26/23 10:50,https://nuforc.org/webreports/reports/175/S175511.html,New Boston,MI,USA,Cross,1 minute,Small white bird shaped object barely visible.,5/19/23,
4/11/23 23:13,https://nuforc.org/webreports/reports/175/S175313.html,Dallas,TX,USA,Cross,1 min,I am just trying to access the dataset for a school project,5/19/23,
3/1/23 19:30,https://nuforc.org/webreports/reports/174/S174800.html,Leesburg,GA,USA,Cross,Over 30 minutes,Two stationary white lights. One smaller & higher than the other.   NUFORC Note: Jupiter and Venus,3/6/23,Yes
2/27/23 19:45,https://nuforc.org/webreports/reports/174/S174748.html,Brandon,SD,USA,Cross,20-30 minutes,Two stationery craft.    NUFORC Note: Jupiter and Venus,3/6/23,Yes
2/20/23 20:35,https://nuforc.org/webreports/reports/175/S175321.html,Troy,IL,USA,Cross,10 min,Large half sphere shaped shock wave,5/19/23,Yes
2/9/23 15:11,https://nuforc.org/webreports/reports/174/S174383.html,Madera,CA,USA,Cross,5 minute,Heard an unusually loud noise I couldnt find. Checked on an app for planes and it showed nothing.,3/6/23,Yes
2/3/23 17:20,https://nuforc.org/webreports/reports/174/S174301.html,Palm Springs,CA,USA,Cross,10 minutes,Black object was moving very very slow to its right,3/6/23,Yes
1/19/23 23:45,https://nuforc.org/webreports/reports/174/S174010.html,,,USA,Cross,5 to 10 minutes,Size of a small commercial plane hovering like a drone very low over a residential neighborhood. Not a helicopter not a plane had red,3/6/23,
12/28/22 19:02,https://nuforc.org/webreports/reports/173/S173965.html,Shiloh,PA,USA,Cross,5 to 10 minutes,"Bright light in sky, wasn't still at 1st, eventually saw the shape above me, moved straight in 1 direction, reversed, then went high up",3/6/23,Yes
12/18/22 21:05,https://nuforc.org/webreports/reports/173/S173478.html,Conover,NC,USA,Cross,4 minutes,An unidentified drone-shaped craft with 4 flashing white LEDs was seen hovering over my house.,12/22/22,
12/13/22 12:07,https://nuforc.org/webreports/reports/173/S173372.html,Kent,OH,USA,Cross,40 seconds,"I thought at first this might be a plane making its way upwards, soon to see that it was remaining stationary.",12/22/22,
12/1/22 15:33,https://nuforc.org/webreports/reports/173/S173237.html,,,USA,Cross,,I observed some type of phenomenon that I was not able to explain it happened so fast that I was not able to comprehend and as well as,12/22/22,Yes
11/24/22 17:30,https://nuforc.org/webreports/reports/174/S174354.html,Manchester,NH,USA,Cross,10 to 15 sec,It had for round fans light silver and it was a black gunmetal color very sleek design size a a van or SUV. Quiet no sound like it was,3/6/23,
11/22/22 22:50,https://nuforc.org/webreports/reports/173/S173152.html,Pittsburgh,PA,USA,Cross,10-15 minutes,Two brightly lit objects appeared simultaneously on the horizon flying over our home approximately 5 -,12/22/22,
11/19/22 09:07,https://nuforc.org/webreports/reports/175/S175136.html,Melbourne,Victoria,Australia,Cross,Only once,I have a hunting security camera and it caught something very strange,4/9/23,Yes
