date,reportlink,city,state,country,shape,duration,description,post_date,images
7/28/23 18:05,https://nuforc.org/webreports/reports/177/S177106.html,Boaco,Boaco Department,Nicaragua,Cylinder,30 seconds,Large cylindrical object flew overhead lasting around 30 seconds,7/29/23,
7/23/23 00:00,https://nuforc.org/webreports/reports/177/S177016.html,Everett,WA,USA,Cylinder,30 seconds,Seen while driving large class C rv,7/29/23,
7/17/23 21:17,https://nuforc.org/webreports/reports/176/S176868.html,Brooklyn,NY,USA,Cylinder,About 7 minutes,Bright U.I.O,7/29/23,Yes
7/14/23 20:30,https://nuforc.org/webreports/reports/176/S176766.html,Bickley,Kent,United Kingdom,Cylinder,2 minutes,I was turning left and see a spinning cylinder right in front of us,7/29/23,
7/12/23 23:36,https://nuforc.org/webreports/reports/176/S176733.html,Fairview Park,OH,USA,Cylinder,4 seconds,Saw a definitive tick tac like object the size of a dime at arms length about 35 degrees above horizon through sky light window.,7/29/23,
7/11/23 09:15,https://nuforc.org/webreports/reports/176/S176701.html,Vancouver,WA,USA,Cylinder,At Home,Floating Shining Cylinder shape with wings,7/29/23,Yes
7/10/23 22:00,https://nuforc.org/webreports/reports/176/S176688.html,Attalla,AL,USA,Cylinder,Lasted at least 35-40 min,4 spinning red lights and 1 green light on each,7/29/23,
7/7/23 20:53,https://nuforc.org/webreports/reports/176/S176640.html,Roseburg,OR,USA,Cylinder,4 minutes,Cylinder moving across the sky,7/10/23,
7/5/23 23:00,https://nuforc.org/webreports/reports/176/S176621.html,Milton,VT,USA,Cylinder,15-20 seconds,"11pm, looking to the sky, the most brilliant thing I've ever seen.",7/10/23,
7/5/23 09:15,https://nuforc.org/webreports/reports/176/S176595.html,Ocean springs,MS,USA,Cylinder,2 minutes,Long silver reflective cylinder moving south,7/10/23,
6/25/23 19:00,https://nuforc.org/webreports/reports/176/S176467.html,Long Beach,CA,USA,Cylinder,2 minutes,Slow moving cylinder traveling over the harbor,7/10/23,
6/24/23 21:14,https://nuforc.org/webreports/reports/176/S176489.html,Rural Kirkwood,IL,USA,Cylinder,A second maybe,Was taking video of lightning flashes noticed a craft streaking across the sky,7/10/23,
6/24/23 04:00,https://nuforc.org/webreports/reports/176/S176471.html,phoenix,AZ,USA,Cylinder,1 minute,Cylindrical long fast moving object,7/10/23,
