date,reportlink,city,state,country,shape,duration,description,post_date,images
6/29/23 20:17,https://nuforc.org/webreports/reports/176/S176800.html,Spokane,WA,USA,Diamond,12 minutes,"High altitude, slow moving, revolving with blue light, no sound",7/29/23,Yes
6/25/23 21:00,https://nuforc.org/webreports/reports/176/S176459.html,Oakdale,CA,USA,Diamond,About an hour,We have noticed this last 3 days . First in our backyard and also one time while driving . This object glides very slowly and goes down,7/10/23,
6/15/23 05:00,https://nuforc.org/webreports/reports/176/S176303.html,White City,OR,USA,Diamond,2 minutes or so,A small very shiny hovering object,7/10/23,
6/5/23 14:43,https://nuforc.org/webreports/reports/176/S176020.html,Gainesville,VA,USA,Diamond,20 Minutes,Silver Diamond object flashing or reflecting light from sun randomly,7/10/23,
6/2/23 01:21,https://nuforc.org/webreports/reports/176/S176077.html,Lakewood,OH,USA,Diamond,20 seconds,"It was triangular, white, glowing, and soundless",7/10/23,Yes
5/17/23 11:54,https://nuforc.org/webreports/reports/175/S175825.html,Atlin,BC,Canada,Diamond,3 minutes,"Extreme bright light moving east from west just above height of land thousands of feet below air corridor.single track,no sound,stable",5/19/23,
5/13/23 22:17,https://nuforc.org/webreports/reports/175/S175757.html,jacksonville,FL,USA,Diamond,2 minutes,"Bright fluorescent, orange, oddly shaped lit up like an active fire slowly dam down after probably two minutes.",5/19/23,
5/2/23 22:06,https://nuforc.org/webreports/reports/175/S175721.html,Yapank,NY,USA,Diamond,Saw this strange light,Saw light in sky that looked out of place,5/19/23,Yes
4/21/23 21:20,https://nuforc.org/webreports/reports/175/S175451.html,Altoona,PA,USA,Diamond,ap 2 minutes,"Heard what sounded similar to a turbo diesel engine but we knew that it wasn't that. We all began to investigate the sound,",5/19/23,
4/18/23 21:10,https://nuforc.org/webreports/reports/175/S175424.html,Cairo,NY,USA,Diamond,58 minutes,"Not a craft and not an orb. Diamond shape, stayed in one spot, starburst like with red, white and blue colors.",5/19/23,
4/14/23 05:07,https://nuforc.org/webreports/reports/175/S175337.html,Madison,AL,USA,Diamond,2 minutes,Flashing blue red white light pattern of diamond. Hovering low. Very slow. No significant distance in 2 min observing. Vanished,5/19/23,
4/13/23 00:00,https://nuforc.org/webreports/reports/175/S175367.html,Plainfield,IL,USA,Diamond,1 hour and counting,Several Flashing objects in sky,5/19/23,
