date,reportlink,city,state,country,shape,duration,description,post_date,images
7/29/2023 0:20,https://nuforc.org/webreports/reports/177/S177085.html,Worksop,Nottinghamshire,United Kingdom,Disk,Around a minute.,Flying saucer with red lights.,7/29/2023,
7/27/2023 22:06,https://nuforc.org/webreports/reports/177/S177052.html,Nisa,Portalegre District,Portugal,Disk,3 minutos,"I saw lights in the night sky and even saw a ship at a short distance, moving from south to east. It's not the first time.",7/29/2023,
7/26/2023 15:00,https://nuforc.org/webreports/reports/177/S177062.html,Noblesville,IN,USA,Disk,About 1 minute,There was a disk shaped smooth white aircraft of some sort hovering in the air. It was definitely not a cloud.,7/29/2023,
7/25/2023 23:08,https://nuforc.org/webreports/reports/176/S176967.html,Marysville,CA,USA,Disk,,"POSS UFO observed near Marysville, CA.",7/29/2023,Yes
7/23/2023 9:25,https://nuforc.org/webreports/reports/176/S176916.html,Harlingen,TX,USA,Disk,It was about 3-6 minutes,The light was so bright it looked bigger than the moon. Then a halo of light came from it and it started dimming quickly with more halo,7/29/2023,
7/22/2023 7:31,https://nuforc.org/webreports/reports/176/S176890.html,La Porte,TX,USA,Disk,1 minute,Really close and hovering,7/29/2023,Yes
7/21/2023 19:36,https://nuforc.org/webreports/reports/177/S177023.html,Tucson,AZ,USA,Disk,<60 seconds,I was taking pictures of the sunset,7/29/2023,Yes
7/19/2023 17:31,https://nuforc.org/webreports/reports/176/S176847.html,Dayton,OH,USA,Disk,~25 seconds,"Reflective disk in broad daylight, headed at 11 degree bearing (south, slightly west)",7/29/2023,
7/18/2023 20:24,https://nuforc.org/webreports/reports/176/S176838.html,Merrick,NY,USA,Disk,5 minutes,An irregualr shaped object with two streams of smoke or fire coming out,7/29/2023,
7/16/2023 22:00,https://nuforc.org/webreports/reports/176/S176840.html,Lake Mcconaughy (Cedar View Beach),CO,USA,Disk,about 2 minutes,Lights hovered over lake and disappeared within seconds,7/29/2023,Yes
7/15/2023 15:57,https://nuforc.org/webreports/reports/176/S176781.html,London,London Borough of Redbridge,United Kingdom,Disk,3-4 minutes,"UFO(disk, black)near commercial plane, glowing light around it, maybe following plane, then disappeared.",7/29/2023,Yes
7/14/2023 23:00,https://nuforc.org/webreports/reports/176/S176812.html,Seabeck,WA,USA,Disk,3 seconds,"UFO , oval shape , flew over my house, super fast, lit up the sky..",7/29/2023,
7/10/2023 1:10,https://nuforc.org/webreports/reports/176/S176707.html,St Catharines,ON,Canada,Disk,1-2 minutes maybe less,3 Round Objects - Lights All Went Out In My Area,7/29/2023,
7/4/2023 23:00,https://nuforc.org/webreports/reports/176/S176842.html,cheshire,CT,USA,Disk,5 seconds,A charcoal gray saucer the size of a football field was above the trees right in front of me...it had 3 large lights/windows and,7/29/2023,
7/4/2023 23:00,https://nuforc.org/webreports/reports/177/S177089.html,Cheshire,CT,USA,Disk,I saw a UFO tatal 5 sec,I was sitting on veranda when I saw light over the tree I initially thought it was fireworks.,7/29/2023,
7/3/2023 5:04,https://nuforc.org/webreports/reports/176/S176563.html,NYC,NY,USA,Disk,1 second,I was videotaping Central Park and 2 orbs appeared and disappeared,7/10/2023,
7/2/2023 21:30,https://nuforc.org/webreports/reports/176/S176574.html,St. George,UT,USA,Disk,45 min or so,"Flashing red, green and white lights",7/10/2023,
7/2/2023 21:25,https://nuforc.org/webreports/reports/176/S176761.html,North cape may,NJ,USA,Disk,5 seconds,Was at the bay at night watching a thunder storm when a craft zoomed right in front of us then right over us. I went to the ground.,7/29/2023,
7/1/2023 11:30,https://nuforc.org/webreports/reports/176/S176545.html,Warsaw,KY,USA,Disk,,Taking photos of damage after storm notice UFO in picture different locations,7/10/2023,Yes
6/29/2023 13:11,https://nuforc.org/webreports/reports/176/S176677.html,Sacramento,CA,USA,Disk,10 seconds,One disk like shape flew slowly across the sky in front of me at my office. It flew across slowly and did not look man-made.,7/29/2023,Yes
6/25/2023 4:30,https://nuforc.org/webreports/reports/176/S176443.html,Manteca,CA,USA,Disk,It was about 3 seconds,"I was entering the yard and I seen a disk type of UFO I assume and it had a blueish light surrounding it, as soon as I seen it, gone",7/10/2023,
6/23/2023 23:23,https://nuforc.org/webreports/reports/176/S176419.html,Chelmsford,MA,USA,Disk,15 seconds,Large fluorescent green disk falling from the sky,7/10/2023,
6/23/2023 22:20,https://nuforc.org/webreports/reports/176/S176455.html,Clines corner,NM,USA,Disk,27 seconds,It was really bright at first and has multiple colors then it just disappeared it was huge in the sky,7/10/2023,
6/21/2023 19:02,https://nuforc.org/webreports/reports/177/S177045.html,Hyderabad,Telangana,India,Disk,Maybe 3-5 seconds,It was a disk like thing flying and it suddenly disappeared into clouds afterwards no clue of that UFO,7/29/2023,Yes
6/21/2023 7:05,https://nuforc.org/webreports/reports/176/S176391.html,Fresno,CA,USA,Disk,6 seconds,It was disk shaped had lights and at a fast speed disappeared,7/10/2023,Yes
6/19/2023 1:05,https://nuforc.org/webreports/reports/176/S176375.html,Southampton,Hampshire,United Kingdom,Disk,10 Seconds,"Bright white disc flying very low altitude moving East to West was not a shooting star, plane or satellite.",7/10/2023,
6/12/2023 22:30,https://nuforc.org/webreports/reports/176/S176290.html,Sequim,WA,USA,Disk,1 min or a little less,Disk or octagon shaped craft traveled over home,7/10/2023,
6/12/2023 18:00,https://nuforc.org/webreports/reports/176/S176264.html,chester springs,PA,USA,Disk,bit over 60 minutes,object floating in sky for around an hour,7/10/2023,Yes
6/9/2023 10:00,https://nuforc.org/webreports/reports/176/S176179.html,Tucson,AZ,USA,Disk,20 seconds,Saw a ufo in the sky then saw orange light and sparkles on the other side of the mountain then walked right past 2 aliens.,7/10/2023,
6/4/2023 14:40,https://nuforc.org/webreports/reports/176/S176044.html,Lugano,Ticino,Switzerland,Disk,30 seconds,"while photographing, object was seen. I took another photograph, the object was gone.",7/10/2023,Yes
6/4/2023 12:04,https://nuforc.org/webreports/reports/176/S176039.html,dixon,CA,USA,Disk,30 seconds,Fast moving objects around fighter jets.,7/10/2023,Yes
6/3/2023 22:20,https://nuforc.org/webreports/reports/176/S176230.html,About 3 miles north of Monroe Oregon,OR,USA,Disk,2 Minutes,Greenish Blue streak turned into silver disk shape that was swirling with white light.,7/10/2023,
6/3/2023 16:35,https://nuforc.org/webreports/reports/176/S176723.html,Mesa Vista,CA,USA,Disk,Less than 1 second,"A very fast, disc-shaped craft moving west to east.",7/29/2023,
6/3/2023 10:00,https://nuforc.org/webreports/reports/176/S176052.html,Bad Axe,MI,USA,Disk,10-15 minutes,There was 2 Jets afterburner full blast overtaken by this craft the jets were throwing flares (6-7) the ufo sat in the sun to hide!,7/10/2023,
6/3/2023 10:00,https://nuforc.org/webreports/reports/176/S176329.html,BadAxe,MI,USA,Disk,5-10 minutes,F16s or f35s dogfighting a UAP,7/10/2023,
5/21/2023 19:30,https://nuforc.org/webreports/reports/175/S175864.html,Milwaukee,WI,USA,Disk,Still able to see,Numerous craft zipping in an out of clouds appear to have invisibility capabilities,7/10/2023,
5/16/2023 19:00,https://nuforc.org/webreports/reports/175/S175823.html,Tucson,AZ,USA,Disk,15 min,Hovering UFO,5/19/2023,
5/15/2023 16:35,https://nuforc.org/webreports/reports/175/S175794.html,Fenton,MI,USA,Disk,15 seconds,Shiny metal flying object hovering low,5/19/2023,Yes
5/14/2023 21:40,https://nuforc.org/webreports/reports/175/S175799.html,Cannon Beach,OR,USA,Disk,5 minutes or more,Disks appeared as clouds,5/19/2023,
5/10/2023 21:12,https://nuforc.org/webreports/reports/175/S175734.html,Hendersonville,NC,USA,Disk,30 seconds to 1 minute,Night sky lit up. Looked like a Ferris wheel shaped spinning object above the trees in the distance. Went down and disappeared,5/19/2023,
5/9/2023 9:05,https://nuforc.org/webreports/reports/176/S176118.html,Winter Garden,FL,USA,Disk,about 20 sec,While filming the amazing cloud coverage with high speed IR camera,7/10/2023,
5/6/2023 21:15,https://nuforc.org/webreports/reports/175/S175884.html,Oak Grove,MO,USA,Disk,30 mins,"7-10 orange lights heading north, followed by huge flying saucer, bottom illuminated by city lights. Followed by 7-10 military choppers",7/10/2023,
5/5/2023 9:27,https://nuforc.org/webreports/reports/176/S176127.html,Scottsdale,AZ,USA,Disk,2 minutes,Saw two crafts appearing then disappearing and moving back and forth,7/10/2023,Yes
5/3/2023 5:40,https://nuforc.org/webreports/reports/175/S175675.html,Grand Canyon south rim,AZ,USA,Disk,3 minutes,Taking pictures of the sun rise,5/19/2023,
5/2/2023 3:30,https://nuforc.org/webreports/reports/175/S175826.html,Edinburgh,Edinburgh,United Kingdom,Disk,Minutes,No noise it was hovering over bus depot at least the size of 2 football pitches,5/19/2023,
4/28/2023 20:56,https://nuforc.org/webreports/reports/175/S175539.html,Saugerties (Malden),NY,USA,Disk,30 minutes,I took off when the craft looked like it was turning around!,5/19/2023,Yes
4/25/2023 3:00,https://nuforc.org/webreports/reports/175/S175871.html,Indian Island,WA,USA,Disk,A good 2 hr,3 crafts . 1 craft shot out laser turned dark rain cloud white.,7/10/2023,
4/23/2023 18:00,https://nuforc.org/webreports/reports/175/S175479.html,Exeter,Devon,United Kingdom,Disk,Only picked up on photos.,Photo sunset . 2 images one with ufo one without,5/19/2023,Yes
4/23/2023 4:14,https://nuforc.org/webreports/reports/175/S175471.html,Woodcliff lake,NJ,USA,Disk,9 seconds,A shadow above the clouds disappears,5/19/2023,
4/18/2023 9:07,https://nuforc.org/webreports/reports/175/S175436.html,Toronto,ON,Canada,Disk,,Flying above highway 401 during rush hour it was going east above the lights,5/19/2023,
