date,reportlink,city,state,country,shape,duration,description,post_date,images
7/26/23 20:03,https://nuforc.org/webreports/reports/176/S176966.html,Saphan sung,Bangkok,Thailand,Egg,2 seconds,Not bright object travelling too fast,7/29/23,
7/10/23 07:20,https://nuforc.org/webreports/reports/176/S176841.html,Lincoln,NE,USA,Egg,1,Silver object flying in a westward direction off in a distace.,7/29/23,Yes
7/9/23 23:41,https://nuforc.org/webreports/reports/176/S176753.html,,CA,USA,Egg,8 sec,recording night sky,7/29/23,
6/17/23 01:10,https://nuforc.org/webreports/reports/176/S176322.html,Fair oaks,IN,USA,Egg,10 seconds,I went outside and saw a green fire ball,7/10/23,
6/4/23 19:30,https://nuforc.org/webreports/reports/176/S176488.html,Willis,TX,USA,Egg,15 sec,"We saw an egg shaped craft surrounded by clouds, traveling very fast",7/10/23,
5/22/23 04:50,https://nuforc.org/webreports/reports/177/S177095.html,Westport,MA,USA,Egg,Less than 3 min,Was not loud almost an eerie silent radio got very static had am channel on for weather sky lit up bright white very quickly,7/29/23,
5/13/23 15:45,https://nuforc.org/webreports/reports/175/S175845.html,Boston,MA,USA,Egg,5 seconds,A silver orb flew right over the Savin Hill train stop heading towards the little league park and the open water.,7/10/23,
5/8/23 12:30,https://nuforc.org/webreports/reports/175/S175711.html,Hazle Township,PA,USA,Egg,3 minutes,Object was flying aside a commercial jet liner that was flying very low.,5/19/23,Yes
5/7/23 20:00,https://nuforc.org/webreports/reports/176/S176112.html,Los Angeles,CA,USA,Egg,1 hour,"Spinning-top type UFO with multi-colored rings hovers 1 hour, sends out green ""drones"" then moves rapidly West until out of sight",7/10/23,
5/7/23 14:55,https://nuforc.org/webreports/reports/175/S175694.html,Sheffield,,United Kingdom,Egg,30 seconds between clouds,3 egg shaped craft shot between 2 cloud formations travelling very fast one after the other white in colour no vapour trail.,5/19/23,
4/28/23 02:15,https://nuforc.org/webreports/reports/175/S175596.html,Cheyenne,WY,USA,Egg,Still going on,Three hovering objects,5/19/23,
4/2/23 21:02,https://nuforc.org/webreports/reports/176/S176705.html,Atlantic Beach,NC,USA,Egg,A few seconds,"Thought at first I captured a shooting star, but realized they do not move up the sky.",7/29/23,Yes
3/1/23 18:57,https://nuforc.org/webreports/reports/175/S175594.html,Fontana,CA,USA,Egg,40,It disappears comes back in twos .,5/19/23,
3/1/23 10:36,https://nuforc.org/webreports/reports/174/S174856.html,Kelo,Logone Occidental Region,Chad,Egg,10 minutes,Okay. I was minding my business when I saw about 10 eggs floating in the air and it was scary for me. They were also glowing green,3/6/23,
2/28/23 18:16,https://nuforc.org/webreports/reports/175/S175261.html,Tipp City,OH,USA,Egg,5 minutes,White tic tac or egg shape flying object,5/19/23,Yes
2/21/23 14:10,https://nuforc.org/webreports/reports/174/S174236.html,Burnsville,,,Egg,Less than a second 300ele,Screaming object flies under hovering drone at unbelievable speed!,3/6/23,Yes
2/2/23 18:25,https://nuforc.org/webreports/reports/174/S174260.html,Dane,WI,USA,Egg,30 seconds,White Egg shape being followed by aircraft,3/6/23,
2/1/23 21:06,https://nuforc.org/webreports/reports/174/S174245.html,Puyallup,WA,USA,Egg,1-2 minutes,White edges red then dim moved close then apart,3/6/23,
1/28/23 16:00,https://nuforc.org/webreports/reports/174/S174223.html,Fries,VA,USA,Egg,3 minutes in sight,Weird egg in the sky,3/6/23,
1/23/23 20:13,https://nuforc.org/webreports/reports/174/S174387.html,Kailua,HI,USA,Egg,N/A,Unexpected red ( reflecting voggy atmosphere) object in photo,3/6/23,Yes
1/18/23 13:15,https://nuforc.org/webreports/reports/173/S173995.html,Fort Payne,AL,USA,Egg,,I'm capturing these objects on my security camera and they are leaving landing areas.,3/6/23,Yes
1/17/23 21:00,https://nuforc.org/webreports/reports/173/S173992.html,Seattle,WA,USA,Egg,30 minutes,Spotted egg in Seattle night sky.,3/6/23,
1/10/23 15:05,https://nuforc.org/webreports/reports/173/S173846.html,Cumming,GA,USA,Egg,45 seconds,"White craft with no wings, exhaust, lights moving fast and pretty low",3/6/23,Yes
1/6/23 23:30,https://nuforc.org/webreports/reports/173/S173779.html,Riverview,FL,USA,Egg,Almost 45 minutes,"Unusually large, bright, orange, stagnant object",3/6/23,
12/14/22 02:46,https://nuforc.org/webreports/reports/173/S173447.html,Calverton,NY,USA,Egg,20 seconds,Captured during long exposure photo session.,12/22/22,Yes
12/11/22 16:05,https://nuforc.org/webreports/reports/173/S173364.html,Denver,CO,USA,Egg,15 minutes,Egg-shaped object popping in and out of sky at random locations,12/22/22,
12/8/22 03:09,https://nuforc.org/webreports/reports/173/S173527.html,Ventnor city,NJ,USA,Egg,TAKEN,Mother & Son taken along with 7 other kids with there Parents!,3/6/23,Yes
12/3/22 22:00,https://nuforc.org/webreports/reports/173/S173238.html,West Monroe,LA,USA,Egg,,theyve been here for a year now,12/22/22,Yes
10/21/22 13:12,https://nuforc.org/webreports/reports/172/S172426.html,Taos,NM,USA,Egg,10 - 15 min,Objects appears to just pop in sight. They move slowly eastward and seem to tilt so that the sun reflects back and forth.,12/22/22,Yes
9/24/22 19:40,https://nuforc.org/webreports/reports/172/S172025.html,Leesburg,VA,USA,Egg,5 minutes,Light coming from none moving object in the sky and then suddenly turned off after on for several minutes.,10/8/22,Yes
9/24/22 19:32,https://nuforc.org/webreports/reports/171/S171979.html,St augustine,FL,USA,Egg,10 seconds,Spacex rockets plus 3 lights following,10/8/22,Yes
9/24/22 11:16,https://nuforc.org/webreports/reports/172/S172042.html,Warren,OH,USA,Egg,12 minutes,"A bean shaped flying object roaming in one straight line then moving erratically, it followed a known aircraft",10/8/22,Yes
9/19/22 18:50,https://nuforc.org/webreports/reports/173/S173417.html,Champaign,IL,USA,Egg,About 1 minute,Was standing on my porch and looked up and saw this egg/cigar shaped bright object slowly moving across the sky. No sound no wings.,12/22/22,Yes
8/24/22 15:30,https://nuforc.org/webreports/reports/175/S175452.html,Gallipolis,OH,USA,Egg,5 min,"It was gold in color, stationary over the runway, then it shot off like a bullet to the North.",5/19/23,
8/20/22 01:20,https://nuforc.org/webreports/reports/176/S176011.html,Orange Beach,AL,USA,Egg,10 MINUTES,ORAGNE-RED FIREBALL ENORMOUS TEARDROP SHAPED UFO,7/10/23,Yes
8/7/22 22:45,https://nuforc.org/webreports/reports/170/S170993.html,Sammamish,WA,USA,Egg,5 seconds,I saw a green egg shaped object flying in the sky heading north.,9/9/22,
8/6/22 21:30,https://nuforc.org/webreports/reports/173/S173180.html,Gatineau,Quebec,Canada,Egg,about a second,An infrared camera facing upward captured a spherical object moving up-screen for about a second; I liked the way it moved,12/22/22,Yes
8/2/22 21:05,https://nuforc.org/webreports/reports/170/S170872.html,fredericksburg,VA,USA,Egg,lasted about 2 1/2 minute,Craft 1 mile in the air bright neon green moved at lightning speed top was shaped like an egg but had a flat base,9/9/22,
7/29/22 17:38,https://nuforc.org/webreports/reports/170/S170766.html,lakewood,CO,USA,Egg,1,"Tornado warning east denver just heard on the radio. Storm 27,000 ft. atop a billowing cloud a dark object hugging.",9/9/22,
7/3/22 20:57,https://nuforc.org/webreports/reports/170/S170332.html,Tipp City,OH,USA,Egg,30 seconds,I saw a egg shaped flying object transmitting 2 white lights,9/9/22,Yes
6/29/22 16:00,https://nuforc.org/webreports/reports/175/S175031.html,Medellin,Antioquia Department,Colombia,Egg,120 seconds.,"A bright clear Formation of 6/7 UFO formation, on a clear blue sky over Medellin city at Colombia, June-29-2022.",4/9/23,
6/25/22 18:00,https://nuforc.org/webreports/reports/170/S170080.html,Hockley,,,Egg,5 plus mins,Second sighting in less than a week  silent moving against the wind changed colors silver red black and white,9/9/22,
6/20/22 07:35,https://nuforc.org/webreports/reports/168/S168768.html,Dandridge,TN,USA,Egg,2-3 seconds,silver egg flies through the morning sky + disappears.,6/22/22,
6/19/22 21:51,https://nuforc.org/webreports/reports/170/S170154.html,Gatineau,Quebec,Canada,Egg,4 seconds,Object pictured appeared on unmonitored camera; is it anomalous or an airplane?,9/9/22,Yes
6/18/22 16:50,https://nuforc.org/webreports/reports/170/S170079.html,Hockley,TX,USA,Egg,15- 20 mins,Saw one throbbing rotating orb that changed colors from red - black - silver,9/9/22,
6/13/22 19:48,https://nuforc.org/webreports/reports/168/S168655.html,Bowling Green,KY,USA,Egg,8 minuets to 10 minuets,2 tic-tac shaped craft chased by a jet,6/22/22,
6/11/22 16:30,https://nuforc.org/webreports/reports/168/S168634.html,Haydenville,MA,USA,Egg,20 minutes,initially assumed a jet without contrail but object stopped at about 40 degrees above northern horizon and remained stationary,6/22/22,
6/2/22 11:59,https://nuforc.org/webreports/reports/168/S168461.html,Converse,TX,USA,Egg,5-10 min,Shape Shifting UFO,6/22/22,Yes
5/26/22 23:28,https://nuforc.org/webreports/reports/173/S173036.html,Gatineau,Quebec,Canada,Egg,about a quarter second,"Three objects similar to the Davie Florida ""egg"" posted by NUFORC on 21 Dec 16 appeared on an infrared camera facing upward",12/22/22,Yes
5/16/22 00:01,https://nuforc.org/webreports/reports/168/S168343.html,Macon,GA,USA,Egg,Less than 2 minutes,2 crafts moving extremely fast,6/22/22,
5/12/22 16:51,https://nuforc.org/webreports/reports/172/S172365.html,San Rafael,CA,USA,Egg,16 seconds,UFO appears to consciously avoid being filmed from afar?,12/22/22,Yes
5/9/22 12:00,https://nuforc.org/webreports/reports/167/S167810.html,Ragged point,CA,USA,Egg,4 seconds,The object moved very fast east to west going over the ocean in just a few seconds at an estimated altitude of 5000 ft,5/31/22,
4/30/22 14:55,https://nuforc.org/webreports/reports/167/S167712.html,Fountain Valley,CA,USA,Egg,30 seconds,I saw two quick moving white egg shaped objects,5/31/22,
4/28/22 19:30,https://nuforc.org/webreports/reports/168/S168332.html,Glendale,MN,USA,Egg,10 seconds,Bright purple flying object about 3-5k feet altitude traveling SW to NE at 3x the speed of commercial airliners. Completely silent.,6/22/22,Yes
4/4/22 14:28,https://nuforc.org/webreports/reports/167/S167377.html,Sacramento,CA,USA,Egg,"20 years, I am with Alien",UFO,4/22/22,
4/1/22 13:45,https://nuforc.org/webreports/reports/167/S167348.html,Georgetown,SC,USA,Egg,Period of 30-45 seconds.,"Brownish, bronze colored round or egg shaped UFO passed by. Silent and no change of course.",4/22/22,
3/25/22 13:31,https://nuforc.org/webreports/reports/172/S172721.html,Bristol,CT,USA,Egg,1-2 minutes,I witnessed an egg shaped object flying across the sky.,12/22/22,Yes
3/18/22 07:10,https://nuforc.org/webreports/reports/167/S167136.html,Villa Rica,GA,USA,Egg,"Not sure, I was driving.",2 VERY bright orbs stationary in sky.,4/22/22,Yes
3/3/22 08:01,https://nuforc.org/webreports/reports/166/S166944.html,Phoenix,AZ,USA,Egg,,No sound weird looking though it was helicopter,3/4/22,Yes
2/14/22 12:00,https://nuforc.org/webreports/reports/166/S166734.html,Jenks,OK,USA,Egg,1 minute,A white circular object moving slowly from east to west. I have a video,3/4/22,
1/19/22 13:04,https://nuforc.org/webreports/reports/166/S166397.html,Reading,PA,USA,Egg,30 seconds,"I was driving home from work, an noticed a white light moving in the sky seemed odd, took a picture at the time",3/4/22,Yes
1/15/22 15:55,https://nuforc.org/webreports/reports/166/S166597.html,Boston Area,MA,USA,Egg,Around 20-40 seconds,"It was quick headed on a downfall to fast for airplane, and then after a short time disappeared but if it was visible you could see.",3/4/22,
1/12/22 17:32,https://nuforc.org/webreports/reports/171/S171685.html,Ozark,MO,USA,Egg,2 minutes give or take,We both watched the craft burn into our atmosphere and made a straight line to our backyard. It stayed a moment then we watched it pea.,10/8/22,
12/18/21 17:30,https://nuforc.org/webreports/reports/165/S165912.html,Ragged Point,CA,USA,Egg,15 seconds,Pilll shaped object (vibrating),3/4/22,
12/14/21 06:00,https://nuforc.org/webreports/reports/165/S165852.html,Staten island,,USA,Egg,3 seconds,Bright light blue/white eggs shaped,12/19/21,
11/15/21 17:45,https://nuforc.org/webreports/reports/165/S165797.html,Lincoln City,OR,USA,Egg,45 minutes,Very bright object moved west then moved straight back stayed,12/19/21,
11/11/21 09:00,https://nuforc.org/webreports/reports/165/S165846.html,Taipei (Taiwan),Taipei,Taiwan,Egg,,Accidental shoot,12/19/21,Yes
10/8/21 19:30,https://nuforc.org/webreports/reports/173/S173964.html,Round Lake Beach,IL,USA,Egg,5 minutes,"I saw 5 orange lighted objects emerge from the tree line @ the end of my street. In a stagurd formation first 3, then 2 more followed.",3/6/23,
9/10/21 23:30,https://nuforc.org/webreports/reports/164/S164600.html,Sweetwater,TX,USA,Egg,8 seconds,Was sitting next to a little bawnfire talking and listening to music when I took a drink and looked up to see 5 small crafts flying in,10/19/21,
8/29/21 03:35,https://nuforc.org/webreports/reports/166/S166050.html,Columbus,OH,USA,Egg,Maybe 20 seconds,I was homeless living in a tent with my GF at the time. Woke up to a loud metallic hum. Sat up and saw a craft hovering in the field,3/4/22,Yes
8/15/21 17:46,https://nuforc.org/webreports/reports/164/S164386.html,Atlantic Ocean (in sky; above),VA,USA,Egg,1 hour,Multiple Objects seen in the sky during a commercial flight,8/20/21,
7/6/21 22:44,https://nuforc.org/webreports/reports/168/S168302.html,calgary,AB,Canada,Egg,within seconds,Possible objects in sky,6/22/22,Yes
6/26/21 13:32,https://nuforc.org/webreports/reports/163/S163861.html,Marathon,NY,USA,Egg,10 mins,say a egg shaped craft fly over me and my friend,8/16/21,
6/3/21 03:00,https://nuforc.org/webreports/reports/163/S163574.html,Boynton beach,FL,USA,Egg,Seconds,Egg shaped object came out of the ocean moving on an angle upwards very quickly,7/31/21,
5/30/21 17:06,https://nuforc.org/webreports/reports/163/S163488.html,North Hollywood,CA,USA,Egg,3 minutes,This UAP object was travelling very slow from East to West. This happened directly over the MTA North Hollywood Station located at Lank,7/31/21,
5/1/21 12:45,https://nuforc.org/webreports/reports/162/S162922.html,West Hollywood,CA,USA,Egg,10 minutes,UFO sighting from West Hollywood looking NE,5/20/21,
4/22/21 10:00,https://nuforc.org/webreports/reports/162/S162906.html,Surprise,AZ,USA,Egg,1 hour,I can go or send anyone at anytime to this area and they will get proof because I believe this is a base and if anyone observes then su,5/20/21,
3/15/21 19:00,https://nuforc.org/webreports/reports/162/S162379.html,Quilcene,WA,USA,Egg,<1 minute,"I will try to send a short video I got of it... Object moving quickly to the east of me headed south. No sound like a plane would have,",3/31/21,
3/14/21 09:00,https://nuforc.org/webreports/reports/162/S162359.html,Isleboro,ME,USA,Egg,Picture,"Round White Ball over Water in Isleboro, Maine",3/31/21,
3/13/21 13:00,https://nuforc.org/webreports/reports/162/S162384.html,Jacksonville,FL,USA,Egg,All afternoon different s,((NUFORC Note:O  Witness provides no details about her sighting.  PD)),3/31/21,
2/9/21 22:45,https://nuforc.org/webreports/reports/161/S161987.html,NYC (Brooklyn),NY,USA,Egg,2-3 seconds,"Saw an cylindrical object in Brooklyn, with a solid light in front streak across the sky",3/2/21,
1/26/21 18:00,https://nuforc.org/webreports/reports/161/S161770.html,San Antonio,TX,USA,Egg,4/5 min,((NUFORC Note:  No significant information provided by witness.  PD)),3/2/21,
1/25/21 15:30,https://nuforc.org/webreports/reports/161/S161775.html,Trabuco Canyon,CA,USA,Egg,30 seconds,White Orbs 50-100 in front of Saddleback Mountain in Trabuco Canyon CA,3/2/21,
12/11/20 18:09,https://nuforc.org/webreports/reports/161/S161152.html,Burlington,VT,USA,Egg,2min,"Bright light shot up into the sky, very fast and then came to a complete stop and lingered.",12/23/20,
11/3/20 21:00,https://nuforc.org/webreports/reports/160/S160408.html,Chicago,IL,USA,Egg,2 seconds,"While sitting outside last night, I witnessed a seemingly low-flying egg-like object move incredibly fast through the sky. The view fro",12/23/20,
10/21/20 22:00,https://nuforc.org/webreports/reports/160/S160121.html,Mullica hillf,NJ,USA,Egg,3 minutes,Orange triangle object slowly shrinks into ball and disappears,12/23/20,
10/17/20 10:00,https://nuforc.org/webreports/reports/160/S160060.html,Newton-in-Cartmel (UK/England),,United Kingdom,Egg,5 minutes,Whilst driving north on A590 my wife and I observed in distance an egg shaped irregular object apparently still in the air which we est,12/23/20,
10/8/20 20:15,https://nuforc.org/webreports/reports/159/S159925.html,Sevierville,TN,USA,Egg,15 minutes,"Three lights on an a hovering, egg like object that slowly dimmed before it disappeared.",12/23/20,
10/5/20 20:00,https://nuforc.org/webreports/reports/159/S159769.html,New York City (Brooklyn),NY,USA,Egg,3 minutes,"Shape, speed and flight pattern seem to defy normal aircraft",11/5/20,
9/30/20 17:08,https://nuforc.org/webreports/reports/159/S159630.html,Edmond,OK,USA,Egg,30 seconds,Silver UFO seen in Edmond suddenly vanished,11/5/20,
9/4/20 23:00,https://nuforc.org/webreports/reports/159/S159814.html,Livingston,NJ,USA,Egg,0.4 seconds,"I was looking at the sky and saw a white thug whiz bye too close to the ground for a meteor, followed by 2 more",12/23/20,
9/1/20 15:00,https://nuforc.org/webreports/reports/161/S161933.html,North Providence,RI,USA,Egg,Home,I dont even know where or how to start this ... I just got back home with my daughter who at the time was 4 . It was sunny and pretty,3/2/21,
8/26/20 23:00,https://nuforc.org/webreports/reports/167/S167375.html,New Franken,WI,USA,Egg,1 hour or so,Strange floating object,4/22/22,
8/12/20 17:30,https://nuforc.org/webreports/reports/158/S158480.html,Boston,MA,USA,Egg,20 minutes,"Observed by my associate and I in the southeastern sky from Castle Island Boston, southeast of Logan Airport. It remained completely st",8/20/20,
8/7/20 03:00,https://nuforc.org/webreports/reports/158/S158274.html,Klamath Falls,OR,USA,Egg,5 minutes,"Cloaked egg shaped ufo with a thin strip of illumination surrounding it at a 45 degree angle, moving at a relatively slow speed.",8/20/20,
7/31/20 22:30,https://nuforc.org/webreports/reports/158/S158082.html,Toronto,ON,Canada,Egg,3 seconds,"An oval light, orange in the centre and fading to yellow/white flew north-west to south-east across the sky. Faster than an airplane, s",8/6/20,
7/31/20 15:38,https://nuforc.org/webreports/reports/158/S158512.html,Norwalk,CA,USA,Egg,2 hours 40 minutes,UFOs Norwalk California,8/20/20,
7/28/20 17:20,https://nuforc.org/webreports/reports/158/S158039.html,Albuquerque,NM,USA,Egg,17:20,"Date July 28 2020 Time was approx 515-520 pm.

 I saw 3 egg looking possible ufos today. I was going south on wyoming between Academy",7/31/20,
7/27/20 03:10,https://nuforc.org/webreports/reports/158/S158054.html,Glassboro,NJ,USA,Egg,1 hour,Seen yellow and green lights,7/31/20,
7/27/20 03:10,https://nuforc.org/webreports/reports/158/S158058.html,Glassboro,NJ,USA,Egg,1 hour,"Green and yellow lights in Glassboro, NJ.",7/31/20,
7/24/20 00:00,https://nuforc.org/webreports/reports/157/S157885.html,Waterbury,CT,USA,Egg,2-3 minutes,"Egg shape ufo, very bright red lights at a way too fast speed in the sky, started to bounced up and down then side to side in a speed t",7/31/20,
7/19/20 20:00,https://nuforc.org/webreports/reports/157/S157761.html,Fairdale,WV,USA,Egg,3 minutes,"I glanced up at the sky and noticed a very shiny silver, egg shaped object, moving very slowly like it was gliding. There was no sound",7/23/20,
7/12/20 19:30,https://nuforc.org/webreports/reports/157/S157614.html,Astoria,NY,USA,Egg,1 minutes,"UFO over Astoria, NY.",7/23/20,
7/12/20,https://nuforc.org/webreports/reports/157/S157534.html,Los Angeles,CA,USA,Egg,Current,Blue oval shape on top left of the moon.,7/23/20,
6/27/20 22:15,https://nuforc.org/webreports/reports/157/S157676.html,Gold beach,OR,USA,Egg,10 minutes,I was caring for my father Who was dying of cancer when I stepped outside of the trailer At my grandmothers home to have a cigarette wi,7/23/20,
5/21/20 19:30,https://nuforc.org/webreports/reports/156/S156629.html,Marina Del Rey,CA,USA,Egg,10 minutes,"Guess what.

I was outside the coffee bean.. about 30 minutes ago. 1930hrs.. PST.

At maxella and Glencoe, marina Del rey. CA.

A",6/25/20,
5/19/20 22:00,https://nuforc.org/webreports/reports/156/S156551.html,Kingston,NY,USA,Egg,12 seconds,((NUFORC Note:  Witness provides no data.  PD)),6/25/20,
5/19/20 13:45,https://nuforc.org/webreports/reports/156/S156546.html,Philadelphia,PA,USA,Egg,3 minutes,White-gold textured ellipsoid vectors past skyscrapers in daylight,6/25/20,
5/12/20 01:30,https://nuforc.org/webreports/reports/167/S167674.html,Kennesaw,GA,USA,Egg,1 minute,White egg/Tic Tac,5/31/22,
5/10/20 23:00,https://nuforc.org/webreports/reports/156/S156444.html,Cool,CA,USA,Egg,all night,"Two stationary bright lights slowly changing shape and position, with binoculars: many bright white lights.",6/25/20,
4/27/20 23:00,https://nuforc.org/webreports/reports/155/S155876.html,Fayetteville,GA,USA,Egg,20 minutes,"Bright object over Atlanta, GA.",6/25/20,
4/25/20 23:57,https://nuforc.org/webreports/reports/155/S155794.html,Tucson,AZ,USA,Egg,6 minutes,While letting out dog out my wife came to get me about a strange light in the sky. I went to our backyard and in the southern sky was a,6/25/20,
4/7/20 18:00,https://nuforc.org/webreports/reports/155/S155597.html,Warrior,AL,USA,Egg,10 minutes,"Miles away,i watched small,fast moving crafts,appear from nothing,some in pairs one flanking the other,move across the horizon.But spac",6/25/20,
4/1/20 00:00,https://nuforc.org/webreports/reports/154/S154738.html,Stockton,CA,USA,Egg,,"THERE ARE ALIENS, IN THE TREES AND BUSHES, THEY ARE INVISABLE , UNLESS YOU ARE LOOKING THROUGH MY DORRBELL CAMAERA, ITS SO CLEAR, THEY",6/25/20,
3/23/20 21:30,https://nuforc.org/webreports/reports/154/S154418.html,West Hills,CA,USA,Egg,3 hours,"I see an oval shaped Blue light in the night sky above Woodland Hills, California.",5/21/20,
3/18/20 22:00,https://nuforc.org/webreports/reports/167/S167433.html,Colorado Springs,CO,USA,Egg,Couple minutes,Solid white large globe shaped UAP with two jets flying beside and away from it at 45 degree came over the western mountain horizon,4/22/22,
