date,reportlink,city,state,country,shape,duration,description,post_date,images
7/19/23 21:15,https://nuforc.org/webreports/reports/176/S176950.html,Humboldt,AZ,USA,Fireball,1min,We were pulling into our driveway and saw this bright light moving slow and then it dissipated,7/29/23,Yes
7/18/23 20:00,https://nuforc.org/webreports/reports/176/S176837.html,Boston,MA,USA,Fireball,3 seconds,Short track of bright light that disappeared,7/29/23,
7/16/23 21:03,https://nuforc.org/webreports/reports/176/S176818.html,Milwaukee,WI,USA,Fireball,30 seconds,Saw 2 balls of light close together. Flew off into distance. A 3rd one came 30 seconds later into the same direction,7/29/23,
7/15/23 23:52,https://nuforc.org/webreports/reports/176/S176870.html,Fort Lauderdale,FL,USA,Fireball,4 minutes long,Looked like asteroid but wasn't one because it re appears and keeps moving,7/29/23,Yes
7/13/23 23:15,https://nuforc.org/webreports/reports/176/S176876.html,SANDUSKY,OH,USA,Fireball,3 -5 seconds,Blue light of fire with a flat bottom,7/29/23,
7/11/23 23:55,https://nuforc.org/webreports/reports/176/S176731.html,village,Punjab,India,Fireball,5 minutes,golden light moving at a constant speed .,7/29/23,Yes
7/8/23 21:43,https://nuforc.org/webreports/reports/176/S176666.html,Winston alem,NC,USA,Fireball,4.5 minutes,4 orbs dissipated into 2 then disappeared,7/10/23,
7/8/23 21:40,https://nuforc.org/webreports/reports/176/S176657.html,Crystal River,FL,USA,Fireball,45 seconds to 1 minute,Three objects appeared one at a time and traveled rapidly towards our location before vanishing.,7/10/23,
6/21/23 23:30,https://nuforc.org/webreports/reports/176/S176396.html,Baker,CA,USA,Fireball,5 min,We saw a bright light as we were heading south on the 15 freeway. The object was bright at first with an obvious tail,7/10/23,
6/21/23 21:20,https://nuforc.org/webreports/reports/176/S176887.html,Port St Lucie,FL,USA,Fireball,5-10 miny,Glowing rocket engine like round object left of moon moving away from my sight.,7/29/23,Yes
6/19/23 21:03,https://nuforc.org/webreports/reports/176/S176368.html,Riverview,FL,USA,Fireball,3 minutes,Bright orange ethereal ball hovering above the street ascends up into the sky and flys east until it disappears into the distance,7/10/23,
6/16/23 13:47,https://nuforc.org/webreports/reports/176/S176324.html,"Unknown, but it was seen from Palmela",Setúbal District,Portugal,Fireball,12 minutes,"Fulminating ball of light, distinct from other ilumination sources defied gravity forces and suddenly flashed up.",7/10/23,
6/13/23 01:30,https://nuforc.org/webreports/reports/176/S176227.html,Beijing,Beijing,China,Fireball,15 minutes.,"UAP seen over metropolitan Beijing night sky, shot from several locations",7/10/23,
6/4/23 23:16,https://nuforc.org/webreports/reports/176/S176102.html,Issaquah,WA,USA,Fireball,3 seconds,"The movement and duration of a shooting star, larger, multi-colored red, orange, green, yellow",7/10/23,
6/3/23 00:48,https://nuforc.org/webreports/reports/176/S176066.html,Altoona,IA,USA,Fireball,about 5 seconds,Looked like a firework at first but then just disappeared into the air.,7/10/23,
5/31/23 22:05,https://nuforc.org/webreports/reports/176/S176485.html,Kettering,Northamptonshire,United Kingdom,Fireball,20 minutes,"Orange object resembling a Chinese lantern hovers in the sky, disappears then reappears several finger measurements away.",7/10/23,
5/30/23 22:05,https://nuforc.org/webreports/reports/176/S176001.html,Coweta,OK,USA,Fireball,1 minute,Large bright red fireball/orb followed by large white orb,7/10/23,
5/30/23 21:55,https://nuforc.org/webreports/reports/175/S175986.html,Glenpool,OK,USA,Fireball,30 seconds,We saw a fireball,7/10/23,
5/30/23 21:55,https://nuforc.org/webreports/reports/175/S175989.html,Cassville,MO,USA,Fireball,1-2 mins,Bright red glowing ball moving slowly across the sky then as it got closer it has a stream of sparks behind it as long.,7/10/23,
5/29/23 22:22,https://nuforc.org/webreports/reports/176/S176021.html,Roseville,CA,USA,Fireball,1 minute,Fireball Traveling Across Sky,7/10/23,
5/26/23 22:03,https://nuforc.org/webreports/reports/175/S175951.html,Streamwood,IL,USA,Fireball,few seconds red flash,"Red Streak (like meteor)w/wide hazy birth, aprx 65-70 Degrz overhead (SW to NE) Crosses path of ISS coming up from NW headed E",7/10/23,
5/12/23 23:11,https://nuforc.org/webreports/reports/175/S175783.html,Oviedo,FL,USA,Fireball,"2 min, 11 seconds","Floating ball of flames, orange like a rocket but round no clear direction of propulsion",5/19/23,Yes
5/7/23 01:00,https://nuforc.org/webreports/reports/175/S175748.html,La Mirada,CA,USA,Fireball,3 minutes,Fireball descends and flickers away into night sky,5/19/23,
5/1/23 22:00,https://nuforc.org/webreports/reports/175/S175561.html,Newport,WA,USA,Fireball,20 seconds,I seen a big white ball of light followed by a trail of lights,5/19/23,
4/30/23 20:30,https://nuforc.org/webreports/reports/175/S175727.html,Miami Beach,FL,USA,Fireball,3 to 5 minutes,I was walking south on the beach from 69th and turned around to see the half moon shaped craft going faster than anything I ever saw,5/19/23,Yes
4/30/23 20:29,https://nuforc.org/webreports/reports/175/S175567.html,Pembroke Pines,FL,USA,Fireball,2 minutes,Ball of heat with a rounded cone shape heading east with an orange trail.,5/19/23,
4/30/23 20:25,https://nuforc.org/webreports/reports/175/S175582.html,Hobe Sound,FL,USA,Fireball,3mins,Fireball,5/19/23,Yes
4/27/23 02:51,https://nuforc.org/webreports/reports/175/S175534.html,Albuquerque,NM,USA,Fireball,:57 seconds recorded,See video,5/19/23,Yes
4/27/23 02:50,https://nuforc.org/webreports/reports/175/S175524.html,Fruita,CO,USA,Fireball,45 seconds,Seen flying in a northeastern direction. From the colorado national monument towards Mt Garfield about Mesa County Colorado.,5/19/23,
4/15/23 20:30,https://nuforc.org/webreports/reports/175/S175323.html,Avon park,FL,USA,Fireball,30 to 45 seconds max,It appeared out of nowhere started moving slowly from West to east,5/19/23,
4/14/23 23:50,https://nuforc.org/webreports/reports/175/S175526.html,ventura,CA,USA,Fireball,5 minutes,object breaking sound barrier after breaking apart,5/19/23,
4/14/23 02:21,https://nuforc.org/webreports/reports/175/S175349.html,palm coast,FL,USA,Fireball,,Two or more yellow orange lights descended on street,5/19/23,
4/8/23 22:15,https://nuforc.org/webreports/reports/175/S175282.html,Victoria,BC,Canada,Fireball,About 5 minutes,We spotted this above our house and it looked like something on fire flying in a horizontal line over the roofs of the houses,5/19/23,
4/8/23 21:25,https://nuforc.org/webreports/reports/175/S175279.html,Ballwin,MO,USA,Fireball,3-5 seconds,"Continuous fireball almost like a Roman candle, resembled a comet but definitely wasnt a shooting star.",5/19/23,Yes
3/31/23 19:59,https://nuforc.org/webreports/reports/175/S175179.html,Virginia Beach,VA,USA,Fireball,3 minutes,"Looked like a rocket launch coming up from behind a house, traveled above and past us out of sight.",4/9/23,
3/18/23 20:53,https://nuforc.org/webreports/reports/175/S175049.html,Blakely,GA,USA,Fireball,30 to 40 seconds,Two orange lights hovering on a dirt road then one disappeared while the other was floating towards the direction the other,4/9/23,
3/17/23 21:46,https://nuforc.org/webreports/reports/175/S175044.html,Placerville,CA,USA,Fireball,1 minute,6 or more objects like shooting stars but definitely had a trajectory because they never faded,4/9/23,
3/17/23 21:30,https://nuforc.org/webreports/reports/175/S175040.html,El dorado hills,CA,USA,Fireball,10 seconds,"10 lights, some flying by each other, streaking across the sky",4/9/23,
3/17/23 21:30,https://nuforc.org/webreports/reports/175/S175042.html,Brentwood,CA,USA,Fireball,,"Appeared to look like either Missiles, or Debris burning up into atmosphere.",4/9/23,
3/16/23 06:37,https://nuforc.org/webreports/reports/175/S175018.html,Gastonia,NC,USA,Fireball,1 min,Orange/Red fireball seen in sky,4/9/23,
3/3/23 19:15,https://nuforc.org/webreports/reports/174/S174874.html,HOLLISTER,CA,USA,Fireball,3 MINUTES,"Two fire-red objects, 500 feet up, were traveling from the south, heading north, and slowly climbing.",3/6/23,
2/27/23 22:37,https://nuforc.org/webreports/reports/174/S174744.html,,LA,USA,Fireball,Continuous,Strange red light on side of moon. Blinked from time to time.,3/6/23,
2/27/23 22:13,https://nuforc.org/webreports/reports/174/S174754.html,Clermont 4 corners,FL,USA,Fireball,5 seconds,3 fireballs zipped across the sky like asteroids falling,3/6/23,
2/24/23 19:29,https://nuforc.org/webreports/reports/174/S174750.html,LOXAHATCHEE,FL,USA,Fireball,20 seconds,Bright red ball appear above me. It was light red in the middle with a darker red outline and a very dark spot in the middle.,3/6/23,
2/18/23 19:43,https://nuforc.org/webreports/reports/174/S174654.html,Concord,CA,USA,Fireball,A few minutes,A few minutes of a color changing fireball-looking object,3/6/23,
2/15/23 21:24,https://nuforc.org/webreports/reports/174/S174600.html,Jacksonville,FL,USA,Fireball,Approx. 1 minute,2 orange fireballs flying parallel to each other then progressively fading out.,3/6/23,
2/13/23 17:30,https://nuforc.org/webreports/reports/174/S174525.html,Winnetka,IL,USA,Fireball,4+ minutes,Looking south from intersection aforementioned towards ORD Airport.,3/6/23,Yes
2/12/23 00:12,https://nuforc.org/webreports/reports/174/S174514.html,Lake Worth,FL,USA,Fireball,5 seconds,Flash of red and orange in the sky,3/6/23,Yes
2/8/23 22:30,https://nuforc.org/webreports/reports/174/S174404.html,Sacramento,,USA,Fireball,<= apprx. 1 minute,Three pairs of incandescent stationary aerial objects with no apparent suspension nor propulsion forming an exponential graph shape.,3/6/23,Yes
2/6/23 20:35,https://nuforc.org/webreports/reports/174/S174339.html,Tampa,FL,USA,Fireball,less than 60 seconds,I was sitting in my living room staring out the patio slide door when i noticed fireball object shooting straight towards the moon',3/6/23,
2/6/23 19:15,https://nuforc.org/webreports/reports/174/S174511.html,Robinsonville,MS,USA,Fireball,Maybe 20 seconds,Green with red tail falling fully vertical,3/6/23,
2/3/23 00:22,https://nuforc.org/webreports/reports/174/S174267.html,Mercedes,TX,USA,Fireball,Les than a second,"Saw a small blue light falling from the sky, seemed to be burning during entry",3/6/23,
1/31/23 19:49,https://nuforc.org/webreports/reports/174/S174232.html,Gothenburg,NE,USA,Fireball,3 seconds,"Saw trailblazer that moves very rapid and moved with sparkling tail behind and then when it disappears, sparkling tail disappears",3/6/23,
1/28/23 18:47,https://nuforc.org/webreports/reports/174/S174204.html,Ventura,CA,USA,Fireball,approx. 1 minute,"Orange ""orb"", seen at 90 degrees above horizon; appeared stationary at least 10-15 seconds, then moved and faded out.",3/6/23,Yes
