date,reportlink,city,state,country,shape,duration,description,post_date,images
7/22/23 21:45,https://nuforc.org/webreports/reports/176/S176998.html,Summit,NY,USA,Flash,20 mins,"Bright light flared up almost directly overhead and trailed northeast. Several minutes later, small light craft advanced to location.",7/29/23,
7/22/23 00:45,https://nuforc.org/webreports/reports/176/S176925.html,Mandeville,LA,USA,Flash,30 seconds,"Flashing light moving up, down and crisscrossing",7/29/23,Yes
7/21/23 22:00,https://nuforc.org/webreports/reports/176/S176951.html,Ocala,FL,USA,Flash,Seconds,Green light shooting across sky then disappears,7/29/23,
7/11/23 12:19,https://nuforc.org/webreports/reports/176/S176690.html,Fairview,NC,USA,Flash,30 mins,Flashes of color across Western sky,7/29/23,
7/7/23 12:36,https://nuforc.org/webreports/reports/176/S176638.html,Proctor,VT,USA,Flash,~1 sec,"1 30-sec orange glow in driveway seen through blinds around 0330, then orange flash (orb shape?) by the ceiling a few minutes ago.",7/10/23,
6/21/23 00:15,https://nuforc.org/webreports/reports/176/S176388.html,Palm Springs,CA,USA,Flash,2-3 seconds,It was a orb that turned into a huge bright white flash followed by the strangest electro weird sound.,7/10/23,
6/18/23 22:58,https://nuforc.org/webreports/reports/176/S176344.html,Westerly,RI,USA,Flash,4 seconds,"While star gazing, a shooting disk came flashing by. Definitely wasnt a star though.",7/10/23,
6/16/23 22:35,https://nuforc.org/webreports/reports/176/S176354.html,Hawthorne,CA,USA,Flash,10:30-10:40pm 10 sec,Blue illuminating light that lit up the whole sky,7/10/23,
6/7/23 21:35,https://nuforc.org/webreports/reports/176/S176133.html,Princeton,WV,USA,Flash,5 minutes,"Fast moving light, flashed twice, then disappeared",7/10/23,
5/24/23 17:25,https://nuforc.org/webreports/reports/175/S175908.html,Wesley Chapel,FL,USA,Flash,5 minutes,Multiple pulsating lights trailing each,7/10/23,
5/7/23 13:58,https://nuforc.org/webreports/reports/175/S175805.html,New York,NY,USA,Flash,Aortic 5-10 minutes,"Orb looking object at high altitude, with bright flashing white light.",5/19/23,
4/21/23 22:00,https://nuforc.org/webreports/reports/176/S176954.html,Los Angeles,CA,USA,Flash,10-15 seconds,"UAP light show in Venice, CA",7/29/23,Yes
4/18/23 22:17,https://nuforc.org/webreports/reports/175/S175295.html,Lancaster,PA,USA,Flash,10 mins,Multi flashing objects,5/19/23,
4/12/23 01:26,https://nuforc.org/webreports/reports/175/S175379.html,El Paso,,,Flash,30 sec,Security cam alerted me .,5/19/23,
4/9/23 20:00,https://nuforc.org/webreports/reports/175/S175401.html,Alma,AR,USA,Flash,2 minutes,Step outside and looked east,5/19/23,
4/7/23 06:02,https://nuforc.org/webreports/reports/175/S175252.html,WICHITA,KS,USA,Flash,2 seconds,High attitude large bright blue light flew across and above my car. Disappear in midair!,5/19/23,
4/7/23 00:32,https://nuforc.org/webreports/reports/175/S175997.html,Lakeland,FL,USA,Flash,20 seconds.,"Bright red glow in the sky hovers, then performs an S shaped maneuver. Speeding up and slowing down. Video is only when it was stagnant",7/10/23,
3/30/23 04:23,https://nuforc.org/webreports/reports/175/S175166.html,Sykesville,MD,USA,Flash,10 minutes,Flashing orb with irregular pattern rapidly blinks then flies away,4/9/23,
3/22/23 20:25,https://nuforc.org/webreports/reports/175/S175084.html,Barnet,VT,USA,Flash,Flash,"Orange flashes of light, various positions",4/9/23,
3/8/23 18:07,https://nuforc.org/webreports/reports/174/S174944.html,Dillwyn,VA,USA,Flash,approximately 30 seconds,"Light ""flash"" for about 30 seconds, seen by 2 state employees who confirmed the sighting to each other",4/9/23,
3/3/23 21:45,https://nuforc.org/webreports/reports/174/S174968.html,Jacksonville,FL,USA,Flash,Approximately 10 minutes.,Blinking light of very slow duration in the upper atmosphere or geostationary orbit.,4/9/23,
11/13/21 16:34,https://nuforc.org/webreports/reports/165/S165231.html,Dunedin,FL,USA,Flash,7 seconds,Plusating White Light coming back from Beach,11/15/21,
11/10/21 03:31,https://nuforc.org/webreports/reports/165/S165214.html,Jackson,TN,USA,Flash,30 seconds,Woke to take my dog for a walk at around 3:15 a.m. I tend to always look up at the nights sky asking to see something and as of this mo,11/15/21,
10/27/21 18:56,https://nuforc.org/webreports/reports/165/S165079.html,Bristow,VA,USA,Flash,6-8 seconds,High altitude single ball of light appeared in the distant sky while on evening walk. N-NW in proximity to my location. Caught my atten,11/15/21,
10/14/21 21:00,https://nuforc.org/webreports/reports/164/S164976.html,Beverly Hills,CA,USA,Flash,2-3 seconds,A bright green light with a teal light trail fell from the sky in a curve for about 2-3 seconds before it disappeared from view.,10/19/21,
10/10/21 23:00,https://nuforc.org/webreports/reports/164/S164910.html,Hadley,KY,USA,Flash,,"Two large round white flashes over Hadley,Ky",10/19/21,
9/17/21 18:15,https://nuforc.org/webreports/reports/164/S164677.html,Ottawa (Canada),ON,Canada,Flash,~30 seconds,Object seemingly moves in two directions at once while brightening and dimming.,10/19/21,
9/10/21 22:15,https://nuforc.org/webreports/reports/164/S164574.html,Kennebunk,ME,USA,Flash,1 minute,2 Green Flashing Lights moving unbelievably fast,10/19/21,
9/7/21 21:30,https://nuforc.org/webreports/reports/164/S164597.html,Ocean Isle Beach,NC,USA,Flash,1.5 hours,Numerous Lights in Ocean Isle Beach,10/19/21,
8/14/21 20:00,https://nuforc.org/webreports/reports/164/S164354.html,Weymouth,MA,USA,Flash,>7 seconds,trail of bright light flashes and disappears,8/16/21,
8/9/21 22:20,https://nuforc.org/webreports/reports/164/S164271.html,Hatteras Village,NC,USA,Flash,5-10 minutes,2 bright orange flashes or explosions,8/16/21,
8/7/21 21:48,https://nuforc.org/webreports/reports/164/S164302.html,Fort Wayne,IN,USA,Flash,1 second,Curved streak across the sky at unbelievable speed,8/16/21,
8/1/21 22:00,https://nuforc.org/webreports/reports/164/S164207.html,Fayetteville,AR,USA,Flash,15 seconds,I was driving and my boyfriend and I both just happened to look at the sky and saw a large what seemed to be close in the atmosphere ab,8/16/21,
7/28/21 23:13,https://nuforc.org/webreports/reports/164/S164184.html,Bakersfield,CA,USA,Flash,2 seconds,"Bright Blue light flashed in sky, left small smoke puff. No sound.",8/16/21,
7/15/21 20:45,https://nuforc.org/webreports/reports/164/S164079.html,Colorado Springs,CO,USA,Flash,5 sec,"I was sitting on my sofa watching TV and the patio slider door was to my left.  In my peripheral vision, I saw a very large, yellow, br",8/16/21,
7/8/21 03:16,https://nuforc.org/webreports/reports/163/S163938.html,Bremerton,WA,USA,Flash,10 minutes,Military jet side swiped by bright light from cloud cover it,8/16/21,
6/24/21 17:45,https://nuforc.org/webreports/reports/163/S163816.html,New York City (Manhattan),NY,USA,Flash,10 minutes,Saw an extremely bright light late in the afternoon traveling at a very high altitude.,8/16/21,
6/22/21 01:00,https://nuforc.org/webreports/reports/163/S163802.html,Senji (India),,India,Flash,15 seconds,I have that ufo video video as recorded 43 second... But im in India. you can't added my country in your center please contact with my,7/31/21,
6/13/21 02:17,https://nuforc.org/webreports/reports/163/S163680.html,Luthersburgh,PA,USA,Flash,3min,It shined my car and then took off like a flash then met up with two more white light crafts plus 2 red fiery looking crafts,7/31/21,
6/7/21 04:50,https://nuforc.org/webreports/reports/163/S163610.html,Lahore (Pakistan)),,Pakistan,Flash,5 minutes,I saw it and it looked like a star. I stare at it and it started moving like a shooting star and eventually it stopped. Then it started,7/31/21,
5/28/21 00:20,https://nuforc.org/webreports/reports/163/S163396.html,Charleston,WV,USA,Flash,1 Second,Blue Flash making quick maneuvers in the sky,7/31/21,
5/27/21 02:30,https://nuforc.org/webreports/reports/163/S163586.html,Flint,MI,USA,Flash,1 minute,"Driving home from vacation, saw yellow flash of light, light hovered in place, then took off.",7/31/21,
5/26/21 01:00,https://nuforc.org/webreports/reports/163/S163511.html,Grand Rapids/Blackberry Township,MN,USA,Flash,3-4 hours,Curtains open in my living room and noticed in the trees about 30-40 ft. Away from the window I noticed a flash of light size of a marb,7/31/21,
5/25/21 22:30,https://nuforc.org/webreports/reports/163/S163421.html,Lakewood,WA,USA,Flash,A couple minutes,"Military veteran, lived near and currently by military base and flightline. I have seen numerous planes and aircraft that can be marked",7/31/21,
5/22/21 23:20,https://nuforc.org/webreports/reports/163/S163354.html,Toledo,OH,USA,Flash,2 minutes,The were in a straight line and by time I got my phone out they spread apart. I have pictures of when they split with my night camera.,7/31/21,
4/27/21 18:42,https://nuforc.org/webreports/reports/162/S162858.html,Armadale (Australia),,Australia,Flash,1 second,"This happened twice, I thought it was the shuttle to the ISS, but it happened again. The trajectory movement is North East, two nights",5/20/21,
4/20/21 20:30,https://nuforc.org/webreports/reports/162/S162797.html,New York City (Brooklyn),NY,USA,Flash,3:39 minutes,"At approximately 8:30pm eastern time, I noticed a 1 pulsating light that was stationary in the western sky facing east. As I approached",4/23/21,
4/10/21 21:00,https://nuforc.org/webreports/reports/162/S162722.html,Fairfax,VT,USA,Flash,minutes,Five red flashing lights in the sky in a configuration over NW Vermont.,4/23/21,
3/27/21 02:00,https://nuforc.org/webreports/reports/162/S162500.html,St. Petersburg,FL,USA,Flash,~2 seconds,White bright quick light,3/31/21,
3/25/21 21:00,https://nuforc.org/webreports/reports/162/S162493.html,Port Ludlow,WA,USA,Flash,60 seconds,"There are currently 6 drones above tge Bay in Port Ludlow, we were outside looking at them when something moving horizontally flashed a",3/31/21,
3/15/21 21:00,https://nuforc.org/webreports/reports/162/S162508.html,Mojave,CA,USA,Flash,2-3 seconds,"3/15/21 in Mojave area fwy 14 or 58, close to Edward's military base. big red light flashing, thought was another tower, but it was too",3/31/21,
3/2/21 02:00,https://nuforc.org/webreports/reports/162/S162253.html,Payette,ID,USA,Flash,10min,"strobing red light moving slow then fast, witnessed by a police officer.",3/2/21,
2/28/21 13:30,https://nuforc.org/webreports/reports/162/S162290.html,West Richland,WA,USA,Flash,5 minutes,"Driving down keene in west richland facing Rattlesnake mountain. I observed a metallic flash in the sky, almost as if a light was shine",3/31/21,
2/17/21 01:30,https://nuforc.org/webreports/reports/162/S162098.html,Olympia,WA,USA,Flash,10 seconds,Flashing lights and eerie mechanical sounds,3/2/21,
2/15/21 02:30,https://nuforc.org/webreports/reports/162/S162049.html,Portland,OR,USA,Flash,A few seconds,I saw three objects that flashed and lit up the sky for about two seconds coming from the northwest heading south east,3/2/21,
2/2/21 19:30,https://nuforc.org/webreports/reports/161/S161950.html,Mauritius,,Mauritius,Flash,30 seconds,Flash of white light which disappeared mysteriously,3/2/21,
1/20/21 18:15,https://nuforc.org/webreports/reports/161/S161706.html,Simi valley,CA,USA,Flash,3 to 4 seconds,Flickering lights in sky.,3/2/21,
1/17/21 08:30,https://nuforc.org/webreports/reports/161/S161664.html,Jonesville,MI,USA,Flash,20 seconds,Strange flashing lights across the sky,1/19/21,
1/5/21 06:15,https://nuforc.org/webreports/reports/161/S161469.html,Essex,IL,USA,Flash,10 seconds,Colorful flash of lights out of nowhere,1/19/21,
1/4/21 18:30,https://nuforc.org/webreports/reports/161/S161462.html,Williams,OR,USA,Flash,1 second,I am submitting this to confirm other possible sighting reports about a flash of bright light (emanating around an even brighter white,1/19/21,
12/29/20 23:00,https://nuforc.org/webreports/reports/161/S161572.html,Belleville,ON,Canada,Flash,Seconds to 1 Minute,4 Greenish Blue Blob-Like Objects Flashing Low In Southern Sky,1/19/21,
12/29/20 22:00,https://nuforc.org/webreports/reports/161/S161364.html,Spotsylvania,VA,USA,Flash,Every night for weeks,My name is ((deleted)) and for the last couple of weeks me and my wife and grandkids have been watching this flashing light in the ski.,1/19/21,
12/21/20 18:00,https://nuforc.org/webreports/reports/161/S161268.html,Virginia City,NV,USA,Flash,20 seconds,"We were observing the Great Conjunction with a telescope.  After Jupiter/Saturn had set below the horizon, we turned to Mars, just sout",12/23/20,
12/20/20 02:00,https://nuforc.org/webreports/reports/163/S163391.html,Sinking Springs,PA,USA,Flash,2 seconds,"Early in the am on night shift, I saw a bright green ball of light that looked like it was falling to earth. I do not think it looked l",7/31/21,
12/15/20 20:56,https://nuforc.org/webreports/reports/161/S161202.html,honolulu,HI,USA,Flash,2 minutes,Stationary flashing lights - red then white then blue. Then it displayed a white light strobe effect then it zipped away really fast!,12/23/20,
11/22/20 22:25,https://nuforc.org/webreports/reports/160/S160782.html,Brampton,ON,Canada,Flash,Seconds,Large flashes in the sky. The flashes illuminated the lower half of the horizon that went from red--blue/green--red in the matter of se,12/23/20,
