date,reportlink,city,state,country,shape,duration,description,post_date,images
7/24/23 20:02,https://nuforc.org/webreports/reports/176/S176980.html,Enfield,CT,USA,Formation,Approx 60 seconds,3 craft in formation,7/29/23,Yes
7/20/23 21:28,https://nuforc.org/webreports/reports/176/S176861.html,Ocala,FL,USA,Formation,One minute,"We saw 6 lights flashing and moving very quickly above us in a straight line, but much faster than the starlink videos",7/29/23,
7/15/23 22:40,https://nuforc.org/webreports/reports/176/S176795.html,Fullerton,PA,USA,Formation,2 minutes,3 Reddish orbs seen hovering over east Catasaqua,7/29/23,Yes
7/10/23 22:30,https://nuforc.org/webreports/reports/176/S176696.html,Chattanooga,TN,USA,Formation,3 minutes,"thank you for taking my call. The gentleman who answered informed me it was star link, but asked me to file a report",7/29/23,
7/9/23 21:30,https://nuforc.org/webreports/reports/176/S176709.html,Greentown,IN,USA,Formation,30 seconds,Saw 3 stationary orange orbital lights about 50 feet in air that suddenly shot away.,7/29/23,
7/5/23 23:20,https://nuforc.org/webreports/reports/176/S176616.html,Boise,ID,USA,Formation,30 seconds,V shaped formation very silent,7/10/23,
7/4/23 21:35,https://nuforc.org/webreports/reports/176/S176601.html,Brunswick,MD,USA,Formation,2 or 3 minutes,Quick moving lights in synchronization. No sound or trails. Disappeared and reapeard on walk to apartment. Objects changed colors a lot,7/10/23,
7/4/23 21:33,https://nuforc.org/webreports/reports/176/S176583.html,Isiolo,,Kenya,Formation,Around a minute,Brighter than the full moon but small descending oddly fast,7/10/23,Yes
7/1/23 21:13,https://nuforc.org/webreports/reports/176/S176560.html,West Orange,NJ,USA,Formation,5-6 minutes,We saw glowing white lights overhead in a V formation floating by silently.,7/10/23,Yes
6/29/23 15:45,https://nuforc.org/webreports/reports/176/S176516.html,Oklahoma City,OK,USA,Formation,20 -30 seconds,I saw 1 V-shaped craft that flew in front of me.,7/10/23,
6/24/23 21:15,https://nuforc.org/webreports/reports/176/S176438.html,Prescott Valley,AZ,USA,Formation,1 and a half minutes,This might be a starlink satellite sighting. I checked the info on the satellite formations and it did not look or behave the same.,7/10/23,
6/14/23 23:50,https://nuforc.org/webreports/reports/176/S176289.html,Hastings,East Sussex,United Kingdom,Formation,30 minutes,My husband and I witnessed and videoed many unidentified flying objects in the sky with flashing lights of different colours,7/10/23,
6/12/23 22:30,https://nuforc.org/webreports/reports/176/S176274.html,Ashburn,VA,USA,Formation,2 minutes,One perfectly straight line of lights. It was moving together very slowly. It did not appear to be Starlink.,7/10/23,
6/9/23 22:47,https://nuforc.org/webreports/reports/176/S176171.html,Howell,NJ,USA,Formation,4-5 mins,4 lights make formations,7/10/23,
6/6/23 22:00,https://nuforc.org/webreports/reports/176/S176115.html,Jekyll Island,GA,USA,Formation,Only a few seconds,Five orange orbs that shifted momentarily.,7/10/23,
6/6/23 21:45,https://nuforc.org/webreports/reports/176/S176114.html,Jekyll Island,GA,USA,Formation,7 seconds,5 orange orbs in the sky.,7/10/23,Yes
5/31/23 11:14,https://nuforc.org/webreports/reports/175/S175999.html,Plainfield,IL,USA,Formation,About 1 minute.,There was lights in the sky that became visible and invisible.,7/10/23,
5/27/23 23:45,https://nuforc.org/webreports/reports/175/S175935.html,Boise,ID,USA,Formation,Approximately 30 seconds,"7 lights in a v shape moving west to east, totally silent",7/10/23,
5/27/23 20:45,https://nuforc.org/webreports/reports/175/S175936.html,Lake Havasu,AZ,USA,Formation,10 seconds,"I was taking our boat out from the marina , then one of my guests and her husband pointed at the sky ,and 5 bluedots ,perfect formation",7/10/23,
5/21/23 18:16,https://nuforc.org/webreports/reports/175/S175861.html,Pendacola,FL,USA,Formation,About a minute,Self guiding for sure -continuous small correction due south,7/10/23,
5/20/23 22:15,https://nuforc.org/webreports/reports/175/S175872.html,Ruckersville,VA,USA,Formation,45 seconds,Group of 3 orb-like objects moving together at inexplicable speeds,7/10/23,
5/19/23 21:50,https://nuforc.org/webreports/reports/175/S175848.html,Bowdoinham,ME,USA,Formation,50-60 seconds,Saw what I assumed was a formation of aircraft lit up flying West to East,7/10/23,
5/14/23 22:20,https://nuforc.org/webreports/reports/175/S175785.html,College city,CA,USA,Formation,Cant explain w 25 charac,Clear night. About 10:20 pm..walking/we turn around and see about 20 lights or so in line..right when I put flashlight up/ faded away,5/19/23,
5/13/23 22:59,https://nuforc.org/webreports/reports/175/S175767.html,Shelton,CT,USA,Formation,3-5 minutes,Bright RED lights,5/19/23,
5/1/23 21:17,https://nuforc.org/webreports/reports/175/S175648.html,Mount Carmel,PA,USA,Formation,10 min,Red Objects Flying in formation.,5/19/23,
4/25/23 13:00,https://nuforc.org/webreports/reports/175/S175499.html,Danville,CA,USA,Formation,Ongoing @ 0245,This may sound crazy but I believe we're witnessing an to the minute invasion,5/19/23,
4/22/23 22:30,https://nuforc.org/webreports/reports/175/S175460.html,Riverton,UT,,Formation,5 mins,"3 large lights above the clouds, that did not move for 5 mins",5/19/23,
4/22/23 02:34,https://nuforc.org/webreports/reports/175/S175464.html,seneca,IL,USA,Formation,1 minute and 22 seconds,Large bright object having over the corn field,5/19/23,
4/15/23 02:23,https://nuforc.org/webreports/reports/175/S175332.html,Cottage grove,OR,USA,Formation,3 minutes,Two unknown lights behaving strangely,5/19/23,
4/13/23 00:30,https://nuforc.org/webreports/reports/175/S175475.html,Estimated around Grand Junction,CO,USA,Formation,45 minutes to 1 hour,"What seemed to be crafts with bright lights rotating in circle formations descending to earth, then ascending later on.",5/19/23,
4/6/23 18:20,https://nuforc.org/webreports/reports/175/S175227.html,Ventura,CA,USA,Formation,1 minute,Sparkling golden objects twirling in spiral formation,4/9/23,
4/4/23 02:50,https://nuforc.org/webreports/reports/175/S175210.html,New Martinsville,,,Formation,about 30 min,"White light formation, Multiple formations of differing number.",4/9/23,
4/2/23 14:30,https://nuforc.org/webreports/reports/175/S175389.html,Warsaw,MO,USA,Formation,5 seconds,"After seeing a helicopter & A10, a formation of about ten winged, but vertical, objects glided silently through the air over my cove",5/19/23,Yes
3/24/23 22:05,https://nuforc.org/webreports/reports/175/S175113.html,Rochester,MN,USA,Formation,2 minutes,Y shaped Formation,4/9/23,Yes
3/17/23 09:45,https://nuforc.org/webreports/reports/175/S175043.html,Stockton,CA,USA,Formation,3 minutes,Red lights in formation streaking slowly,4/9/23,
3/10/23 20:30,https://nuforc.org/webreports/reports/174/S174966.html,Columbus,MS,USA,Formation,5-6 seconds,Large dimly lit V shape line of dots moving swiftly across the sky,4/9/23,
3/8/23 21:00,https://nuforc.org/webreports/reports/174/S174945.html,Delphi,IN,USA,Formation,2 minutes,5 bright orange lights in a straight line. Disappeared and reappeared farther to the west.,4/9/23,Yes
3/6/23 19:22,https://nuforc.org/webreports/reports/174/S174904.html,Marietta,GA,USA,Formation,A few minutes,"4 lights close together, all in a row, hovering in sky",4/9/23,Yes
3/5/23 03:30,https://nuforc.org/webreports/reports/174/S174884.html,,,USA,Formation,At least 30 minutes,Four to five pulsating bright lights that would fade in and out and would move around each other.,3/6/23,
3/4/23 23:49,https://nuforc.org/webreports/reports/174/S174880.html,Enid,OK,USA,Formation,,It suddenly appeared over rhe neighbors house and went from south to north pretty quickly. Maybe 50 60mph,3/6/23,Yes
2/27/23 11:54,https://nuforc.org/webreports/reports/174/S174729.html,lutz,FL,USA,Formation,5,Formation of 15-20 metallic star like objects heading north,3/6/23,
2/25/23 19:33,https://nuforc.org/webreports/reports/174/S174722.html,Grand junction,CO,USA,Formation,35,Walking dogs and to the west there were 2 very bright lights in the lower part of the horizion,3/6/23,Yes
2/24/23 20:40,https://nuforc.org/webreports/reports/174/S174770.html,Shreveport,LA,USA,Formation,,"Bright light in woods behind fence, something in corner of picture taken.",3/6/23,Yes
2/20/23 20:32,https://nuforc.org/webreports/reports/174/S174773.html,Poulsbo,WA,USA,Formation,1 hour,Me and my aunt spotted different unknown objects in the sky.   NUFORC Note: Jupiter and Venus,3/6/23,Yes
2/19/23 19:25,https://nuforc.org/webreports/reports/174/S174660.html,Bonita Springs,FL,USA,Formation,1 hour,Weird Lights,3/6/23,Yes
2/18/23 16:50,https://nuforc.org/webreports/reports/174/S174647.html,Pasco,WA,USA,Formation,8-10 min,"It could be clouds, maybe? Or a weather balloon or space junk falling to earth?",3/6/23,Yes
2/12/23 20:50,https://nuforc.org/webreports/reports/174/S174469.html,Hagerman,ID,USA,Formation,About 20 seconds,Looked like a chain of lights in sky then each one went out in order from back to front reminded me of flares,3/6/23,
2/12/23 19:45,https://nuforc.org/webreports/reports/174/S174468.html,Arcanum,OH,USA,Formation,Approx 3 minutes,Large straight line formation from western horizon rapidly dimming out after passing overhead.,3/6/23,
2/12/23 19:40,https://nuforc.org/webreports/reports/174/S174463.html,Ewing,KY,USA,Formation,Roughly 10 seconds,Saw a line of 5 star like shapes in a line that drifted across the sky and vanished in a eclipse like fashion.,3/6/23,Yes
2/12/23 19:40,https://nuforc.org/webreports/reports/174/S174459.html,Grand Rapids,OH,USA,Formation,45 seconds,"Not an airplane. String of lights. No air noise. No banner. it was going for about 45 seconds, maybe a minute and then disappeared.",3/6/23,
2/12/23 19:08,https://nuforc.org/webreports/reports/174/S174485.html,Wheatland,WY,USA,Formation,10 min,WY,3/6/23,
2/8/23 23:00,https://nuforc.org/webreports/reports/175/S175868.html,Yamba,New South Wales,Australia,Formation,Approx 5-10mins,4 lights seen dancing around each other in very organised geometric formations and changing colours between red and white.,7/10/23,Yes
2/6/23 14:15,https://nuforc.org/webreports/reports/174/S174338.html,Rising Fawn,GA,USA,Formation,3 mins,Seen large group of silver translucent shapes,3/6/23,Yes
2/5/23 21:20,https://nuforc.org/webreports/reports/174/S174326.html,Watsonville,CA,USA,Formation,45 minutes to an hr long,At least 40 pairs of lights visible with naked eye. But when viewed thru binoculars several more smaller lights around the bright pair,3/6/23,Yes
2/2/23 19:15,https://nuforc.org/webreports/reports/174/S174307.html,Artesia,NM,USA,Formation,30 secons,"Me, my wife and to adult age sons witnessed six lights appear in intervals I. Two line formations",3/6/23,
2/1/23 22:33,https://nuforc.org/webreports/reports/174/S174540.html,Middleboro,MA,USA,Formation,1 hour,Saw 4 brights lights hovering over town at 10:33pm,3/6/23,Yes
1/24/23 15:15,https://nuforc.org/webreports/reports/174/S174103.html,Elizabeth City,NC,USA,Formation,About 1 min,My family and I were outside playing when my wife noticed the objects flying in formation she tried to record but couldn't so I did,3/6/23,
1/11/23 20:30,https://nuforc.org/webreports/reports/175/S175584.html,Indian Lake Estates,FL,USA,Formation,A second or two,Approx. 8:30 p.m. looking around sky for ufo's with night vision and barely caught a small fleet of approx. seven tic-tac shaped crafts,5/19/23,
1/9/23 19:21,https://nuforc.org/webreports/reports/173/S173825.html,Linden,MI,USA,Formation,60 seconds,Many orbs flying east sooooo fast,3/6/23,
