date,reportlink,city,state,country,shape,duration,description,post_date,images
7/28/23 23:05,https://nuforc.org/webreports/reports/177/S177098.html,Leesburg,FL,USA,Orb,0:45,A Big Bright Orange Redish Ball / Orb Was Hovering In The Sky At Close Range For About 45 Seconds To A Minute And It Disappeared,7/29/23,
7/27/23 22:21,https://nuforc.org/webreports/reports/177/S177056.html,Riverton,WY,USA,Orb,2 min,Fairly large yellow orb with red and blue lights around it,7/29/23,
7/26/23 22:41,https://nuforc.org/webreports/reports/177/S177038.html,N Las Vegas,NV,USA,Orb,,Sighting of object slowly floating over,7/29/23,Yes
7/26/23 22:30,https://nuforc.org/webreports/reports/177/S177108.html,Maarif,Casablanca-Settat,Morocco,Orb,5 mins,"Orb of light stationary near moon, emits light and flies away",7/29/23,
7/23/23 21:45,https://nuforc.org/webreports/reports/176/S176900.html,Quanah,TX,USA,Orb,10 minutes,A bright light larger than an aircraft suddenly appeared in the sky and moves east. It then becomes brighter and projects a blast,7/29/23,
7/23/23 21:30,https://nuforc.org/webreports/reports/177/S177018.html,Florence,TX,USA,Orb,~1 minute,What makes me think this is worthy of filing report is that a high speed donut cloud formed just ahead of the object,7/29/23,
7/23/23 21:26,https://nuforc.org/webreports/reports/177/S177000.html,Copperas Cove,TX,USA,Orb,2-3 minutes. 2m2s video,"Noticed orb while star gazing, whipped camera out as fast as possible. Have video. You can hear witnesses. Also stills from the video.",7/29/23,Yes
7/23/23 21:25,https://nuforc.org/webreports/reports/176/S176896.html,Haslet,TX,USA,Orb,Only observed for 1 min,Hazy orb flying slowly across sky and emitting something in front. Zoomed in looks more linear.,7/29/23,Yes
7/23/23 21:25,https://nuforc.org/webreports/reports/176/S176911.html,Southlake,TX,USA,Orb,25seconds,We seen a bright light moving very fast with a Ora around it then all of a sudden the orawentonewaywhilethelightwentadiiferentway,7/29/23,
7/23/23 21:24,https://nuforc.org/webreports/reports/176/S176897.html,Dallas,TX,USA,Orb,3 minutes,Was an orb that changed to a point of light. Apparent size of orb was about the size of my fingernail at arms length.,7/29/23,
7/23/23 21:20,https://nuforc.org/webreports/reports/176/S176898.html,El Reno,OK,USA,Orb,30 seconds,Orb of light flashing arc of light that as it went out like a shock wave lit up the sky and slowly disappeared in cloud of light,7/29/23,
7/21/23 22:56,https://nuforc.org/webreports/reports/176/S176963.html,Lakeville,MA,USA,Orb,30 seconds,"Orb that shifted into craft, with other craft behind speeding opposite direction",7/29/23,
7/21/23 21:00,https://nuforc.org/webreports/reports/177/S177075.html,New Auburn,MN,USA,Orb,5-10 seconds,Saw a bright light change directions then disappear,7/29/23,
7/20/23 21:45,https://nuforc.org/webreports/reports/176/S176856.html,Trabuco canyon,CA,USA,Orb,At least 20 minutes,Glowing orbs sitting in the sky,7/29/23,
7/20/23 20:45,https://nuforc.org/webreports/reports/177/S177065.html,Cedaredge,CO,USA,Orb,1-2 Seconds,1 Orb at approximately 9:00 PM facing the Grand Mesa,7/29/23,
7/19/23 22:15,https://nuforc.org/webreports/reports/177/S177006.html,Hempstead,TX,USA,Orb,30 seconds,"String of orbs like a string of pearls in a straight line, which disappeared at the same point in the sky",7/29/23,
7/19/23 21:11,https://nuforc.org/webreports/reports/176/S176885.html,Fontan,CA,USA,Orb,10 -15 mins,Orb,7/29/23,Yes
7/19/23 19:00,https://nuforc.org/webreports/reports/176/S176853.html,San Jose,CA,USA,Orb,20 to 30 seconds,"black, spinning orb rising",7/29/23,
7/19/23 09:16,https://nuforc.org/webreports/reports/176/S176883.html,Rialto,CA,USA,Orb,3 to 5 mins,Bright white orb traveling very fast quickly changing directions,7/29/23,Yes
7/18/23 21:35,https://nuforc.org/webreports/reports/176/S176848.html,Green Valley,AZ,USA,Orb,"1-2 minutes, perhaps less",Yellow to white round light came from the sky and travelled parallel with the mountains.,7/29/23,
7/17/23 22:10,https://nuforc.org/webreports/reports/176/S176831.html,New Brighton,MN,USA,Orb,Less than a second,Yellowish/white orb appeared and shot toward the ground at almost 90 degrees then disappeared,7/29/23,
7/16/23 15:15,https://nuforc.org/webreports/reports/176/S176791.html,STUART,FL,USA,Orb,15 minutes,"The small image was at .5x zoom, the larger pix was at 10x zoom.",7/29/23,Yes
7/15/23 01:02,https://nuforc.org/webreports/reports/176/S176774.html,preston,Lancashire,United Kingdom,Orb,Seconds,Unknown,7/29/23,Yes
7/14/23 22:11,https://nuforc.org/webreports/reports/176/S176771.html,Hernando,FL,USA,Orb,9 seconds,A group of symmetrical round orbs traveling in perfect straight line perfectly spaced apart. Lights from orbs were rings.,7/29/23,Yes
7/14/23 05:00,https://nuforc.org/webreports/reports/176/S176760.html,Fairfield,CT,USA,Orb,5 seconds,Traveling orb plus a star,7/29/23,
7/13/23 23:20,https://nuforc.org/webreports/reports/176/S176752.html,Windsor,ON,Canada,Orb,2 seconds,A blue orb off in the night sky came into view from my Window. It took off faster than anything humanly possible heading South.,7/29/23,
7/13/23 21:00,https://nuforc.org/webreports/reports/176/S176755.html,Richardson,TX,USA,Orb,,Several dots that were blinking but not moving. Then moved into ball shape. I couldn't get the several lights because I was driving.,7/29/23,
7/13/23 20:30,https://nuforc.org/webreports/reports/176/S176811.html,McKinney,TX,USA,Orb,1 minute,"Large bright yellow-white orb at high speed and high altitude changing direction, slowing, and accelerating",7/29/23,
7/13/23 05:13,https://nuforc.org/webreports/reports/176/S176796.html,West Hills,CA,USA,Orb,2 min 59 sec,I looked up and saw a large rotating orb of light,7/29/23,
7/12/23 22:20,https://nuforc.org/webreports/reports/176/S176732.html,South Onondaga/ Onondaga Nation Reservation,NY,USA,Orb,5-7 minutes,"Driving home to Utica, New York from Lafayette New York. We saw three orbs in a perfect diagonal line in the sky.",7/29/23,
7/12/23 20:30,https://nuforc.org/webreports/reports/176/S176739.html,Newport News,VA,USA,Orb,8:34PM,Son spotted something we couldnt identify in the sky. Plane crossed paths with it; disappeared then we saw 2 orbs appear & disappear,7/29/23,
7/12/23 00:28,https://nuforc.org/webreports/reports/176/S176715.html,Skiatook,OK,USA,Orb,About 10 seconds,Two Different Time Frames,7/29/23,
7/11/23 22:05,https://nuforc.org/webreports/reports/176/S176727.html,Lakewood,WA,USA,Orb,Split second,PInkish purple orb flew past window,7/29/23,
7/11/23 22:00,https://nuforc.org/webreports/reports/176/S176741.html,Hubbardston,MI,USA,Orb,1 minute,Small bluish orb followed by Army Blackhawk helicopter,7/29/23,
7/10/23 23:45,https://nuforc.org/webreports/reports/176/S176670.html,Tacoma,WA,USA,Orb,5 mins,This past Wednesday and tonight I have seen this. I fly drones as a profession and its not a drone. Looks like a spinning ghost color,7/10/23,Yes
7/10/23 22:00,https://nuforc.org/webreports/reports/176/S176777.html,St. Thomas,ON,Canada,Orb,30 seconds,i was leaving my car with my girlfriend after coming home from grabbing snacks when i see this bright orb shaped bright object flying,7/29/23,
7/10/23 20:30,https://nuforc.org/webreports/reports/176/S176698.html,Rockville,MD,USA,Orb,At least 30 seconds,Orb flying strangely in the distance,7/29/23,
7/10/23 20:04,https://nuforc.org/webreports/reports/176/S176681.html,Scotch Plains,NY,USA,Orb,,Saw three small bright objects moving in one direction,7/29/23,
7/10/23 17:23,https://nuforc.org/webreports/reports/176/S176749.html,McNeal,AZ,USA,Orb,about 5 or 6 seconds,"I was watching a nasty looking thunderstorm, and saw a black orb, and hard to see shape, as it was jet black, just barely under clouds,",7/29/23,
7/10/23 00:10,https://nuforc.org/webreports/reports/176/S176714.html,Skiatook,0K,USA,Orb,Little over 5 seconds,Two Orbs Rushed Across the Sky,7/29/23,
7/8/23 23:40,https://nuforc.org/webreports/reports/176/S176655.html,South Saint Paul,MN,USA,Orb,Multiple time at least 4,I saw the same object 4 times over an hour,7/10/23,
7/6/23 22:12,https://nuforc.org/webreports/reports/176/S176631.html,Forest City,NC,USA,Orb,45 seconds,Saw orange orb in backyard.,7/10/23,
7/5/23 20:59,https://nuforc.org/webreports/reports/176/S176699.html,Emerald Isle,NC,USA,Orb,around 4 minutes,Small orange orb seen moving slowly at low altitude.,7/29/23,Yes
7/4/23 21:38,https://nuforc.org/webreports/reports/176/S176611.html,Fresno,CA,USA,Orb,15mins,Green oval shape object hovering and moving around around 15 minutes.,7/10/23,
7/4/23 18:30,https://nuforc.org/webreports/reports/176/S176626.html,Orange,VA,USA,Orb,10 minutes,"My wife and I looked out of the window and saw the 5 lights not moving spaced 10ft apart, went to grab mytelescope and they disappeared",7/10/23,Yes
7/3/23 22:10,https://nuforc.org/webreports/reports/176/S176581.html,Knoxville,TN,USA,Orb,Approximately 1 minute,"White strobe-like light moving at very high speed with instant acceleration and deceleration, with instant 90 degree turns.",7/10/23,
