date,reportlink,city,state,country,shape,duration,description,post_date,images
7/27/23 06:15,reports/177/S177039.html,Dawson,WV,USA,Other,45 seconds,Glowing rocket shaped craft,7/29/23,
7/23/23 21:24,reports/176/S176912.html,Noble,OK,USA,Other,2 minutes approximately,"I took a photograph first and then a video. I cannot rationalize what I saw. It looked foggy and it is cloudless, changing in intens",7/29/23,Yes
7/20/23 23:30,reports/176/S176955.html,Yelm,WA,USA,Other,A few minutes,"I was in my room and I saw 3 almost translucent/holographic small sort of bell-shaped objects appear, hover around",7/29/23,Yes
7/20/23 20:31,reports/176/S176952.html,St Catharines,ON,Canada,Other,15-20 Minutes,Long rock type of material,7/29/23,
7/17/23 01:15,reports/176/S176821.html,Elvanfoot,Scotland,United Kingdom,Other,5 minutes,"Bright white thing above the horizon, it was morphing into different shapes while flashing very bright white & two red lights (fixed)",7/29/23,
7/15/23 18:20,reports/176/S176819.html,Seattle,WA,USA,Other,4-5 minutes,Unidentified S shaped flying object spinning across sky,7/29/23,Yes
7/13/23 23:13,reports/176/S176763.html,Erin,ON,Canada,Other,2 hours,Weird flying object in yard for a few hours,7/29/23,
7/13/23 16:29,reports/176/S176832.html,Arlington,WA,USA,Other,1 minute,"Large object hovering over roadway ~.5 mile ahead of me for 1min, then disappeared.",7/29/23,Yes
7/12/23 20:00,reports/176/S176743.html,Willow street,PA,USA,Other,5-10 minutes,Metallic chrome so shiny it looked lit two cigar shapes side by side.,7/29/23,
7/11/23 22:15,reports/176/S176973.html,Vallecito,NM,USA,Other,Approximately 4 minutes,Square blue/white building-block-looking train with approximately half dozen blocks/cars,7/29/23,
7/9/23 22:40,reports/176/S176667.html,Moundridge,KS,USA,Other,3 seconds,Rectangular object traveled east north east over head coming into view fast with a white hot light very low and then slowed down,7/10/23,Yes
7/7/23 21:30,reports/176/S176678.html,Lincoln,CA,USA,Other,20-30 minutes,6 different 4 horizontal light objects leaving silo/bldg area 3 traveled N. & turning back descending 3 going S. slowly rising.,7/29/23,
7/6/23 11:00,reports/176/S176634.html,Spokane Valley,WA,USA,Other,3 seconds,4 large exhaust engines and a very large craft,7/10/23,
7/4/23 22:12,reports/176/S176630.html,Mount Holly springs,PA,USA,Other,30 min,"My fiance was at her mother's house ,she noticed this in the night sky it was not the moon .",7/10/23,
7/4/23 20:47,reports/176/S176623.html,Pelham,NY,USA,Other,7 minutes,"While waiting for a 4th of July fireworks display to begin, I and 3 friends noticed a blinking green, sometimes red, light in the sky.",7/10/23,
7/4/23 20:45,reports/176/S176679.html,Edmonton,AB,Canada,Other,5-7 minutes,"Object witnessed, Edmonton AB, July 4 2023",7/29/23,Yes
7/2/23 01:19,reports/176/S176569.html,Coalinga,CA,USA,Other,2 mins,We were driving through I5 when a craft appeared on drivers side then flew past windshield then on the left side with 3 bright lights.,7/10/23,
6/29/23 13:30,reports/176/S176675.html,,,Kyrgyzstan,Other,30-40 seconds,We were flying westbound FL320. I saw a contact approaching our right (North) side. TCAS showed nothing. Passed close slightly higher,7/10/23,Yes
6/27/23 03:30,reports/176/S176613.html,Fortuna Foothills,AZ,USA,Other,<5 seconds,"Saw 3 lights in a triangle fade into view. 1 red light & 2 white lights. Not a plane, lights never came back after fading back out.",7/10/23,
6/25/23 21:30,reports/176/S176454.html,New York City,NY,USA,Other,1 minute,I have video of what looks like 30 orbs appearing and disappearing or one spinning disk with lights on the perimeter.,7/10/23,
6/25/23 13:30,reports/176/S176466.html,Newport Beach,CA,USA,Other,10-15 minutes,"Formation of 8 bubble like objects, with a cone shape.",7/10/23,
6/23/23 22:30,reports/176/S176422.html,Lamy,NM,USA,Other,2-3 minutes,"Line of 10ish dots of light in night sky, very close together. Was stationary for 1-2 minutes. Started moving slowlyEast then vanished",7/10/23,
6/21/23 22:55,reports/176/S176754.html,,CA,USA,Other,10 sec,Not starlink looked like a centipede swayed side to side,7/29/23,
6/20/23 11:09,reports/176/S176394.html,Boca Raton,FL,USA,Other,4 minutes,Sighted large plane gray hovering low then vanished,7/10/23,Yes
6/10/23 22:15,reports/176/S176283.html,Elgin. (Rural),OK,USA,Other,1. minute,Extra long spear shaped craft around 2000 ft traveling 4 times speed of airplanes but emitting no noise or lights.,7/10/23,
6/7/23 20:20,reports/176/S176249.html,Baker ?,CA,USA,Other,Hovering,Black boot shaped hovering over desert,7/10/23,
6/6/23 20:26,reports/176/S176116.html,napier,Hawke,New Zealand,Other,5 minutes,Tall white followed me,7/10/23,
6/2/23 16:00,reports/176/S176550.html,East Atlantic Beach,NY,USA,Other,45 minutes,"Hovering over the ocean, slowly moving West.",7/10/23,Yes
6/1/23 00:00,reports/176/S176606.html,Spokane,WA,USA,Other,varied - more than one,"3 recent sightings. 2 of which could be blown off as meteors, and a large hovering object.",7/10/23,
5/27/23 20:30,reports/176/S176106.html,Elgin,IL,USA,Other,about 3 or 4 seconds,A bright circle of light,7/10/23,
5/26/23 21:20,reports/175/S175954.html,Hueytown,AL,USA,Other,Maybe 2 minutes,10-15 lights in a straight line headed southeast,7/10/23,
5/22/23 21:59,reports/175/S175970.html,Buffalo,NY,USA,Other,10-15 seconds,"I witnessed these 2 ships or planes traveling at unbelievable high speeds with instant 180 and 90 degrees turns . Unrealistic,but I saw",7/10/23,Yes
5/21/23 20:30,reports/175/S175895.html,Palmdale,CA,USA,Other,20 minutes,Largest object looked like a square with lights in a circle around the square,7/10/23,
5/20/23 20:50,reports/175/S175840.html,Becket,MA,USA,Other,1 min,Satellite sky,7/10/23,
5/19/23 21:00,reports/176/S176216.html,Plainfield,IN,USA,Other,Oct. 12 2021 9:00pm,I just received a new iPhone .after set up I went outside my front door to test the camera. I saw something in the screen and looked up,7/10/23,Yes
5/17/23 15:30,reports/175/S175812.html,Santa Barbara,CA,USA,Other,2 min 23 sec,"1 Rotation ~ 1 sec, Wobbling. Square but thinner in one dimension. Slowly moving North, than south. Video available.",5/19/23,Yes
5/14/23 22:09,reports/175/S175798.html,Mt Royal,NJ,USA,Other,One minute!,I saw lights vertical and then became horizontal and was able to get three pictures of and then it vanished !,5/19/23,
5/13/23 01:00,reports/175/S175752.html,Houston,TX,USA,Other,10 minutes,"It looks like a vehicle flying in the sky, like an airplane, however it is not an airplane",5/19/23,
5/12/23 11:01,reports/175/S175750.html,Buffalo,NY,USA,Other,45-60 seconds,"45-60 second FAST traveling object, round but transitioning to - lengthy , bright red object",5/19/23,Yes
5/9/23 01:45,reports/176/S176978.html,Chatham,ON,Canada,Other,about 20 minutes,Red cloud with rotation/movement occurring within it.,7/29/23,Yes
