date,reportlink,city,state,country,shape,duration,description,post_date,images
7/27/23 13:00,https://nuforc.org/webreports/reports/177/S177082.html,Rancho Cucamonga,CA,USA,Oval,7 seconds,"Silent, silver shape moving faster than airplane",7/29/23,
7/24/23 00:20,https://nuforc.org/webreports/reports/176/S176893.html,Newcastle,WA,USA,Oval,20 seconds - driving,Large black oval that I thought was a helicopter silhouette with green blinking light,7/29/23,
7/23/23 21:24,https://nuforc.org/webreports/reports/177/S177004.html,Odessa,TX,USA,Oval,About 45 minutes,I watched it come over our house at about 9:24pm. It shot some kid of substance 350 degrees around itself. it was lower than aircraft,7/29/23,Yes
7/22/23 03:36,https://nuforc.org/webreports/reports/177/S177024.html,Indianapolis,IN,USA,Oval,20 minutes,Ive got more pictures,7/29/23,Yes
7/20/23 20:16,https://nuforc.org/webreports/reports/176/S176863.html,Marlton,NJ,USA,Oval,Seconds,Bright light in daytime,7/29/23,
7/16/23 23:20,https://nuforc.org/webreports/reports/176/S176824.html,Corbett,0R,USA,Oval,Seconds,I was taking pictures of bald eagle with my phone. Didnt realize I took picture of object until I got home.,7/29/23,Yes
7/16/23 21:56,https://nuforc.org/webreports/reports/176/S176804.html,Pine Bluff,AR,USA,Oval,1:39,Fast Moving UFO.,7/29/23,
7/16/23 21:04,https://nuforc.org/webreports/reports/176/S176806.html,Tremonton,CA,USA,Oval,8 minutes,"Hovered, descended and ascended quickly, hovered, then disappeared",7/29/23,Yes
7/15/23 17:53,https://nuforc.org/webreports/reports/176/S176789.html,Singaraja,Bali,Indonesia,Oval,1 minutes,"benda bercahaya terbang sangat tinngi, dan hilang tiba-tiba tanpa ada jejak. saya cek di flight radar tidak ada pesawat di dekat saya",7/29/23,
7/13/23 02:15,https://nuforc.org/webreports/reports/176/S176765.html,Conyers,GA,USA,Oval,3-4 seconds,"A oval shaped object with red, green, and white lights.",7/29/23,
7/10/23 23:56,https://nuforc.org/webreports/reports/176/S176686.html,winchester,VA,USA,Oval,20 SECONDS,"While scanning the area below Alberio, I saw a flash and then a smoke ring.",7/29/23,
7/10/23 21:33,https://nuforc.org/webreports/reports/176/S176697.html,Pine Bluff,AR,USA,Oval,2:20,UFO Spotted East.,7/29/23,
7/7/23 20:33,https://nuforc.org/webreports/reports/176/S176672.html,Hurst,TX,USA,Oval,About 2 minutes,Very bright oval object. Commercial aircraft in the area at the time so guaranteed pilots saw it!,7/10/23,
7/5/23 21:40,https://nuforc.org/webreports/reports/176/S176702.html,Pine Bluff,AR,USA,Oval,1:20,UFO Spotted Due N,7/29/23,
7/1/23 00:07,https://nuforc.org/webreports/reports/176/S176532.html,Killiney,County Dublin,Ireland,Oval,3 minutes,2 to 3 lighting fast light moves just at elevated cloud level,7/10/23,Yes
6/25/23 20:46,https://nuforc.org/webreports/reports/176/S176451.html,Elida,OH,USA,Oval,1- 2 minutes,"From the naked eye, object 1 and 2 appeared like a tic tac round shape.",7/10/23,Yes
6/25/23 20:20,https://nuforc.org/webreports/reports/176/S176473.html,Worcester,MA,USA,Oval,1 minute,"Briefly stepped outside to water plants, looked up and saw a what I assumed was a plane. It looked a little odd so I recorded a video",7/10/23,Yes
6/25/23 00:00,https://nuforc.org/webreports/reports/176/S176477.html,Poole Town Centre,,USA,Oval,45 Seconds,I noticed two stars close together. One vanished and then this bowl shaped object appeared.,7/10/23,
6/24/23 21:16,https://nuforc.org/webreports/reports/176/S176434.html,Loganville,GA,USA,Oval,15 to 20 secs,A fairly bright orange oval shaped object was seen traveling west to east.,7/10/23,
6/24/23 18:45,https://nuforc.org/webreports/reports/176/S176437.html,Seattle,WA,USA,Oval,30 minutes,"Pair of iridescent ovals with tendrils and halos travel rapidly, at high altitude on southern course across Seattle",7/10/23,
6/21/23 17:00,https://nuforc.org/webreports/reports/176/S176392.html,Upland,CA,USA,Oval,8-10 seconds,Observed a round/oval object stand still for a few seconds then it quickly moved East and it was gone. Nowhere to be seen.,7/10/23,
6/19/23 16:59,https://nuforc.org/webreports/reports/176/S176383.html,Greeneville,TN,USA,Oval,Less than a second,"Oval in shape with a possible ledge around it, gold in color.",7/10/23,Yes
6/18/23 12:47,https://nuforc.org/webreports/reports/176/S176622.html,Landers,CA,USA,Oval,Not sure,"I took a picture of the landscaping and sky first picture no object, second picture object.",7/10/23,Yes
6/13/23 16:52,https://nuforc.org/webreports/reports/176/S176257.html,London,Royal Borough of Kensington and Chelsea,United Kingdom,Oval,3 minutes...maybe less,"Saw white-ish object in the sky at Brompton Cemetery, London - found 2nd object later in my photos that I didn't see earlier.",7/10/23,Yes
6/13/23 10:08,https://nuforc.org/webreports/reports/176/S176326.html,Brooklyn,NY,USA,Oval,90 seconds,"Freely rotating tic-tac shaped metallic, reflective object that suddenly disappeared",7/10/23,
6/11/23 10:02,https://nuforc.org/webreports/reports/176/S176320.html,Carson City,OR,USA,Oval,,Shiny aluminum type in the sky,7/10/23,
6/9/23 12:19,https://nuforc.org/webreports/reports/176/S176156.html,Big Flats,NY,USA,Oval,15 seconds,Moving quickly from west to east.,7/10/23,Yes
6/5/23 16:57,https://nuforc.org/webreports/reports/176/S176113.html,Pensacola,FL,USA,Oval,60 seconds,Noticed object depending from cloud coverage as I approached intersection. oObject was elliptical,7/10/23,
5/26/23 15:10,https://nuforc.org/webreports/reports/175/S175963.html,Seattle,WA,USA,Oval,25 seconds,"East heading away from Seattle, quarter Mile above land.",7/10/23,Yes
5/21/23 07:26,https://nuforc.org/webreports/reports/175/S175944.html,Hickory Flat,GA,USA,Oval,2 minutes,Oval shaped UFO sighted with a military type aircraft chasing it.,7/10/23,Yes
5/20/23 10:00,https://nuforc.org/webreports/reports/175/S175900.html,Seattle,WA,USA,Oval,5 seconds,Oval by space needle,7/10/23,
5/17/23 23:20,https://nuforc.org/webreports/reports/175/S175821.html,Sharpsville,IN,USA,Oval,1 hour,Oval like object over town no brightness,5/19/23,
5/14/23 10:45,https://nuforc.org/webreports/reports/175/S175779.html,Troy,NY,USA,Oval,30s,"A large oval object, possibly dimly lit blimp, larger than 100ft in length",5/19/23,
5/9/23 21:20,https://nuforc.org/webreports/reports/175/S175728.html,Livonia,MI,USA,Oval,10 minutes,Craft with Red lights-traveling two together separated evenly heading north/northwest--about 1 dozen or more,5/19/23,
5/7/23 23:07,https://nuforc.org/webreports/reports/175/S175709.html,North Ridgeville,OH,USA,Oval,6/22 thru 5/23,Every night behind Hardwood Dr,5/19/23,
5/4/23 19:45,https://nuforc.org/webreports/reports/176/S176100.html,Lincoln,NE,USA,Oval,7:35-8:45,Watched it for over an hour it did not move much.,7/10/23,Yes
5/2/23 12:15,https://nuforc.org/webreports/reports/175/S175556.html,buffalo junction,VA,USA,Oval,1 minute,silver oval shaped object flying approx 300' above highway 58 and it disappeared,5/19/23,
5/2/23 09:20,https://nuforc.org/webreports/reports/175/S175558.html,West chester,,USA,Oval,7-12 seconds,Potential UAP over route 202 orange glowing blurred object ascending,5/19/23,
4/30/23 02:22,https://nuforc.org/webreports/reports/175/S175948.html,Concord,NH,USA,Oval,3 hours,Looked up after grabing a soda from my car,7/10/23,Yes
4/21/23 21:25,https://nuforc.org/webreports/reports/175/S175443.html,Granbury,TX,USA,Oval,1 minute,We were walking ABS suddenly saw those 3 things in the sky,5/19/23,
4/13/23 17:16,https://nuforc.org/webreports/reports/175/S175435.html,South Shore,KY,USA,Oval,2 minutes,2nd sighting milky white oval moving slow and low,5/19/23,
4/13/23 15:00,https://nuforc.org/webreports/reports/175/S175363.html,Carlow,County Carlow,Ireland,Oval,,"A shiny round object flew from west. It flew below the clouds, than turned North.",5/19/23,
4/13/23 04:30,https://nuforc.org/webreports/reports/176/S176507.html,Rowley,IA,USA,Oval,about 2 minutes,Bright white craft stays mostly still in the early morning.,7/10/23,Yes
3/31/23 20:30,https://nuforc.org/webreports/reports/175/S175640.html,Brea,CA,USA,Oval,5 minutes,8pm sun was still out large opaque oval in tree about 7 ft in height just up along the tree,5/19/23,
3/26/23 13:07,https://nuforc.org/webreports/reports/175/S175126.html,Ward,AR,USA,Oval,30 minutes,A oval-like object with pinched sides surrounded by an effect similar to a heat shimmer that bent and colored the light around it.,4/9/23,
3/25/23 19:06,https://nuforc.org/webreports/reports/175/S175109.html,Mumbai,,India,Oval,40 seconds,An unknown object was observed in the sky.,4/9/23,
3/20/23 10:15,https://nuforc.org/webreports/reports/175/S175110.html,Mooresville,NC,USA,Oval,Less than 2 seconds,3 ovals flying very fast,4/9/23,
3/20/23 02:00,https://nuforc.org/webreports/reports/175/S175195.html,Oxford,,USA,Oval,20 minutes,I seen a ufo slowing moving last but then disappear in a blink,4/9/23,
