date,reportlink,city,state,country,shape,duration,description,post_date,images
7/23/23 10:45,https://nuforc.org/webreports/reports/176/S176920.html,New Haven,CT,USA,Rectangle,aprox 2 minutes,"Object moved in straight line, ""disappearing,"" then coming back, shimmering brightly, not in reflective pattern, very high in sky",7/29/23,
7/15/23 17:45,https://nuforc.org/webreports/reports/176/S176807.html,Royal Park,South Australia,Australia,Rectangle,2 - 4 minutes,"blue & red lights like car indicators with brighter lighthouse like light - slowly move S - hover then increase speed moving W,N,NE",7/29/23,
7/14/23 21:00,https://nuforc.org/webreports/reports/176/S176873.html,New haven,CT,USA,Rectangle,2 minutes,Looked out window saw ufo it appeared to fly behind the clouds.followed by two silver orbs 2 right after another then loud engine sound,7/29/23,
7/10/23 22:00,https://nuforc.org/webreports/reports/176/S176722.html,Vedauwoo,WY,USA,Rectangle,15 seconds,Low flying rectangle gliding east to west and glowing blue,7/29/23,
7/4/23 22:00,https://nuforc.org/webreports/reports/176/S176603.html,Spokane,WA,USA,Rectangle,est 15-20 mins,"Craft and orb watch the fireworks, defy laws of nature, then go their separate ways, then suddenly dissappear.",7/10/23,
7/4/23 21:25,https://nuforc.org/webreports/reports/176/S176629.html,Mission Viejo,CA,USA,Rectangle,5 seconds,Large panel glowing blue,7/10/23,
7/1/23 23:23,https://nuforc.org/webreports/reports/176/S176549.html,"Avenal, CA",CA,USA,Rectangle,2 minutes,"Flat object moved in interesting pattern, transparent object with no sound, disappearance, reappearance, capture on video",7/10/23,Yes
6/15/23 21:59,https://nuforc.org/webreports/reports/176/S176319.html,"CAPAY, CA",CA,USA,Rectangle,???,There was a bright object that did not seem to move but went dark and seconds later would be bright again.,7/10/23,
6/15/23 16:30,https://nuforc.org/webreports/reports/176/S176313.html,Colchester,Essex,United Kingdom,Rectangle,1 minute,A hollow square structure white in colour Ca. 100m AGL,7/10/23,
6/14/23 14:35,https://nuforc.org/webreports/reports/176/S176408.html,Mesa,AZ,USA,Rectangle,1-2 minutes,Black rectangular UAP sighted,7/10/23,
6/13/23 22:57,https://nuforc.org/webreports/reports/176/S176238.html,Pleasant Lake,IN,USA,Rectangle,10 minutes,"Low, slow flying dark gray rectangle with flashing lights headed north east over I-69",7/10/23,
6/13/23 21:30,https://nuforc.org/webreports/reports/176/S176270.html,Wilmington,NC,USA,Rectangle,1 hour,We first saw the object in the sky and thought it was a star or planet until it moved positions.,7/10/23,Yes
