date,reportlink,city,state,country,shape,duration,description,post_date,images
7/25/23 12:00,https://nuforc.org/webreports/reports/177/S177002.html,Paderborn & Bonn,North Rhine-Westphalia,Germany,Sphere,,Formation Gyro axis like steered in Formation,7/29/23,
7/24/23 01:30,https://nuforc.org/webreports/reports/176/S176964.html,Wetmore,MI,USA,Sphere,Maybe 5 minutes,"Spherical object, varying heights and speeds, seemingly responsive to our presence.",7/29/23,
7/23/23 21:51,https://nuforc.org/webreports/reports/176/S176908.html,Fort Worth,TX,USA,Sphere,1-2 min,Sphere with aura,7/29/23,
7/23/23 21:30,https://nuforc.org/webreports/reports/176/S176894.html,Buckholts,TX,USA,Sphere,1 minute,"The object was quiet, with white glow, covered in fog like cloud, made a right turn in sky.",7/29/23,
7/23/23 00:06,https://nuforc.org/webreports/reports/176/S176924.html,Yuba City,CA,USA,Sphere,,Orange orb appeared and was moving across the sky.,7/29/23,
7/22/23 15:30,https://nuforc.org/webreports/reports/176/S176937.html,Hobucken,NC,USA,Sphere,10 seconds,Silver Sphere Moving over Water,7/29/23,
7/20/23 16:41,https://nuforc.org/webreports/reports/176/S176858.html,Bonita,CA,USA,Sphere,2 mins,Witnessed bright spherical object that a at high altitude.,7/29/23,Yes
7/17/23 07:50,https://nuforc.org/webreports/reports/176/S176956.html,Kissimmee,FL,USA,Sphere,1 minute,Saw the object flying low from west to east south of my position,7/29/23,Yes
7/16/23 13:00,https://nuforc.org/webreports/reports/176/S176792.html,Gilbert,AZ,USA,Sphere,15-30 seconds,"Black metal sphere with a red flashing light appeared suddenly in my window, it was hovering and wobbling",7/29/23,
7/14/23 10:20,https://nuforc.org/webreports/reports/176/S176770.html,Kailua Kona,HI,USA,Sphere,3 to 4 seconds,"Dark sphere crossed highway ahead of me, turned right and quickly disappeared",7/29/23,
7/5/23 07:38,https://nuforc.org/webreports/reports/176/S176598.html,Grand Prarie,TX,USA,Sphere,1-2 min,"Sunny clear blue skies. Object was extremely high due to the small size, I assumed. It reflected 2 times for a few seconds",7/10/23,
7/3/23 10:26,https://nuforc.org/webreports/reports/176/S176570.html,Timnath,CO,USA,Sphere,40 seconds maybe,Three objects that seemed to move in concert or were connected as one. Right over highway.,7/10/23,Yes
7/3/23 03:45,https://nuforc.org/webreports/reports/176/S176573.html,Portland,OR,USA,Sphere,Brief very fast.,"Saw it at about 20-30k feet. It was a go fast , blurry, soft light.",7/10/23,
7/2/23 19:05,https://nuforc.org/webreports/reports/176/S176618.html,Montgomeryville,PA,USA,Sphere,1 to 2 minutes,"Pre-tornado: One with a trail far away, one floating much closer",7/10/23,
6/28/23 12:43,https://nuforc.org/webreports/reports/176/S176531.html,Puyallup,WA,USA,Sphere,about 12 seconds,"Saw silver sphere in sky with sun reflecting off of it super bright. It hung in the sky about 10 seconds, then veared off and dissapear",7/10/23,
6/20/23 20:41,https://nuforc.org/webreports/reports/176/S176380.html,sarasota,FL,USA,Sphere,approximately 45 seconds,Sphere shaped uap,7/10/23,
6/19/23 23:30,https://nuforc.org/webreports/reports/176/S176389.html,Commack,NY,USA,Sphere,"several minutes, maybe 10",Moved from East to West quickly but not really fast like a plane.,7/10/23,
6/15/23 13:30,https://nuforc.org/webreports/reports/176/S176307.html,San Francisco,CA,USA,Sphere,6 seconds,At 15 min before landing I clearly saw a spherical metal object flying against the plane direction I was fast at least 5 seconds,7/10/23,
6/11/23 19:02,https://nuforc.org/webreports/reports/176/S176213.html,Cape coral,FL,USA,Sphere,2-3 seconds,"Actually, had three sightings. Daughter told me what she saw I came outside and then I saw it too. I tried to take pic, too fast",7/10/23,
6/11/23 16:20,https://nuforc.org/webreports/reports/176/S176209.html,Pembroke,MA,USA,Sphere,30 sec,"Out in my back yard with my dog, I heard an aeroplane overhead, looked up and saw the plane with a black dot above it to the rear of it",7/10/23,
6/9/23 21:30,https://nuforc.org/webreports/reports/176/S176221.html,Erode,Tamil Nadu,India,Sphere,,Sphere shaped ball flying in a height of a normal bird fly at a speed of overspeed car which can be identified by the naked eye.,7/10/23,
6/9/23 10:47,https://nuforc.org/webreports/reports/176/S176151.html,Reno,NV,USA,Sphere,Currently happening,"There is currently a fast moving black sphere in the sky above Reno. It moves fast, and then hovers. Its been hovering for 15 mins",7/10/23,Yes
6/8/23 16:10,https://nuforc.org/webreports/reports/176/S176395.html,Honley,Kirklees,United Kingdom,Sphere,10/15 minutes,Small objects flashing,7/10/23,Yes
6/7/23 10:26,https://nuforc.org/webreports/reports/176/S176117.html,Highway 20,NM,USA,Sphere,40 minutes,Metallic orb hovering no sound size of basketball,7/10/23,
6/6/23 19:35,https://nuforc.org/webreports/reports/176/S176178.html,Erumely,Kerala,India,Sphere,2 min,A glowing sphere moving relatively very fast but moving uniformly. Size and brightness is more than the brightest star visible.,7/10/23,
6/5/23 13:28,https://nuforc.org/webreports/reports/176/S176281.html,Cork,County Cork,Ireland,Sphere,6 seconds,2 flying crafts in the same direction both 100ft in the sky moving at consistent speed,7/10/23,Yes
6/4/23 19:35,https://nuforc.org/webreports/reports/176/S176031.html,Djurås,Dalarna County,Sweden,Sphere,15 seconds,Blackish grey icosahedron shaped object flying from east to west.,7/10/23,
6/1/23 15:00,https://nuforc.org/webreports/reports/176/S176018.html,,Bucharest,Romania,Sphere,2 minutes,This perfectly spherical black object moving in a straight line high up in the sky,7/10/23,
5/26/23 21:35,https://nuforc.org/webreports/reports/175/S175953.html,Wesley Chapel,FL,USA,Sphere,1 minute,Green and blue flashing ball of light falling from the sky.,7/10/23,
