date,reportlink,city,state,country,shape,duration,description,post_date,images
7/27/23 21:09,https://nuforc.org/webreports/reports/177/S177044.html,Sardasht,Kurdistan Province,Iran,Star,Every night,I saw many many moving stars through the night,7/29/23,Yes
7/25/23 22:00,https://nuforc.org/webreports/reports/176/S176969.html,Mount Vernon,WA,USA,Star,One minute,There was some clouds but the light seemed to be beneath the clouds. Crossed over faster than the Navy jets that fly over us.,7/29/23,
7/23/23 21:25,https://nuforc.org/webreports/reports/177/S177001.html,Albany,TX,USA,Star,three minutes,Star size and thought it was a plane far off and it put out a light arch,7/29/23,
7/19/23 21:12,https://nuforc.org/webreports/reports/176/S176871.html,Duarte,CA,USA,Star,A few minutes.,Looked like a single star or satellite flying overhead.,7/29/23,
7/14/23 22:54,https://nuforc.org/webreports/reports/176/S176773.html,Spanaway,WA,USA,Star,20 minutes,"Star started to move, zig zag, blink in an out, take sharp turns",7/29/23,
7/11/23 23:00,https://nuforc.org/webreports/reports/176/S176712.html,The Plains,OH,USA,Star,20 minutes,"Looked as bright as a planet, shape can not be determined",7/29/23,
7/4/23 22:30,https://nuforc.org/webreports/reports/176/S176652.html,Red Bluff,CA,USA,Star,12 to 15 minutes,"Three dull-like stars moving slowly to form a triangle, then 22 more appeared.",7/10/23,
7/4/23 22:00,https://nuforc.org/webreports/reports/176/S176590.html,Gresham,OR,USA,Star,5 min or more,Line of evenly spaced stars moving south to north at least 1000ft or more. They suddenly stopped and changed patern and directions,7/10/23,
7/3/23 20:42,https://nuforc.org/webreports/reports/176/S176639.html,Phoenix,AZ,USA,Star,5:00 minutes,Starlike UFO drops a mysterious teardrop object before vanishing into thin air.,7/10/23,
7/2/23 01:26,https://nuforc.org/webreports/reports/176/S176546.html,Ashford,Kent,United Kingdom,Star,Between 10 and 20minutes.,Flashing light changing direction,7/10/23,
6/20/23 21:20,https://nuforc.org/webreports/reports/176/S176371.html,Glendale,AZ,USA,Star,,We were stargazing and I was staring at this supposed plane because it was moving side to side.,7/10/23,
6/13/23 22:30,https://nuforc.org/webreports/reports/176/S176282.html,Fort Collins,CO,USA,Star,3-5 minutes,Looked like a big planet dark orange or yellow with a very large trail behind.   The trail was perfectly rectangular and glowing orange,7/10/23,
6/6/23 19:33,https://nuforc.org/webreports/reports/176/S176205.html,NEW BRITAIN,CT,USA,Star,4-5 minutes,Orange/red object in the sky,7/10/23,Yes
5/27/23 21:00,https://nuforc.org/webreports/reports/175/S175985.html,Ruidoso,NM,USA,Star,2-3 minutes,Two separate pairs of initially stationary star-like objects moving away from one another,7/10/23,
5/22/23 14:00,https://nuforc.org/webreports/reports/175/S175903.html,Kent,WA,USA,Star,5 minutes,5 Black star shaped objects,7/10/23,
4/26/23 22:30,https://nuforc.org/webreports/reports/175/S175525.html,Reidsville,NC,USA,Star,No more than two minutes.,"An extremely large and bright, burning light hovering slowly in the sky that was gone shortly after.",5/19/23,
4/15/23 04:45,https://nuforc.org/webreports/reports/175/S175404.html,Tukwila,WA,USA,Star,2 seconds,Small greenish light .,5/19/23,
4/14/23 23:50,https://nuforc.org/webreports/reports/175/S175333.html,Los Angeles,CA,USA,Star,5min,There was a star like image moving away from earth. A bright and long Orange/Red flame,5/19/23,
4/13/23 20:57,https://nuforc.org/webreports/reports/175/S175355.html,Toronto,ON,Canada,Star,1 hour,Stationary White Light not a star.,5/19/23,Yes
4/12/23 02:48,https://nuforc.org/webreports/reports/175/S175381.html,Arcadia,KS,USA,Star,20 minutes,"Objects would fade in and out, changing altitude, speed and direction.",5/19/23,Yes
4/8/23 22:52,https://nuforc.org/webreports/reports/175/S175274.html,Excelsior springs,MO,USA,Star,7-8 seconds,Thought it was a shooting star then Inotice it remained at the same elevation as it moved towards me at a very high speed as it,5/19/23,
4/1/23 20:20,https://nuforc.org/webreports/reports/175/S175286.html,Raleigh,NC,USA,Star,Its been occurring daily,A star that moves it appears daily but doesnt appear some nights also duplicates then just disappears,5/19/23,
3/14/23 03:00,https://nuforc.org/webreports/reports/175/S175006.html,Theodore,AL,USA,Star,2 hours. 0300-daylight,"Two clusters of UAP?, The first cluster started with 3 UAP? and eventually up to 6 and then finally 2 remain. About 20 to my 12oclock",4/9/23,Yes
3/8/23 18:48,https://nuforc.org/webreports/reports/175/S175413.html,Arenas valley,NM,USA,Star,,Star lake object bright moving changing directions fast,5/19/23,Yes
3/4/23 21:44,https://nuforc.org/webreports/reports/174/S174875.html,Cancun,Quintana Roo,Mexico,Star,10 secs in total,"South south west of Orion, between Sirius and 1 hand of Orion",3/6/23,
3/1/23 19:46,https://nuforc.org/webreports/reports/174/S174817.html,Parkland,FL,USA,Star,15 minutes maybe longer,"Saw two bright stars but one changed colors, seemed to not move at all.  NUFORC Note: Jupiter and Venus",3/6/23,Yes
3/1/23 19:35,https://nuforc.org/webreports/reports/174/S174834.html,Oceanside,CA,USA,Star,About 10 minutes,"Looked up at the sky, these 2 ""stars"" shining very brightly side by side.   NUFORC Note: Jupiter and Venus",3/6/23,
2/28/23 19:45,https://nuforc.org/webreports/reports/174/S174772.html,Vineland,NJ,USA,Star,10 seconds,2 stars orbiting each other before breaking apart and flying out of sight,3/6/23,
2/16/23 05:00,https://nuforc.org/webreports/reports/174/S174605.html,Toms River,NJ,USA,Star,10 minutes,"Star that moved, then changed directions",3/6/23,
2/15/23 18:05,https://nuforc.org/webreports/reports/174/S174597.html,Port Orchard,WA,USA,Star,Around 5 min.,It was a bright light,3/6/23,
2/11/23 09:28,https://nuforc.org/webreports/reports/174/S174434.html,Melbourne,FL,USA,Star,2-3 seconds,They looked like they were small faint stars flying at top speeds in the night sky,3/6/23,
2/10/23 04:53,https://nuforc.org/webreports/reports/174/S174371.html,Littleton,MA,USA,Star,4 minutes,Every 30 seconds a star-like object appeared and moved down a couple of degrees and disappeared. This was repeated 5 or so times.,3/6/23,
2/8/23 18:25,https://nuforc.org/webreports/reports/174/S174357.html,Cliffside park,NJ,USA,Star,5 to 10 minutes,Glowing and disappearing Starlike light.,3/6/23,
2/3/23 19:20,https://nuforc.org/webreports/reports/174/S174273.html,"Village : Cheetakheda, Tehsil : Jeeran, District : Neemuch",Madhya Pradesh,India,Star,5 to 10 minutes,Saw multiple stars attached together like train,3/6/23,
1/25/23 22:13,https://nuforc.org/webreports/reports/174/S174197.html,Sloan,NY,USA,Star,All night long,In the skies at night we were star gazing when we noticed that the stars were moving and changing color. They were lower to the ground,3/6/23,
1/23/23 20:04,https://nuforc.org/webreports/reports/174/S174088.html,Statham,GA,USA,Star,less than 2 minutes,Two stars appeared to be moving away from earth/then disappeared,3/6/23,
1/23/23 19:20,https://nuforc.org/webreports/reports/174/S174086.html,Okeechobee,FL,USA,Star,3 mins from first sight,See 1 to 3 every evening between 7-9 PM moving very fast and too high to be planes flying erratically,3/6/23,
1/20/23 05:00,https://nuforc.org/webreports/reports/174/S174029.html,Hayes,VA,USA,Star,Less than 30 seconds,I believe the craft sensed that I noticed it since I look at the same spot all the time and it seemed aware of me.,3/6/23,
1/17/23 21:15,https://nuforc.org/webreports/reports/173/S173990.html,Ashington,Northumberland,United Kingdom,Star,3 seconds,Star sized object travelling fast and turning 180 and accelerating rapidly,3/6/23,
1/13/23 01:36,https://nuforc.org/webreports/reports/173/S173878.html,Bengaluru,Karnataka,India,Star,Few minutes,It looks like a cluster of stars and is stationery,3/6/23,Yes
1/6/23 20:17,https://nuforc.org/webreports/reports/173/S173805.html,Chandler,AZ,USA,Star,10 seconds,Bright star moving across sky unnaturally fast from directly above me to the horizon in about 10 seconds without dimming and was silent,3/6/23,
12/28/22 22:05,https://nuforc.org/webreports/reports/173/S173606.html,Sydney,New South Wales,Australia,Star,5 minutes,Saw 4 star like objects moving in 4 different directions angles,3/6/23,
12/18/22 16:15,https://nuforc.org/webreports/reports/173/S173484.html,Effingham,IL,USA,Star,1 minute,UFO caught near military jets.,12/22/22,
11/21/22 20:00,https://nuforc.org/webreports/reports/173/S173147.html,Johnstown,PA,USA,Star,1 hour and still there,"Moves at high speed in multiple directions, changes from solid white to solid blue or red light,",12/22/22,
11/9/22 17:20,https://nuforc.org/webreports/reports/172/S172907.html,Gorham,ME,USA,Star,10 seconds,A bright gold light (looked like a star but much brighter) moved across the sky unnaturally and then went out,12/22/22,
11/8/22 23:15,https://nuforc.org/webreports/reports/173/S173299.html,Henderson,NV,USA,Star,90 minutes,Star like craft slowly moved across sky,12/22/22,
11/5/22 05:15,https://nuforc.org/webreports/reports/172/S172977.html,Rocksprings,TX,USA,Star,2.5hours,"3 Flickering objects that appeared to be stars, flickering orange/blue, dimmer/brighter, moving erratically",12/22/22,
10/21/22 06:00,https://nuforc.org/webreports/reports/172/S172450.html,Little Rock,AR,USA,Star,at least 30 minutes,white star shaped dot moving back and forth,12/22/22,
10/15/22 19:00,https://nuforc.org/webreports/reports/172/S172349.html,San Jose,CA,USA,Star,Over the course of 30 min,"Witnessed ""satellite"" move and then stop in place. Saw two more ""satellites"" minutes later moving near it.",12/22/22,
10/15/22 12:52,https://nuforc.org/webreports/reports/172/S172329.html,Shoreline,WA,USA,Star,8/22/2022 TO 10/15/2022,"Mother Ship 1st appeared on 8/22/2022. It is a Huge, Bright, Low in the Star. It hovers out here for 4 hours minimum testing.",12/22/22,Yes
10/14/22 19:41,https://nuforc.org/webreports/reports/172/S172323.html,Brandon,MS,USA,Star,5 min,A separated line of star like images crossing like satellites one after the other with one turning north,12/22/22,Yes
10/1/22 21:00,https://nuforc.org/webreports/reports/172/S172136.html,Lynnwood,WA,USA,Star,10 (ten) to 15 seconds,Two points self-illuminated to astonishing intensity high in the northern sky for ~ 10-15 seconds,10/8/22,
9/30/22 19:55,https://nuforc.org/webreports/reports/172/S172113.html,Lafayette,TN,USA,Star,It is still there,It was a red and white flashing light that was moving ever so slightly very fast.,10/8/22,
9/28/22 05:55,https://nuforc.org/webreports/reports/172/S172100.html,Las Cruces,NM,USA,Star,Less than 1 minute,Was looking South + was astonished to see an object 4-5 times the size of Jupiter in AM sky it was an orangish 20 degrees above horizon,10/8/22,
9/27/22 04:45,https://nuforc.org/webreports/reports/172/S172152.html,Scottsdale,AZ,USA,Star,10-15 minutes,Slowly moving low and large star shape craft was observed and watched till it passed overhead.followed by another,10/8/22,
9/26/22 01:00,https://nuforc.org/webreports/reports/171/S171959.html,Surprise,AZ,USA,Star,Within seconds to a minut,Star counterclockwise wise circling and burst if light,10/8/22,
9/24/22 19:00,https://nuforc.org/webreports/reports/172/S172000.html,Schuylkill Haven,PA,USA,Star,15min,Ball of intense light levatates up toward sky. couldnt have been anything like a plane,10/8/22,Yes
9/21/22 22:09,https://nuforc.org/webreports/reports/172/S172168.html,Buffalo,NY,USA,Star,5min,star-like ball of light travelling in a b-line in a NE direction from Lake Erie direction against the wind,10/8/22,
9/13/22 21:05,https://nuforc.org/webreports/reports/171/S171752.html,Manchester,Lancashire,United Kingdom,Star,3-4 minutes,Fast to slow moving,10/8/22,
9/12/22 15:30,https://nuforc.org/webreports/reports/171/S171791.html,Isle of Mull,Argyll and Bute,United Kingdom,Star,10 minutes,Unexplained fling object in sky.,10/8/22,Yes
9/11/22 05:14,https://nuforc.org/webreports/reports/173/S173390.html,,GA,USA,Star,At least 10 minutes,"Ball of light accelerating and decelerating, matching speed with my vehicle",12/22/22,
9/9/22 01:09,https://nuforc.org/webreports/reports/171/S171883.html,Pearl City,HI,USA,Star,Several minutes and years,Saw the crafts moving across sky.,10/8/22,
9/9/22 00:30,https://nuforc.org/webreports/reports/171/S171790.html,Bradenton,FL,USA,Star,Around four hours,They come from all directions to one location then head out in a group,10/8/22,
9/9/22 00:11,https://nuforc.org/webreports/reports/171/S171653.html,East Stroudsburg,PA,USA,Star,60 seconds,Two stars moving slowly one got very bright then both disappeared,10/8/22,
9/8/22 19:58,https://nuforc.org/webreports/reports/171/S171785.html,Farmington,MO,USA,Star,3 minutes,Bright yellow Light moving at steady speed across field.,10/8/22,
9/8/22 06:25,https://nuforc.org/webreports/reports/171/S171646.html,Jamaica,VA,USA,Star,10 minutes,Saw one stationary star-shaped object and two others that disappeared when I glanced at them.,10/8/22,Yes
9/6/22 01:18,https://nuforc.org/webreports/reports/171/S171663.html,Huntington Beach,CA,USA,Star,5 minutes,It came from SW Direction heading NE with wrapping flashing lights that change colors every so often.,10/8/22,
9/4/22 02:00,https://nuforc.org/webreports/reports/171/S171649.html,Darrington,WA,USA,Star,1 hour,Light Craft,10/8/22,Yes
9/3/22 20:20,https://nuforc.org/webreports/reports/171/S171597.html,Rangeley,ME,USA,Star,20 / 30 minutes,Saw light traveling from south to north than other lights from east to west with one coming to a stop and reverse direction than disapp,9/9/22,
9/3/22 05:11,https://nuforc.org/webreports/reports/173/S173529.html,Pine Grove,PA,USA,Star,4-5 minutes,Circular light resembling a star moving very erratically in the sky.,3/6/23,
8/31/22 22:11,https://nuforc.org/webreports/reports/171/S171509.html,Vandalia,OH,USA,Star,15 mins,Looked like a regular star in the sky,10/8/22,
8/30/22 22:07,https://nuforc.org/webreports/reports/171/S171499.html,Missoula,MT,USA,Star,15-30 minutes,"This was above the concert Chicago, others may have seen - hundreds were there",9/9/22,Yes
8/28/22 23:04,https://nuforc.org/webreports/reports/171/S171471.html,Geyserville,CA,USA,Star,30 minutes,Twinkling lights that changes color a,9/9/22,
8/28/22 10:30,https://nuforc.org/webreports/reports/171/S171441.html,Witham,Essex,United Kingdom,Star,15-20 seconds,Looked like a star during the day.,9/9/22,
8/16/22 21:30,https://nuforc.org/webreports/reports/171/S171522.html,Avanos,Nevsehir Province,Turkey,Star,More than 1 minute,I saw four blinking objects in tringle formation,9/9/22,
8/14/22 22:15,https://nuforc.org/webreports/reports/171/S171118.html,Leader,MN,USA,Star,5 minutes,Several very faint and distant looking stars moving fast across sky,9/9/22,
8/13/22 21:32,https://nuforc.org/webreports/reports/171/S171089.html,Decatur,GA,USA,Star,1 min 39 seconds,Fireball coming in at cruising speed and then slowly dim into the darkness staying on the same path and speed!,9/9/22,
8/13/22 00:01,https://nuforc.org/webreports/reports/171/S171126.html,Chapel Hill,NC,USA,Star,15 minutes,Satellite with red and blue lights flew close by then 3 distant satellites disappeared within seconds of each other,9/9/22,
8/12/22 02:00,https://nuforc.org/webreports/reports/171/S171086.html,NY,NY,USA,Star,25+ min,"Star like object pulsing, above it a spuratic light pulsing and changing locations. Something shot down to earth large orange oval.",9/9/22,Yes
8/2/22 23:45,https://nuforc.org/webreports/reports/170/S170879.html,Panama City,FL,USA,Star,About 3 seconds,"My cousin and I were on the balcony watching stars, when suddenly one of them dropped rapidly, stopped, then slowly began moving right.",9/9/22,
7/27/22 22:20,https://nuforc.org/webreports/reports/172/S172906.html,Conway,AR,USA,Star,Shortly past sun rise,A bright small object that moves freely in the sky that seems to be attempting communication with Me,12/22/22,
7/26/22 23:15,https://nuforc.org/webreports/reports/170/S170666.html,Usk Monmouthshire south wales,Monmouthshire,United Kingdom,Star,10 minutes,Multiple sightings within ten minutes,9/9/22,
7/25/22 04:00,https://nuforc.org/webreports/reports/170/S170682.html,Ashland,WI,USA,Star,Still Ongoing,Observing as I report with a spotting scope and binoculars,9/9/22,
7/23/22 02:00,https://nuforc.org/webreports/reports/170/S170618.html,Morgantown,WV,USA,Star,About an hour and a half.,"Moving star. Not a satellite. Saw it in the sky southwest of my location, but it moved to dead center of the sky where I was at.",9/9/22,
7/22/22 05:05,https://nuforc.org/webreports/reports/170/S170593.html,Pittsfield,MA,USA,Star,30-60 seconds,"I saw what appeared to be a star, but it was moving in very weird directions",9/9/22,
7/21/22 22:41,https://nuforc.org/webreports/reports/170/S170595.html,Homewood,IL,USA,Star,10 minutes,Several stars are continuing to move over our house in different directions and are changing direction at extremely fast rates.,9/9/22,
7/18/22 23:00,https://nuforc.org/webreports/reports/170/S170515.html,Auburn Hills,MI,USA,Star,25 seconds,Undercover Satellite,9/9/22,
7/14/22 21:00,https://nuforc.org/webreports/reports/170/S170447.html,Seattle,WA,USA,Star,Several minutes,Saw a star shaped craft floating like a feather and gliding across the sky towards the airport probably 400-500 in the air,9/9/22,
7/14/22 02:17,https://nuforc.org/webreports/reports/170/S170399.html,Merthyr Tydfil,null,United Kingdom,Star,I fink all night,"It looked like a star, but the stars don't shine that hard",9/9/22,Yes
7/6/22 21:25,https://nuforc.org/webreports/reports/170/S170355.html,Newport,NC,USA,Star,Ten minutes,"Bright star, moving erratically.",9/9/22,Yes
7/3/22 16:00,https://nuforc.org/webreports/reports/170/S170227.html,Philadelphia,PA,USA,Star,5seconds,It moved very very fast,9/9/22,
7/1/22 23:00,https://nuforc.org/webreports/reports/170/S170203.html,Peterchurch,,,Star,20 seconds approx,Couple of odd white starlike objects,9/9/22,
6/28/22 04:20,https://nuforc.org/webreports/reports/170/S170376.html,Clarksville,TN,USA,Star,1 1/2 seconds,Bright light i saw for 1 or 2 seconds. Looked like a very bright star. The. Shot straight up into the night sky. Getting smaller,9/9/22,
6/24/22 23:00,https://nuforc.org/webreports/reports/170/S170051.html,Beatrice,NE,USA,Star,4 seconds,Video shows an object rotating at considerably fast speeds and seemingly stretchs as it moves at the 3 second mark.,9/9/22,
6/19/22 02:19,https://nuforc.org/webreports/reports/168/S168817.html,Jefferson,GA,USA,Star,About 5 minutes,Sighting of a star-like object emitting clouds,6/22/22,Yes
6/15/22 19:00,https://nuforc.org/webreports/reports/170/S170609.html,roanoke,,,Star,3 hours,seeing effects of manmade aircraft UFO,9/9/22,
6/10/22 22:30,https://nuforc.org/webreports/reports/168/S168592.html,Chico,CA,USA,Star,15 mins,It was moving slowly west. Changing color from red to white. It was also moving up and down,6/22/22,
6/9/22 22:53,https://nuforc.org/webreports/reports/168/S168583.html,San Antonio,TX,USA,Star,30-40 mins,Taking out trash saw a beam,6/22/22,
6/4/22 15:00,https://nuforc.org/webreports/reports/168/S168534.html,Lafayette,LA,USA,Star,30 minutes,Walking my dog looked up and saw what I thought was a balloon floating by but as I watched it I noticed it zoomed back and forth.,6/22/22,Yes
5/31/22 22:00,https://nuforc.org/webreports/reports/168/S168452.html,Medina,OH,USA,Star,approx 1 minute,looked like A very very bright Venus in the northern sky,6/22/22,
5/29/22 20:45,https://nuforc.org/webreports/reports/168/S168046.html,High point,NC,USA,Star,5 minutes,Bright object was stationary in the sky and all of a sudden disappeared,6/22/22,
5/17/22 19:27,https://nuforc.org/webreports/reports/168/S168276.html,Unionville,CT,USA,Star,1 minute approximately,6 objects were seen.,6/22/22,
5/8/22 21:20,https://nuforc.org/webreports/reports/167/S167788.html,Tulum,Yucatán,Mexico,Star,5 seconds,"Small dot of light, looked like a satellite, moving in straight line. Then, sudden change of direction, significant change of speed.",5/31/22,
4/21/22 21:49,https://nuforc.org/webreports/reports/167/S167565.html,Riverview,MI,USA,Star,3 minutes,Connected lights in the sky.,4/22/22,
4/21/22 20:32,https://nuforc.org/webreports/reports/167/S167585.html,Gretna,LA,USA,Star,around 5 minutes total,Bright ball of light appeared twice. First time was under a minute. Second time for about 10 seconds.,4/22/22,
4/19/22 22:30,https://nuforc.org/webreports/reports/167/S167543.html,Cancun,Quintana Roo,USA,Star,8-10 seconds,"Looking at stars, we noticed a shooting star moving in an unnatural way.",4/22/22,
4/12/22 21:00,https://nuforc.org/webreports/reports/167/S167466.html,Holdingford,MN,USA,Star,Fifty minutes,One stationary and squadron of UFOs buzzed by multiple military Camp Ripley Planes,4/22/22,
4/8/22 09:00,https://nuforc.org/webreports/reports/167/S167440.html,California,MO,USA,Star,On and off 30 mins,"Sat looking at stars w/ family. Our hobby. On and off star like craft moved across the sky, laser in front of them they go higher",4/22/22,
4/6/22 05:47,https://nuforc.org/webreports/reports/168/S168170.html,Daly City,CA,USA,Star,1 hour or more,It pulsates and spins in a circle emitting a soundwave,6/22/22,Yes
4/5/22 20:30,https://nuforc.org/webreports/reports/167/S167465.html,Holdingford,MN,USA,Star,5-10 minutes,UFO and separate UFO light,4/22/22,
4/4/22 21:25,https://nuforc.org/webreports/reports/167/S167374.html,Ballston Spa,NY,USA,Star,15 minutes,pulsating yellow/white/orange light quickly changing directions,4/22/22,
3/26/22 20:59,https://nuforc.org/webreports/reports/167/S167265.html,Saint James,MO,USA,Star,4 mins?,Two stars light lights traveling northeast.,4/22/22,
3/26/22 20:05,https://nuforc.org/webreports/reports/167/S167275.html,Maidenhead,Windsor and Maidenhead,United Kingdom,Star,3 minutes,Light travelled across the sky high up and there was no flashing lights like you would expect to see on an aeroplane.,4/22/22,
3/19/22 20:40,https://nuforc.org/webreports/reports/167/S167153.html,Tahuya,WA,USA,Star,Approximately 90 second,"Large, Bright Rapid Zig Zag star",4/22/22,
3/17/22 06:50,https://nuforc.org/webreports/reports/167/S167128.html,Plano,TX,USA,Star,about 20 minutes,I tried to get my husband and neighbor but they were too slow (asleep),4/22/22,
2/27/22 15:00,https://nuforc.org/webreports/reports/167/S167102.html,Queen Creek,AZ,USA,Star,it lasted about 30 second,Saw a star the held position and then moved.,4/22/22,
2/21/22 04:30,https://nuforc.org/webreports/reports/166/S166788.html,Berlin Township,PA,USA,Star,20 minutes,"Flickering light similar to the way a star twinkles, moved sideways up and to the right and hung between 20 & 35 feet above the ground",3/4/22,
2/7/22 19:30,https://nuforc.org/webreports/reports/166/S166595.html,Barcelona (Spain),Barcelona Province,Spain,Star,5 minutes,Like Star but apearing and disappearing,3/4/22,
2/6/22 05:35,https://nuforc.org/webreports/reports/166/S166783.html,Candor,NC,USA,Star,Untill daylight 30min,Could reapper in a diff spot or move slow,3/4/22,
1/31/22 18:00,https://nuforc.org/webreports/reports/166/S166508.html,North Woodstock,NH,USA,Star,10 seconds,A strange star that Vanished,3/4/22,
1/30/22 18:40,https://nuforc.org/webreports/reports/166/S166455.html,Fresno,CA,USA,Star,2 to 5 minutes,Many red lights on the east side of Audubon that looked almost like stars that formed a disorganized triangle.,3/4/22,
