date,reportlink,city,state,country,shape,duration,description,post_date,images
7/24/23 22:45,https://nuforc.org/webreports/reports/176/S176996.html,Satellite Bch.,FL,USA,Teardrop,At least 4 minutes,Strange light in a relatively clear sky late at night.,7/29/23,Yes
6/25/23 22:56,https://nuforc.org/webreports/reports/176/S176457.html,Neodesha,KS,USA,Teardrop,15 Seconds,I was outside looking at stars smoking my cigarette as normal noticed a bright light that was zigzagging like a bee then disappeared,7/10/23,
6/12/23 14:46,https://nuforc.org/webreports/reports/176/S176258.html,Pensacola Beach,FL,USA,Teardrop,1 minute,"Clear skies, then a Bright flash of light, followed by silver craft that near instantly went upwards into space.",7/10/23,
4/8/23 19:30,https://nuforc.org/webreports/reports/175/S175269.html,Brighton/ Fairfield,IA,USA,Teardrop,96 minutes,Black snake like objects in the sky,5/19/23,Yes
4/8/23 19:30,https://nuforc.org/webreports/reports/175/S175242.html,Brighton/Fairfield,IA,USA,Teardrop,96 minutes,Black snake like objects in the sky,4/9/23,Yes
3/12/23 19:21,https://nuforc.org/webreports/reports/175/S175005.html,Imperial,CA,USA,Teardrop,A couple of seconds,Saw 3 blue lights after taking photo,4/9/23,Yes
2/8/23 15:00,https://nuforc.org/webreports/reports/174/S174530.html,Over the alps (may have been Italy),Provence-Alpes-Côte d,France,Teardrop,Around 20 seconds,Above object on airplane flying over alps when I seen a black craft flying low to the tops of the mountains with grey smoke of it,3/6/23,
2/4/23 21:45,https://nuforc.org/webreports/reports/174/S174310.html,Benicia,CA,USA,Teardrop,Few seconds,Teardrop shaped object flew overhead,3/6/23,
2/2/23 04:48,https://nuforc.org/webreports/reports/174/S174256.html,Miami,FL,USA,Teardrop,10 seconds,"Object exhibited awareness, was not a drone. Large, fast movement with stops and zig zagging motion.",3/6/23,
12/2/22 04:13,https://nuforc.org/webreports/reports/173/S173780.html,Miami,FL,USA,Teardrop,Maybe 5 seconds,Bright green light suddenly disappeared,3/6/23,
11/22/22 22:00,https://nuforc.org/webreports/reports/173/S173187.html,Las Vegas,NV,USA,Teardrop,Seconds,Bright glowing green object,12/22/22,
11/17/22 07:24,https://nuforc.org/webreports/reports/173/S173050.html,Ponce inlet,FL,USA,Teardrop,,Saw a ufo in a pic I took after the fact,12/22/22,Yes
11/16/22 18:04,https://nuforc.org/webreports/reports/173/S173041.html,Llandudno,Wales,United Kingdom,Teardrop,6 minutes,"Criss cross, very fast then gone",12/22/22,
11/16/22 13:40,https://nuforc.org/webreports/reports/173/S173133.html,Sun City West,AZ,USA,Teardrop,A few seconds,Silver object,12/22/22,
11/7/22 03:00,https://nuforc.org/webreports/reports/172/S172863.html,Macon,GA,USA,Teardrop,Around 2 minutes,Standing on back porch looking at the sky and seen a brief bright blue streak and showed my girlfriend and the light disappeared,12/22/22,
11/4/22 21:10,https://nuforc.org/webreports/reports/172/S172801.html,Lafayette,PA,USA,Teardrop,3 seconds,Glowing green tadpole shape,12/22/22,
10/9/22 15:45,https://nuforc.org/webreports/reports/172/S172271.html,Diablo/Martinez,CA,USA,Teardrop,1-2 minutes,Saw a silver teardrop shaped object over my diablo,12/22/22,
10/6/22 10:10,https://nuforc.org/webreports/reports/172/S172213.html,Centreville,VA,USA,Teardrop,45 seconds,Two objects moving east to west that had a solid string of blue light coming down from them.,10/8/22,
9/22/22 20:35,https://nuforc.org/webreports/reports/171/S171947.html,Miles,TX,USA,Teardrop,2 seconds,Miles highschool track Field Heading North at 100° from horizon,10/8/22,
9/3/22 00:50,https://nuforc.org/webreports/reports/171/S171563.html,Framingham,MA,USA,Teardrop,4 seconds,I was driving coming on to rt 30 when I looked up I could see a tear drop shaped orb that had a bluish green light tail.,9/9/22,
8/28/22 01:50,https://nuforc.org/webreports/reports/171/S171439.html,Eagle Mountain,UT,USA,Teardrop,10+ minutes,It was moving quickly but then just stopped as I noticed it? I started taking pics then recording. It was bright but then dimmed.,9/9/22,Yes
8/22/22 22:00,https://nuforc.org/webreports/reports/171/S171336.html,Oregon City,OR,USA,Teardrop,4 minutes,Moved up down and sideways the disappeared,9/9/22,
8/8/22 08:50,https://nuforc.org/webreports/reports/170/S170987.html,Salt lake city,UT,USA,Teardrop,5 minutes,Saw a unidentified object moving silently through the sky above tree level.,9/9/22,Yes
8/7/22 17:27,https://nuforc.org/webreports/reports/173/S173896.html,Simpsonville,SC,USA,Teardrop,,Was taking pictures of the sky noticed the tear drop or bullet shaped object going in two opposite directions over split seconds,3/6/23,
8/2/22 20:25,https://nuforc.org/webreports/reports/170/S170882.html,Grantsville,UT,USA,Teardrop,1 Hour ~,Upside down tear drop in the sky West of Tooele valley. (likely balloon),9/9/22,Yes
7/22/22 21:18,https://nuforc.org/webreports/reports/170/S170629.html,Concord,NH,USA,Teardrop,3 days,Upon driving thru multiple towns an object that was well lit followed me three nights in a row,9/9/22,
