date,reportlink,city,state,country,shape,duration,description,post_date,images
7/29/23 02:30,https://nuforc.org/webreports/reports/177/S177093.html,Mallusk,Antrim and Newtownabbey,United Kingdom,Triangle,still current,A very bright light which moved closer. On the top of this light was a triangle reflection that appeared to be on top of the light.,7/29/23,Yes
7/27/23 14:20,https://nuforc.org/webreports/reports/177/S177048.html,Plainfield,IN,USA,Triangle,1 minute,2 objects above store.,7/29/23,
7/26/23 22:10,https://nuforc.org/webreports/reports/177/S177053.html,Little Falls,MN,USA,Triangle,2 minutes,Saw 2 to 4 triangle craft with bright white lights on the angle tips,7/29/23,
7/25/23 02:05,https://nuforc.org/webreports/reports/177/S177081.html,sacramento,CA,USA,Triangle,around 5 min,Silent-more of a slight gush of wind/ triangular object/maybe size of jet/maybe quarter of mile high??,7/29/23,
7/23/23 02:27,https://nuforc.org/webreports/reports/176/S176930.html,Buford,GA,USA,Triangle,3+ hours,3 triangle shape white with reddish tint hovering and moving in unison and hovering in the same spot for hours,7/29/23,Yes
7/22/23 21:30,https://nuforc.org/webreports/reports/176/S176927.html,Bellefonte,PA,USA,Triangle,1 to 2 minutes,"Craft was low overhead, made no noise. Made almost a right angle turn, never slowing down. 3 blinking lights",7/29/23,
7/20/23 22:00,https://nuforc.org/webreports/reports/176/S176895.html,San diego,CA,USA,Triangle,Five minutes,Two pictures one right after the other difference of the second picture is a zoomed in and then within a minute they were gone,7/29/23,Yes
7/14/23 00:30,https://nuforc.org/webreports/reports/176/S176797.html,Lesterville,MO,USA,Triangle,4 mins,Triangle shaped units flying in rapid speed. Craft 1 appeared first and flew in a zigzag fashion then craft 2 appeared then #3,7/29/23,
7/13/23 23:15,https://nuforc.org/webreports/reports/176/S176759.html,Merced,CA,USA,Triangle,1 min,It flew over my house and tree,7/29/23,
7/11/23 03:33,https://nuforc.org/webreports/reports/176/S176685.html,Hollywood,CA,USA,Triangle,7 hours and on going,Numerous flying crafts looking like stars that hover and move then fly off into speed of light,7/29/23,
