city,state,country,lat,lng
Skiatook,OK,usa,36.3684245,-96.0013847
Corbett,OR,usa,45.5317887,-122.2912175
Calgary (Canada),AB,usa,51.0447331,-114.0718831
Anchorage,AK,usa,61.2175758,-149.8996785
Fairbanks,AK,usa,64.8400511,-147.7199756
Wasilla,AK,usa,61.5808763,-149.4410597
North Pole,AK,usa,64.7552465,-147.353425
Palmer,AK,usa,61.599415,-149.1146333
Juneau,AK,usa,58.3004933,-134.4201306
Eagle River,AK,usa,61.3293186,-149.5680499
Bethel,AK,usa,60.794259,-161.7694402
Homer,AK,usa,59.6480855,-151.5299245
Kenai,AK,usa,60.5549114,-151.2597037
Ketchikan,AK,usa,55.3422222,-131.6461111
Seward,AK,usa,60.1047739,-149.4421037
Soldotna,AK,usa,60.4863829,-151.0571796
Chugiak,AK,usa,61.3888889,-149.4819444
Kodiak,AK,usa,57.79,-152.4072222
Willow,AK,usa,61.7583636,-150.0621951
Nikiski,AK,usa,60.7068804,-151.2636363
Big Lake,AK,usa,61.5524014,-149.8190336
Delta Junction,AK,usa,64.0400726,-145.7343509
Nenana,AK,usa,64.5633957,-149.0938987
Ninilchik,AK,usa,60.0397037,-151.6672334
Valdez,AK,usa,61.1308812,-146.3498607
Anchor Point,AK,usa,59.7796135,-151.842265
Cordova,AK,usa,60.5424087,-145.7525414
Glennallen,AK,usa,62.1081204,-145.5340116
Kasilof,AK,usa,60.3219707,-151.2555625
Savoonga,AK,usa,63.6938082,-170.4840806
Sitka,AK,usa,57.0532193,-135.3345513
Wrangell,AK,usa,56.4706104,-132.3815263
Adak,AK,usa,51.8667982,-176.6385354
Alaska,AK,usa,63.588753,-154.4930619
Auke Bay,AK,usa,58.3950682,-134.6583071
Butte,AK,usa,61.5416067,-149.0353713
Elmendorf AFB,AK,usa,61.2536352,-149.8112528
Fort Greely,AK,usa,63.9799907,-145.7423899
Ft. Yukon,AK,usa,66.5636571,-145.2486502
Knik,AK,usa,61.4708333,-149.4063889
Kotzebue,AK,usa,66.8969151,-162.5930667
Kuparuk Oilfield,AK,usa,70.4244444,-148.8708332
