date,reportlink,city,state,country,shape,duration,description,post_date,images
7/29/23 11:20,https://nuforc.org/webreports/reports/177/S177111.html,Riverview,FL,USA,Unknown,11:21,.001/ 9 screen shot clip of fly by,7/29/23,Yes
7/19/23 22:15,https://nuforc.org/webreports/reports/177/S177061.html,Mancos,CO,USA,Unknown,5 minutes,Object in sky moving slowly from north to south with wide beam of light trailing it.,7/29/23,Yes
7/19/23 21:39,https://nuforc.org/webreports/reports/176/S176882.html,Lillington,NC,USA,Unknown,Ongoing,"Blinking light, sounds/language not recognized, and shadowy figures.",7/29/23,
7/18/23 19:44,https://nuforc.org/webreports/reports/176/S176836.html,Sterling Heights,MI,USA,Unknown,Over 15 mins. Still seein,Slow moving high altitude blinking object suspect satellite,7/29/23,
7/17/23 10:13,https://nuforc.org/webreports/reports/176/S176820.html,La Mirada,CA,USA,Unknown,10-15 minutes,"Hovering, spinning, shiny object in the sky.",7/29/23,
7/16/23 23:05,https://nuforc.org/webreports/reports/176/S176787.html,Schesslitz,Bavaria,Germany,Unknown,3 minutes,"Cluster of star like lights, in a soccer ball like pattern moving in an arc from west to see. Not a string of lights, a cluster.",7/29/23,
7/13/23 23:40,https://nuforc.org/webreports/reports/176/S176782.html,Portland,OR,USA,Unknown,20-25 min,"Sighted a series of bright lights of varying colors. Appeared to be over NE Portland, descending and moving from south to north",7/29/23,
7/12/23 21:23,https://nuforc.org/webreports/reports/176/S176730.html,Epping,NH,USA,Unknown,5-7 min,Solid orange light descending and moving north.,7/29/23,
7/4/23 21:30,https://nuforc.org/webreports/reports/176/S176600.html,Tucson,AZ,USA,Unknown,About a minute.,"Hovering craft with flashing lights which then silently zipped due east, out of sight.",7/10/23,
6/29/23 02:41,https://nuforc.org/webreports/reports/176/S176506.html,Binghamton,NY,USA,Unknown,5 min. ?,Flashing object,7/10/23,
6/28/23 19:40,https://nuforc.org/webreports/reports/176/S176633.html,Cape Coral,FL,USA,Unknown,A couple minutes,2 small lights that moved into and out of each other and away and together. No noise. During the formation of storm.,7/10/23,
6/26/23 20:12,https://nuforc.org/webreports/reports/176/S176480.html,Hattiesburg,MS,USA,Unknown,1min 45 seconds,"I walked out back,looked up, saw an object moving across the sky in an orbital pattern. I pulled out my phone and took video",7/10/23,Yes
6/26/23 04:25,https://nuforc.org/webreports/reports/176/S176465.html,Firebaugh,CA,USA,Unknown,2minutes,I was on my way to work my Ive got a flat in the country Road and I was calling my boss and I look up in the sky see this aircraft,7/10/23,
6/25/23 20:31,https://nuforc.org/webreports/reports/176/S176464.html,Jefferson,GA,USA,Unknown,30 seconds or so,Glowing white streak across the sky,7/10/23,
6/22/23 14:00,https://nuforc.org/webreports/reports/176/S176784.html,Yellowstone National Park,WY,USA,Unknown,Unknown found image,"I snapped about 20 photos, when viewing I located this image in 1 photo only.",7/29/23,Yes
6/15/23 22:00,https://nuforc.org/webreports/reports/176/S176308.html,Plano,TX,USA,Unknown,5 minutes +-,Saw an object that was hovering in the sky with red and green. Flew to the north. Stopped and flew back to the south. Very quick/smooth,7/10/23,Yes
6/14/23 23:12,https://nuforc.org/webreports/reports/176/S176317.html,Longview,WA,USA,Unknown,14-15 minutes,Sightings over the last year or more.,7/10/23,
6/12/23 22:50,https://nuforc.org/webreports/reports/176/S176241.html,PLEASANT HILL,CA,USA,Unknown,Approx 1 to 1 1/2 minutes,Walking dog looked up observed a very bright white double line,7/10/23,
6/12/23 10:28,https://nuforc.org/webreports/reports/176/S176229.html,Thornton,NH,USA,Unknown,A few minutes,Floating possibly propelled object.,7/10/23,Yes
6/7/23 23:48,https://nuforc.org/webreports/reports/176/S176130.html,Silverdale,WA,USA,Unknown,2-3 minutes,Observed a planet sized light moving north. Pulsating light in even intervals just under a second in duration. Speed/distance unknown,7/10/23,
